"model.error","group","type"
0.158575894241226,"t.0","data"
0.112490613290818,"t.0","iso3"
0.0680566144064948,"t.0","gbdregion"
0.162335192565179,"t.1","data"
0.0789310989677502,"t.1","iso3"
0,"t.1","gbdregion"
0.138621668181748,"t.2","data"
0.0704962077127153,"t.2","iso3"
0.0287870816477037,"t.2","gbdregion"
0.123870781987945,"t.3","data"
0.0522949768959777,"t.3","iso3"
0.0585696752560728,"t.3","gbdregion"
0.116388048058022,"t.4","data"
0.0461482227139377,"t.4","iso3"
0.0400360396574199,"t.4","gbdregion"
0.110229497174016,"t.5","data"
0.037876260489604,"t.5","iso3"
0.0772473910764726,"t.5","gbdregion"
0.108720692117343,"t.6","data"
0.0479780900220993,"t.6","iso3"
0.0222102915834636,"t.6","gbdregion"
0.108722230533394,"t.7","data"
0.0477321157255202,"t.7","iso3"
0.0178410876870579,"t.7","gbdregion"
0.114287313086805,"t.8","data"
0.0454955875983896,"t.8","iso3"
0.0441885489743302,"t.8","gbdregion"
0.118200307591063,"t.9","data"
0.0409014772113028,"t.9","iso3"
0.0318854539503384,"t.9","gbdregion"
0.130303484097368,"t.10","data"
0.0335327052930805,"t.10","iso3"
0.037914115396632,"t.10","gbdregion"
0.135108083095891,"t.11","data"
0.0250617158390192,"t.11","iso3"
0.047906914028537,"t.11","gbdregion"
0.139438278601047,"t.12","data"
0.0325127901820766,"t.12","iso3"
0.0282956588204176,"t.12","gbdregion"
0.144565686290217,"t.13","data"
0.0197168601338253,"t.13","iso3"
0.0376144313123164,"t.13","gbdregion"
0.146684556382012,"t.14","data"
0,"t.14","iso3"
0,"t.14","gbdregion"
0.147461532300405,"t.15","data"
0,"t.15","iso3"
0.0244565238637851,"t.15","gbdregion"
0.146776145375111,"t.16","data"
7.08137651720899e-08,"t.16","iso3"
0.0240223128748912,"t.16","gbdregion"
0.143672441171834,"t.17","data"
2.64055014514864e-09,"t.17","iso3"
0.0181549700117187,"t.17","gbdregion"
0.143542786731881,"t.18","data"
0.0219872924170114,"t.18","iso3"
0.0293655806833991,"t.18","gbdregion"
0.142190757718428,"t.19","data"
0.0361996537892413,"t.19","iso3"
0.0491813236925789,"t.19","gbdregion"
0.142752000350212,"t.20","data"
0.0439659162267131,"t.20","iso3"
0.0464993168396332,"t.20","gbdregion"
0.142262597000171,"t.21","data"
0.0571487069864624,"t.21","iso3"
0.0165187816858638,"t.21","gbdregion"
0.13661878506431,"t.22","data"
0.0594757489916412,"t.22","iso3"
1.98111793784962e-09,"t.22","gbdregion"
0.136489041603381,"t.23","data"
0.0678756859033286,"t.23","iso3"
0.0403034549622511,"t.23","gbdregion"
0.134324294856901,"t.24","data"
0.0774181593550484,"t.24","iso3"
0.0362760747682658,"t.24","gbdregion"
