location_id,ihme_loc_id,lambda,omega,zeta,scale,amp,complete
43,ALB,.30000001,2,.99000001,7,regional,0
74,AND,.30000001,2,.99000001,7,regional,0
97,ARG,.1,2,.99000001,5,regional,1
33,ARM,.1,2,.99000001,5,regional,1
298,ASM,.30000001,2,.99000001,7,regional,0
105,ATG,.1,2,.99000001,5,regional,1
71,AUS,.1,2,.99000001,5,regional,1
75,AUT,.1,2,.99000001,5,regional,1
34,AZE,.30000001,2,.99000001,7,regional,0
76,BEL,.1,2,.99000001,5,regional,1
45,BGR,.1,5,.99000001,5,regional,1
140,BHR,.30000001,5,.99000001,7,regional,0
106,BHS,.1,2,.99000001,5,regional,1
44,BIH,.30000001,2,.99000001,7,regional,0
57,BLR,.1,2,.99000001,5,regional,1
108,BLZ,.1,5,.99000001,5,regional,1
305,BMU,.1,5,.99000001,5,regional,1
4750,BRA_4750,.30000001,2,.99000001,7,regional,0
4751,BRA_4751,.30000001,2,.99000001,7,regional,0
4752,BRA_4752,.1,2,.99000001,5,regional,1
4753,BRA_4753,.1,2,.99000001,5,regional,1
4754,BRA_4754,.30000001,2,.99000001,7,regional,0
4755,BRA_4755,.30000001,2,.99000001,7,regional,0
4756,BRA_4756,.1,2,.99000001,5,regional,1
4757,BRA_4757,.1,2,.99000001,5,regional,1
4758,BRA_4758,.1,2,.99000001,5,regional,1
4759,BRA_4759,.30000001,2,.99000001,7,regional,0
4760,BRA_4760,.1,2,.99000001,5,regional,1
4761,BRA_4761,.1,2,.99000001,5,regional,1
4762,BRA_4762,.1,2,.99000001,5,regional,1
4763,BRA_4763,.30000001,2,.99000001,7,regional,0
4764,BRA_4764,.30000001,2,.99000001,7,regional,0
4765,BRA_4765,.1,2,.99000001,5,regional,1
4766,BRA_4766,.30000001,2,.99000001,7,regional,0
4767,BRA_4767,.30000001,2,.99000001,7,regional,0
4768,BRA_4768,.1,2,.99000001,5,regional,1
4769,BRA_4769,.30000001,2,.99000001,7,regional,0
4770,BRA_4770,.1,2,.99000001,5,regional,1
4771,BRA_4771,.1,2,.99000001,5,regional,1
4772,BRA_4772,.1,2,.99000001,5,regional,1
4773,BRA_4773,.1,2,.99000001,5,regional,1
4774,BRA_4774,.30000001,2,.99000001,7,regional,0
4775,BRA_4775,.1,2,.99000001,5,regional,1
4776,BRA_4776,.30000001,2,.99000001,7,regional,0
107,BRB,.1,5,.99000001,5,regional,1
66,BRN,.30000001,2,.99000001,7,regional,0
101,CAN,.1,2,.99000001,5,regional,1
94,CHE,.1,2,.99000001,5,regional,1
98,CHL,.1,5,.99000001,5,regional,1
354,CHN_354,.1,5,.99000001,5,regional,1
361,CHN_361,.30000001,2,.99000001,7,regional,0
491,CHN_491,.30000001,2,.99000001,7,regional,0
492,CHN_492,.30000001,2,.99000001,7,regional,0
493,CHN_493,.1,2,.99000001,5,regional,1
494,CHN_494,.30000001,2,.99000001,7,regional,0
495,CHN_495,.1,2,.99000001,5,regional,1
496,CHN_496,.30000001,2,.99000001,7,regional,0
497,CHN_497,.30000001,2,.99000001,7,regional,0
498,CHN_498,.30000001,2,.99000001,7,regional,0
499,CHN_499,.30000001,2,.99000001,7,regional,0
500,CHN_500,.30000001,2,.99000001,7,regional,0
501,CHN_501,.30000001,2,.99000001,7,regional,0
502,CHN_502,.30000001,2,.99000001,7,regional,0
503,CHN_503,.30000001,2,.99000001,7,regional,0
504,CHN_504,.30000001,2,.99000001,7,regional,0
505,CHN_505,.30000001,2,.99000001,7,regional,0
506,CHN_506,.30000001,2,.99000001,7,regional,0
507,CHN_507,.30000001,2,.99000001,7,regional,0
