"mid_point","pred5","pred_lo","pred_hi","ve","ve_lower","ve_upper"
18.6,1.48104691759052,0.320993591751359,2.68737960185695,0.814730659348594,0.579566378969102,0.936277822972116
18.7,1.47460132706699,0.31457318887811,2.68082020457637,0.81375575785322,0.578001130365301,0.935885356712803
18.8,1.46817897322131,0.308189785444567,2.67429069721061,0.812780441127851,0.576443346908591,0.935492443560716
18.9,1.46177985605348,0.301843381450729,2.66779107975966,0.811804748196666,0.5748930847717,0.935099103512967
19,1.45540397556351,0.295533976896596,2.66132135222353,0.810828718138306,0.573350399071404,0.934705356692676
19.1,1.44905133175139,0.289261571782169,2.65488151460222,0.809852390081672,0.571815343874504,0.934311223347059
19.2,1.44272192461713,0.283026166107447,2.64847156689572,0.808875803201734,0.570287972204051,0.933916723845496
19.3,1.43641575416072,0.27682775987243,2.64209150910405,0.807898996715355,0.568768336045825,0.933521878677584
19.4,1.43013282038216,0.270666353077119,2.63574134122719,0.806922009877121,0.567256486355035,0.933126708451157
19.5,1.42387312328145,0.264541945721513,2.62942106326515,0.80594488197519,0.565752473063264,0.932731233890297
19.6,1.4176366628586,0.258454537805613,2.62313067521792,0.804967652327152,0.564256345085625,0.932335475833314
19.7,1.41142343911361,0.252404129329418,2.61687017708552,0.803990360275906,0.562768150328142,0.931939455230717
19.8,1.40523345204647,0.246390720292928,2.61063956886793,0.803013045185548,0.561287935695327,0.931543193143157
19.9,1.39906670165718,0.240414310696144,2.60443885056515,0.802035746437286,0.55981574709797,0.931146710739354
20,1.39292318794574,0.234474900539065,2.5982680221772,0.801058503425364,0.558351629461117,0.930750029294009
20.1,1.38680291091216,0.228572489821691,2.59212708370406,0.800081355553005,0.556895626732233,0.93035317018569
20.2,1.38070587055644,0.222707078544022,2.58601603514574,0.799104342228386,0.555447781889551,0.929956154894708
20.3,1.37463206687856,0.21687866670606,2.57993487650224,0.798127502860613,0.554008136950589,0.929559005000974
20.4,1.36858149987854,0.211087254307802,2.57388360777356,0.79715087685574,0.552576732980835,0.929161742181831
20.5,1.36255416955638,0.20533284134925,2.56786222895969,0.796174503612793,0.551153610102594,0.928764388209886
20.6,1.35655007591207,0.199615427830403,2.56187074006064,0.795198422519827,0.549738807503981,0.928366964950809
20.7,1.35056921894561,0.193784063696006,2.55590914107641,0.794222672950002,0.548294978283525,0.927969494361129
20.8,1.34461159865701,0.187591611381025,2.54997743200699,0.79324729425769,0.546760854611722,0.927571998486006
20.9,1.33867721504626,0.181415923891876,2.5440756128524,0.792272325774602,0.545229999143254,0.927174499456997
21,1.33276606811336,0.175257001228562,2.53820368361262,0.791297806805944,0.543702447412345,0.926777019489799
21.1,1.32687815785832,0.16911484339108,2.53236164428765,0.790323776626598,0.542178234535732,0.926379580881987
21.2,1.32101348428113,0.162989450379433,2.52654949487751,0.789350274477341,0.540657395212038,0.925982206010731
21.3,1.31517204738179,0.156880822193619,2.52076723538218,0.788377339561074,0.539139963721225,0.925584917330508
21.4,1.30935384716031,0.150788958833638,2.51501486580167,0.787405011039104,0.537625973924132,0.925187737370792
21.5,1.30355888361669,0.144713860299491,2.50929238613598,0.786433328027436,0.5361154592621,0.924790688733746
21.6,1.29778715675091,0.138655526591177,2.5035997963851,0.785462329593107,0.534608452756681,0.924393794091885
21.7,1.29203866656299,0.132613957708697,2.49793709654905,0.784492054750552,0.533104987009426,0.923997076185748
21.8,1.28631341305293,0.126589153652051,2.49230428662781,0.783522542457996,0.531605094201761,0.923600557821539
21.9,1.28061139622071,0.120581114421238,2.48670136662139,0.782553831613885,0.530108806094939,0.923204261868778
22,1.27493261606636,0.114589840016259,2.48112833652978,0.78158596105335,0.528616154030073,0.922808211257925
22.1,1.26927707258985,0.108615330437113,2.47558519635299,0.7806189695447,0.527127168928249,0.92241242897801
22.2,1.2636447657912,0.102657585683801,2.47007194609102,0.779652895785959,0.525641881290717,0.922016938074242
22.3,1.2580356956704,0.0967166057563225,2.46458858574387,0.778687778401431,0.524160321199158,0.921621761645617
22.4,1.25244986222746,0.090792390654677,2.45913511531153,0.777723655938304,0.522682518316026,0.921226922842521
22.5,1.24688726546237,0.0848907458779576,2.45371153479402,0.776760566863292,0.521209950648248,0.920832444864313
22.6,1.24134790537514,0.0790165554315363,2.44831784419132,0.775798549559311,0.519743867166247,0.920438350956921
22.7,1.23583178196576,0.0731594403443609,2.44295404350343,0.774837642322196,0.518281706709495,0.920044664410411
22.8,1.23033889523423,0.0673194006164322,2.43762013273037,0.773877883357453,0.516823497097692,0.919651408556566
22.9,1.22486924518055,0.0614964362477491,2.43231611187212,0.772919310777057,0.515369265728163,0.919258606766452
23,1.21942283180473,0.0556905472383124,2.42704198092869,0.771961962596277,0.513919039576762,0.918866282447983
23.1,1.21399965510677,0.0499017335881219,2.42179773990008,0.771005876730551,0.512472845198841,0.918474459043476
23.2,1.20859971508665,0.0441299952971773,2.41658338878628,0.770051090992398,0.511030708730291,0.91808316002721
23.3,1.2032230117444,0.0383753323654792,2.4113989275873,0.76909764308837,0.509592655888641,0.917692408902975
23.4,1.19786954507999,0.0326377447930269,2.40624435630314,0.768145570616046,0.508158711974228,0.917302229201619
23.5,1.19253931509344,0.0269172325798211,2.4011196749338,0.767194911061063,0.506728901871434,0.9169126444786
23.6,1.18723232178474,0.0212137957258611,2.39602488347928,0.766245701794196,0.505303250049975,0.916523678311522
23.7,1.1819485651539,0.0155274342311474,2.39095998193957,0.765297980068475,0.503881780566266,0.916135354297683
23.8,1.17668804520091,0.0098581480956801,2.38592497031468,0.764351783016346,0.502464517064838,0.915747696051615
23.9,1.17145076192577,0.0042059373194587,2.3809198486046,0.763407147646874,0.501051482779812,0.915360727202621
24,1.16623671532849,-0.00142919809751633,2.37594461680935,0.762464110842986,0.499642700536439,0.914974471392319
24.1,1.16104590540906,-0.00704725815524543,2.37099927492891,0.761522709358768,0.498238192752693,0.91458895227218
24.2,1.15587833216749,-0.0126482428537284,2.36608382296329,0.760582979816792,0.496837981440918,0.914204193501067
24.3,1.15073399560377,-0.018232152192965,2.36119826091249,0.759644958705492,0.495442088209536,0.913820218742783
24.4,1.1456128957179,-0.0237989861729554,2.3563425887765,0.758708682376589,0.494050534264799,0.913437051663605
24.5,1.14051503250989,-0.0293487447937,2.35151680655533,0.757774187042555,0.492663340412606,0.913054715929836
