"mid_point","pred5","pred_lo","pred_hi","ve","ve_lower","ve_upper"
0,2.30208212067227,1.92326036366237,2.59017371471079,0.909049332576466,0.872501565656828,0.930226492948035
0.1,2.28557486942905,1.91939785010881,2.57200926246922,0.907675288707258,0.872071271100454,0.929038273118783
0.2,2.26922057492448,1.91345210524232,2.55260405571462,0.906295616925308,0.87140647742366,0.927748262750196
0.3,2.25301923715858,1.90800749579899,2.53245685725045,0.90491065030229,0.870795134854778,0.926386074185569
0.4,2.23697085613133,1.90076465194217,2.51171892174559,0.903520727286477,0.869978044666953,0.924959287382297
0.5,2.22107543184275,1.89358325918107,2.49082946802088,0.902126191520017,0.869163551901087,0.923496425798227
0.6,2.20533296429282,1.88646331751569,2.46968539772691,0.900727391651652,0.868351754120016,0.921989140053848
0.7,2.18974345348155,1.87946817876409,2.45031576071678,0.899324681145122,0.867550028431951,0.920584538720395
0.8,2.17430689940894,1.87418047532981,2.43084107750755,0.897918418083535,0.866941252682642,0.919149058713437
0.9,2.15902330207498,1.86891117956983,2.41185716438322,0.896508964969953,0.866332241595413,0.917727014302351
1,2.14389266147969,1.86208107713249,2.39215857243147,0.895096688524453,0.865539330178135,0.916227397723474
1.1,2.12891497762306,1.85302927471538,2.37367400416766,0.893681959477961,0.864482382376949,0.914797659860117
1.2,2.11409025050508,1.84510710425705,2.35605681790757,0.892265152363107,0.863551596798629,0.913414453147099
1.3,2.09941848012576,1.83734242660873,2.33880232973017,0.890846645302387,0.862634097632358,0.912040051876622
1.4,2.0848996664851,1.83039255064472,2.31964900417327,0.889426819793927,0.86180848413794,0.910491339729823
1.5,2.0705338095831,1.8243210879468,2.3006106403717,0.888006060495097,0.861083815932781,0.908927599330998
1.6,2.05632090941976,1.81524896058279,2.28115087177972,0.886584755004284,0.859995062798039,0.907303884662439
1.7,2.04226096599508,1.81212689741874,2.26320500137747,0.88516329364109,0.859618732632827,0.905783501010625
1.8,2.02835397930905,1.80780387135509,2.24484899174783,0.883742069225233,0.859096242727873,0.904205292656955
1.9,2.01459994936169,1.80302030333728,2.22669459969082,0.882321476854436,0.858516197078989,0.902621213420978
2,2.00099887615298,1.79455041588604,2.20875551179177,0.880901913681577,0.857484265187452,0.901033008035903
2.1,1.98755075968293,1.78872773505704,2.19616987167017,0.879483778691362,0.856771222279693,0.899905036435415
2.2,1.97425559995154,1.78092199619079,2.17854688311967,0.878067472476808,0.855810676426663,0.89830640376633
2.3,1.96111339695881,1.77487963256123,2.16260270830874,0.876653397015791,0.855063452019626,0.89684059355018
2.4,1.94812415070474,1.76774466704181,2.14757509254827,0.875241955447911,0.854176974123147,0.895441960938487
2.5,1.93528786118933,1.76014316393812,2.13091546472466,0.873833551851954,0.853227589563885,0.893871885148866
2.6,1.92260452841257,1.75411161221087,2.11390458450603,0.872428591024173,0.852470646332027,0.892247303352724
2.7,1.91007415237447,1.74577244503128,2.09734396257601,0.871027478257656,0.851418789974656,0.890644757876517
2.8,1.89769673307504,1.7403306324225,2.08297874513561,0.869630619122997,0.850729057061417,0.88923776205023
2.9,1.88547227051426,1.73372587937475,2.06734563266879,0.868238419250525,0.849888380875188,0.887688599725625
3,1.87340076469214,1.726205957495,2.05183148036096,0.866851284114286,0.848926477007858,0.886132548849034
3.1,1.86148221560867,1.71968269917742,2.03952559565012,0.865469618818022,0.848087961479416,0.884884952254997
3.2,1.84971662326387,1.71115239396099,2.02824386704887,0.864093827883334,0.846985695288433,0.883730755590678
3.3,1.83810398765773,1.70154844512751,2.01787446970639,0.862724315040234,0.8457368625619,0.882661045829564
3.4,1.82664430879024,1.69446790306687,2.00633612738344,0.861361483020285,0.844810829342015,0.881460727250288
3.5,1.81533758666141,1.68756118020358,1.99480996835848,0.8600057333525,0.843903162029964,0.880251080090769
3.6,1.80418382127125,1.67999779846114,1.98439890773676,0.858657466162171,0.842904239594295,0.879149307629233
3.7,1.79318301261974,1.67202991142469,1.9735858002172,0.857317079972809,0.841846273425217,0.877995742215921
3.8,1.78233516070688,1.66356807119479,1.962865851272,0.855984971511325,0.840716392889094,0.876842768741868
3.9,1.77164026553269,1.65525088745629,1.95390335789299,0.854661535516613,0.839599460630766,0.875871639875934
4,1.76109832709716,1.64884949857288,1.94538884965115,0.853347164551665,0.838735496237188,0.87494297173066
4.1,1.75070934540028,1.64255502201114,1.93593883535516,0.852042248819335,0.837882299930955,0.873905303297656
4.2,1.74047332044207,1.63557440197346,1.92733755320559,0.850747175981885,0.836931845650593,0.872954434329427
4.3,1.73039025222251,1.6257071396651,1.91587262485417,0.849462330984393,0.835580710956559,0.87167747038888
4.4,1.72046014074161,1.6152773557812,1.9045904014654,0.848188095882141,0.834142789240762,0.870410186893021
4.5,1.71068298599937,1.60705373230885,1.89345441884772,0.846924849672055,0.833001933989899,0.869148899704137
