"study_id","author","location_id","location_id2","location_name","location_name2","vac_before_booster","vaccine_developer","variant","symptom_severity","severity","sample_size","age_start","age_end","efficacy_mean","efficacy_lower","efficacy_upper","booster","vemt","mean_time_since.vaccination","start_interval","end_interval","sev_severity","mid_point1","mid_point","study_id2","se","mean_logit","sd_logit","in_var"
500,"MoH Israel","85","85","Israel","Israel Delta Hosp","","Pfizer & BioNTech","B.1.617.2","Severe","hosp",NA,16,60,0.82,0.66,0.9,0,0,NA,19,22,"severe",20.5,20.5,"500&Israel Delta Hosp&B.1.617.2&hosp&16&60",0.0612244897959184,1.51634748936809,0.414800066368011,0.404145188432738
500,"MoH Israel","85","85","Israel","Israel Delta Hosp","","Pfizer & BioNTech","B.1.617.2","Severe","hosp",NA,16,60,0.91,0.81,0.94,0,0,NA,15,18,"severe",16.5,16.5,"500&Israel Delta Hosp&B.1.617.2&hosp&16&60",0.0331632653061224,2.31363492918063,0.404923874311629,0.549125178386916
500,"MoH Israel","85","85","Israel","Israel Delta Hosp","","Pfizer & BioNTech","B.1.617.2","Severe","hosp",NA,16,60,0.89,0.77,0.94,0,0,NA,10,14,"severe",12,12,"500&Israel Delta Hosp&B.1.617.2&hosp&16&60",0.0433673469387755,2.09074109693377,0.442975964645306,0.480196038399025
500,"MoH Israel","85","85","Israel","Israel Delta Hosp","","Pfizer & BioNTech","B.1.617.2","Severe","hosp",NA,16,60,0.83,0.47,0.94,0,0,NA,2,9,"severe",5.5,5.5,"500&Israel Delta Hosp&B.1.617.2&hosp&16&60",0.119897959183673,1.58562726374038,0.849737485355588,0.288797948952462
500,"MoH Israel","85","85","Israel","Israel Delta Death","","Pfizer & BioNTech","B.1.617.2","Severe","death",NA,16,60,0.86,0.71,0.94,0,0,NA,19,22,"severe",20.5,20.5,"500&Israel Delta Death&B.1.617.2&death&16&60",0.0586734693877551,1.81528996663825,0.487321174316903,0.412837477233712
500,"MoH Israel","85","85","Israel","Israel Delta Death","","Pfizer & BioNTech","B.1.617.2","Severe","death",NA,16,60,0.91,0.79,0.96,0,0,NA,15,18,"severe",16.5,16.5,"500&Israel Delta Death&B.1.617.2&death&16&60",0.0433673469387755,2.31363492918063,0.529515835638285,0.480196038399025
500,"MoH Israel","85","85","Israel","Israel Delta Death","","Pfizer & BioNTech","B.1.617.2","Severe","death",NA,16,60,0.94,0.79,0.98,0,0,NA,10,14,"severe",12,12,"500&Israel Delta Death&B.1.617.2&death&16&60",0.048469387755102,2.75153531304195,0.859386307714574,0.454219979166135
500,"MoH Israel","85","85","Israel","Israel Delta Death","","Pfizer & BioNTech","B.1.617.2","Severe","death",NA,16,60,0.84,0.24,0.96,0,0,NA,2,9,"severe",5.5,5.5,"500&Israel Delta Death&B.1.617.2&death&16&60",0.183673469387755,1.65822807660353,1.36661807580175,0.233333333333333
505,"Puranik A ","102","102","United States","USA Mayo Clinic mixed hosp","","Pfizer & BioNTech","B.1.617.2","Severe","hosp",NA,18,85,0.75,0.24,0.939,0,0,NA,25,28,"severe",26.5,26.5,"505&USA Mayo Clinic mixed hosp&B.1.617.2&hosp&18&85",0.178316326530612,1.09861228866811,0.951020408163265,0.236812403495284
509,"Tartof S","102","102","United States","US  Kaiser study Delta hosp","","Pfizer & BioNTech","B.1.617.2","severe","hosp",NA,18,75,0.9,0.86,0.915,0,0,NA,0,4,"severe",2,2,"509&US  Kaiser study Delta hosp&B.1.617.2&hosp&18&75",0.014030612244898,2.19722457733622,0.155895691609977,0.844231764817738
