"iso3","iso3.re","iso3.re.var","group"
"ARM",-0.174728051756318,0.00516610580340323,"t.0"
"BEN",-0.041825374977582,0.00511913801935742,"t.0"
"BFA",0.0137466683029192,0.00511913801935742,"t.0"
"BGD",-0.00946798359850107,0.00378618010980298,"t.0"
"BOL",0.0194183479593658,0.0038377392130049,"t.0"
"BRA",-0.00311295791586354,0.00666394006832092,"t.0"
"CIV",0.0564286550972556,0.00662913242425978,"t.0"
"CMR",0.0226503542908293,0.00511913801935742,"t.0"
"COL",0.0399445814287486,0.00346912030997091,"t.0"
"DOM",-0.0538880697967108,0.0038377392130049,"t.0"
"EGY",-0.0631351857528207,0.00354870875943121,"t.0"
"ERI",-0.0629657814139276,0.00661537523424964,"t.0"
"ETH",-0.113926677906968,0.00508885938817488,"t.0"
"GHA",-0.0685442552030658,0.00370448313947542,"t.0"
"GIN",0.000127936117602442,0.00662913242425978,"t.0"
"GTM",0.000847520422538017,0.00519574725540658,"t.0"
"HTI",-8.11724539253611e-05,0.00519574725540658,"t.0"
"IDN",-0.055096214042976,0.00341029767227674,"t.0"
"IND",0.0636738096082975,0.00516610580340323,"t.0"
"JOR",0.154762654856669,0.00411773422786798,"t.0"
"KAZ",0.189091798821155,0.00665047238264754,"t.0"
"KEN",0.0815115196296973,0.00365181571043796,"t.0"
"KHM",-0.0390945185420423,0.00516610580340323,"t.0"
"LBR",0.0453956054544441,0.00662913242425978,"t.0"
"LSO",0.0537272963477606,0.00661537523424964,"t.0"
"MAR",0.0195572738159759,0.00535671706052009,"t.0"
"MDG",-0.0762694005288602,0.00421620202706039,"t.0"
"MLI",0.0115193325328473,0.00425923520206029,"t.0"
"MOZ",0.014769220590088,0.00661537523424964,"t.0"
"MWI",-0.0159381482768898,0.00421620202706039,"t.0"
"NAM",0.00401457074332386,0.00508885938817488,"t.0"
"NER",0.0696614140672317,0.00511913801935742,"t.0"
"NGA",0.0555615189378837,0.00511913801935742,"t.0"
"NIC",-0.00594893905276015,0.00666394006832092,"t.0"
"NPL",-0.0676942856139607,0.00432598765391375,"t.0"
"PAK",0.0628566509660197,0.00665047238264754,"t.0"
"PER",-0.104854445770407,0.00346912030997091,"t.0"
