"fixef.fit.","group","param"
-0.225440788586455,"t.0","(Intercept)"
1.06319162741894,"t.0","cdceb"
-0.0161115836655316,"t.1","(Intercept)"
1.06385939496925,"t.1","cdceb"
-0.0915172622244224,"t.2","(Intercept)"
1.0403692765366,"t.2","cdceb"
-0.0347554218119632,"t.3","(Intercept)"
1.05308018817624,"t.3","cdceb"
-0.0342179164715138,"t.4","(Intercept)"
1.05016456332272,"t.4","cdceb"
-0.12975616948227,"t.5","(Intercept)"
1.04993327840595,"t.5","cdceb"
0.00752686860049506,"t.6","(Intercept)"
1.07707812961266,"t.6","cdceb"
-0.0413677192252625,"t.7","(Intercept)"
1.05285474816758,"t.7","cdceb"
0.0682615829079548,"t.8","(Intercept)"
1.07046607742319,"t.8","cdceb"
-0.0932066417526628,"t.9","(Intercept)"
1.0242417902479,"t.9","cdceb"
0.163539992714145,"t.10","(Intercept)"
1.08586676826088,"t.10","cdceb"
-0.0581860701714102,"t.11","(Intercept)"
1.02611889640071,"t.11","cdceb"
0.193136076073781,"t.12","(Intercept)"
1.08026828691096,"t.12","cdceb"
0.0772843915239409,"t.13","(Intercept)"
1.04462565416154,"t.13","cdceb"
0.126659682817154,"t.14","(Intercept)"
1.07092009710193,"t.14","cdceb"
0.115460543839691,"t.15","(Intercept)"
1.05719573019222,"t.15","cdceb"
0.134530223862579,"t.16","(Intercept)"
1.05245068138295,"t.16","cdceb"
0.0717975900831212,"t.17","(Intercept)"
1.04119718630309,"t.17","cdceb"
0.270214816810805,"t.18","(Intercept)"
1.07274987087787,"t.18","cdceb"
0.058966642127504,"t.19","(Intercept)"
1.02702149635575,"t.19","cdceb"
0.319996258023053,"t.20","(Intercept)"
1.07749654299609,"t.20","cdceb"
0.049096958318524,"t.21","(Intercept)"
1.01874102801288,"t.21","cdceb"
0.282632368861863,"t.22","(Intercept)"
1.06950859649675,"t.22","cdceb"
0.138263996081524,"t.23","(Intercept)"
1.01199105950094,"t.23","cdceb"
0.221265452295886,"t.24","(Intercept)"
1.03906001908088,"t.24","cdceb"
