"model.error","group","type"
0.13654921434835,"t.0","data"
0.0997848242583184,"t.0","iso3"
0.0640965724969985,"t.0","gbdregion"
0.144509173753588,"t.1","data"
0.0882175749536885,"t.1","iso3"
0,"t.1","gbdregion"
0.123907440145163,"t.2","data"
0.0625356938159921,"t.2","iso3"
0.0444463637519142,"t.2","gbdregion"
0.109439147306238,"t.3","data"
0.0413334674006342,"t.3","iso3"
0.0498539294565304,"t.3","gbdregion"
0.101825191414837,"t.4","data"
0.0330181197473031,"t.4","iso3"
0.0458505852841648,"t.4","gbdregion"
0.0978277580099399,"t.5","data"
0.0206380369096929,"t.5","iso3"
0.0818744015987991,"t.5","gbdregion"
0.0963450790612884,"t.6","data"
0.0284983984201139,"t.6","iso3"
0.0184576135923852,"t.6","gbdregion"
0.10117641761665,"t.7","data"
0,"t.7","iso3"
0,"t.7","gbdregion"
0.107546342552757,"t.8","data"
0.0177036808983329,"t.8","iso3"
0.00736953938666912,"t.8","gbdregion"
0.113732579431443,"t.9","data"
3.33808325124452e-09,"t.9","iso3"
0.0225828330593776,"t.9","gbdregion"
0.123265671141711,"t.10","data"
0,"t.10","iso3"
0.0367712635380641,"t.10","gbdregion"
0.128472604435148,"t.11","data"
0,"t.11","iso3"
0.0580692884983641,"t.11","gbdregion"
0.136282027519786,"t.12","data"
0,"t.12","iso3"
0,"t.12","gbdregion"
0.140503860284173,"t.13","data"
7.69873110651629e-10,"t.13","iso3"
0.00686462711146152,"t.13","gbdregion"
0.142433600738911,"t.14","data"
0,"t.14","iso3"
0,"t.14","gbdregion"
0.144501031835395,"t.15","data"
8.31521893171334e-10,"t.15","iso3"
0.0325881903043692,"t.15","gbdregion"
0.143214790869672,"t.16","data"
0,"t.16","iso3"
0,"t.16","gbdregion"
0.141068156676848,"t.17","data"
0,"t.17","iso3"
0,"t.17","gbdregion"
0.14099173084759,"t.18","data"
0,"t.18","iso3"
0.0306103968594266,"t.18","gbdregion"
0.140396461336477,"t.19","data"
0.0285124236393515,"t.19","iso3"
0.0422765138290148,"t.19","gbdregion"
0.139276397532639,"t.20","data"
0.0408828337149037,"t.20","iso3"
0.0509560518792866,"t.20","gbdregion"
0.137772554881905,"t.21","data"
0.0527090603966536,"t.21","iso3"
0.0165790776526831,"t.21","gbdregion"
0.132746373154527,"t.22","data"
0.0550461953261958,"t.22","iso3"
0,"t.22","gbdregion"
0.132894308163335,"t.23","data"
0.0612774144273386,"t.23","iso3"
3.46256077796472e-07,"t.23","gbdregion"
0.129735645130556,"t.24","data"
0.0668154693392864,"t.24","iso3"
0.0318164571439153,"t.24","gbdregion"
