mid_point,pred5,pred_lo,pred_hi,ve,pinf,ve_lower,ve_upper
0,1.81186041635872,1.3367008029064,2.31816242648536,0.859586572117751,0.959586572117751,0.791946866120024,0.910370114363402
0.1,1.81141477676457,1.33571455950594,2.31729801033435,0.859532775914369,0.959532775914369,0.791784318937531,0.910299556119198
0.2,1.81095832858415,1.33472556186395,2.31642634485556,0.859477657058815,0.959477657058815,0.791621223844368,0.910228355447158
0.3,1.81049107181746,1.3336724188212,2.31554743004899,0.859421214262859,0.959421214262859,0.791447447108325,0.910156511049131
0.4,1.8100130064645,1.33270146354228,2.31466126591464,0.859363446207375,0.959363446207375,0.791287137445297,0.910084021615008
0.5,1.80952413252526,1.33166564076197,2.31376785245251,0.859304351542324,0.959304351542324,0.791116017829734,0.910010885822689
0.6,1.80902444999976,1.3306275076548,2.31286718966259,0.859243928886718,0.959243928886718,0.790944412967253,0.909937102338063
0.7,1.80851395888798,1.32958706422078,2.31195927754489,0.859182176828598,0.959182176828598,0.790772322164044,0.909862669814971
0.8,1.80799265918992,1.3285443104599,2.31104411609941,0.859119093925003,0.959119093925003,0.790599744724845,0.909787586895176
0.9,1.8074605509056,1.32749924637217,2.31012170532614,0.859054678701941,0.959054678701941,0.790426679952947,0.90971185220834
1,1.806917634035,1.32645187195759,2.3091920452251,0.858988929654358,0.958988929654358,0.790253127150199,0.909635464371987
1.1,1.80636390857813,1.32540218721615,2.30825513579627,0.858921845246112,0.958921845246112,0.790079085617002,0.909558421991475
1.2,1.80579937453499,1.32435019214785,2.30731097703966,0.858853423909937,0.958853423909936,0.789904554652325,0.909480723659968
1.3,1.80522403190558,1.3232958867527,2.30635956895526,0.858783664047415,0.958783664047415,0.789729533553692,0.909402367958401
1.4,1.80463788068989,1.32191384621754,2.30540091154309,0.858712564028944,0.958712564028944,0.789499944433501,0.909323353455451
1.5,1.80404092088793,1.3194822507961,2.30443500480313,0.858640122193703,0.958640122193703,0.789095553649758,0.909243678707508
1.6,1.8034331524997,1.31706130245641,2.30346184873539,0.858566336849622,0.958566336849622,0.788692368335626,0.909163342258639
1.7,1.8028145755252,1.31466715601666,2.30248144333986,0.858491206273346,0.958491206273346,0.788293091973396,0.909082342640558
1.8,1.80218518996442,1.31294893046379,2.30149378861656,0.858414728710203,0.958414728710203,0.788006200263593,0.909000678372598
1.9,1.80154499581738,1.31267049328122,2.30075558742723,0.858336902374168,0.958336902374168,0.787959682926028,0.90893959707887
2,1.80089399308406,1.31239231304388,2.30008008988285,0.858257725447826,0.958257725447826,0.787913201065558,0.908883671777355
2.1,1.80023218176446,1.31210532801559,2.2993986322299,0.85817719608234,0.95817719608234,0.787865240186154,0.908827221718981
2.2,1.7995595618586,1.3118023013375,2.29871121446838,0.858095312397413,0.958095312397413,0.787814589827604,0.908770246065209
2.3,1.79887613336646,1.31135321217336,2.29788885652536,0.85801207248125,0.95801207248125,0.787739509139346,0.908702044006382
2.4,1.79818189628805,1.31015943194112,2.29694781507907,0.857927474390523,0.957927474390523,0.787539833387365,0.908623942691941
2.5,1.79747685062337,1.30896305534767,2.29645856829673,0.857841516150332,0.957841516150332,0.787339585783272,0.908583314135385
2.6,1.79676099637242,1.30776408239303,2.29592881730429,0.857754195754165,0.957754195754165,0.787138765431627,0.908539303664982
2.7,1.79603433353519,1.30656251307719,2.29522646147278,0.857665511163861,0.957665511163861,0.78693737143526,0.908480924210509
2.8,1.7952968621117,1.30535834740015,2.29451782033537,0.857575460309571,0.957575460309571,0.786735402895277,0.908421988365862
2.9,1.79454858210193,1.30415158536191,2.29380289389207,0.857484041089717,0.957484041089717,0.786532858911064,0.908362495208395
3,1.79378949350588,1.30294222696248,2.29308168214287,0.857391251370952,0.957391251370952,0.786329738580294,0.908302443806613
3.1,1.79301959632357,1.30217976943194,2.29235418508778,0.857297088988119,0.957297088988119,0.786201606097257,0.908241833220155
3.2,1.79223889055498,1.30185448113046,2.29162040272679,0.857201551744209,0.957201551744209,0.7861469237385,0.908180662499773
3.3,1.79144737620012,1.30151802637112,2.2908803350599,0.85710463741032,0.95710463741032,0.786090353539417,0.908118930687317
3.4,1.79064505325899,1.30087000654766,2.29013398208712,0.857006343725614,0.957006343725614,0.785981367308043,0.908056636815715
3.5,1.78983192173159,1.29976867379937,2.28938134380844,0.856906668397277,0.956906668397277,0.785796048647584,0.907993779908957
3.6,1.78900798161791,1.29866485572589,2.28862242022387,0.85680560910047,0.95680560910047,0.785610194694771,0.907930358982073
