study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,study_id2,e_mean,se,mean_logit,sd_logit
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.74,0.405,0.887,0,0,,2,4,severe,3,3,525&UK Omicron hosp&Omicron&hosp&18&80,0.64,0.122959183673469,0.575364144903562,0.533677012471655
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.72,0.5,0.85,0,0,,5,9,severe,7,7,525&UK Omicron hosp&Omicron&hosp&18&80,0.62,0.0892857142857143,0.489548225318706,0.378971622604899
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.54,0.36,0.68,0,0,,10,14,severe,12,12,525&UK Omicron hosp&Omicron&hosp&18&80,0.44,0.0816326530612245,-0.241162056816888,0.331301351709515
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.6,0.49,0.69,0,0,,15,19,severe,17,17,525&UK Omicron hosp&Omicron&hosp&18&80,0.5,0.0510204081632653,0,0.204081632653061
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.57,0.43,0.68,0,0,,20,24,severe,22,22,525&UK Omicron hosp&Omicron&hosp&18&80,0.47,0.0637755102040816,-0.120144311842063,0.256023726230757
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.35,0.18,0.49,0,0,,25,29,severe,27,27,525&UK Omicron hosp&Omicron&hosp&18&80,0.25,0.0790816326530612,-1.09861228866811,0.421768707482993
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",AstraZeneca,Omicron,severe,hosp,,18,80,0.56,0.34,0.7,0,0,,20,24,severe,22,22,525&UK Omicron hosp&Omicron&hosp&18&80,0.46,0.0918367346938775,-0.160342650075179,0.369713102632357
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",AstraZeneca,Omicron,severe,hosp,,18,80,0.32,0.2,0.44,0,0,,25,29,severe,27,27,525&UK Omicron hosp&Omicron&hosp&18&80,0.22,0.0612244897959184,-1.26566637333128,0.356786071071785
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,10,60,0.621,0.567,0.672,0,0,,12,25,severe,18.5,18.5,533&UK 2 Omicron hosp&Omicron&hosp&10&60,0.521,0.0267857142857143,0.0840494443424519,0.107332191128007
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,10,60,0.439,0.384,0.492,0,0,,26,34,severe,30,30,533&UK 2 Omicron hosp&Omicron&hosp&10&60,0.339,0.0275510204081633,-0.667753732471236,0.122952264193268
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron death,"",Pfizer & BioNTech,Omicron,severe,death,,10,60,0.754,0.708,0.793,0,0,,12,25,severe,18.5,18.5,533&UK 2 Omicron death&Omicron&death&10&60,0.654,0.0216836734693878,0.636668576399475,0.0958250405215914
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron death,"",Pfizer & BioNTech,Omicron,severe,death,,10,60,0.593,0.536,0.645,0,0,,26,34,severe,30,30,533&UK 2 Omicron death&Omicron&death&10&60,0.493,0.0278061224489796,-0.0280018295484931,0.111246294069556
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron hosp,"",AstraZeneca,Omicron,severe,hosp,,10,60,0.397,0.346,0.451,0,0,,12,25,severe,18.5,18.5,533&UK 2 Omicron hosp&Omicron&hosp&10&60,0.297,0.0267857142857143,-0.861624753007965,0.128289601973813
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron hosp,"",AstraZeneca,Omicron,severe,hosp,,10,60,0.239,0.201,0.281,0,0,,26,34,severe,30,30,533&UK 2 Omicron hosp&Omicron&hosp&10&60,0.139,0.0204081632653061,-1.82362057129704,0.170524179390755
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron death,"",AstraZeneca,Omicron,severe,death,,10,60,0.552,0.496,0.607,0,0,,12,25,severe,18.5,18.5,533&UK 2 Omicron death&Omicron&death&10&60,0.452,0.0283163265306122,-0.192593107115784,0.114318868817471
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron death,"",AstraZeneca,Omicron,severe,death,,10,60,0.37,0.318,0.423,0,0,,26,34,severe,30,30,533&UK 2 Omicron death&Omicron&death&10&60,0.27,0.0267857142857143,-0.994622575144062,0.135899108501848
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.99,-1.89,0.99,0,0,,0,1,severe,0.5,0.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.89,0.73469387755102,2.09074109693377,7.5045339892852
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.73,-0.07,0.97,0,0,,2,3,severe,2.5,2.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.63,0.26530612244898,0.532216813747308,1.13816440347053
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.82,0.45,0.96,0,0,,4,5,severe,4.5,4.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.72,0.130102040816327,0.944461608840851,0.645347424684159
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.74,0.36,0.96,0,0,,6,7,severe,6.5,6.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.64,0.153061224489796,0.575364144903562,0.664328231292517
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.68,0.28,0.91,0,0,,8,9,severe,8.5,8.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.58,0.160714285714286,0.322773392263051,0.659746657283603
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.46,-0.15,0.77,0,0,,10,11,severe,10.5,10.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.36,0.23469387755102,-0.575364144903562,1.01863662131519
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.48,-0.12,0.75,0,0,,12,13,severe,12.5,12.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.38,0.221938775510204,-0.489548225318706,0.942015176189321
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.94,0.76,0.99,0,0,,0,1,severe,0.5,0.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.84,0.0586734693877551,1.65822807660353,0.436558551992225
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.95,0.64,0.99,0,0,,2,3,severe,2.5,2.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.85,0.0892857142857143,1.73460105538811,0.700280112044818
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.85,0.63,0.95,0,0,,4,5,severe,4.5,4.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.75,0.0816326530612245,1.09861228866811,0.435374149659864
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.78,0.63,0.88,0,0,,6,7,severe,6.5,6.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.68,0.0637755102040816,0.75377180237638,0.293085984393758
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.74,0.61,0.84,0,0,,8,9,severe,8.5,8.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.64,0.0586734693877551,0.575364144903562,0.254659155328798
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.74,0.63,0.82,0,0,,10,11,severe,10.5,10.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.64,0.048469387755102,0.575364144903562,0.210370606575964
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.75,0.64,0.86,0,0,,12,13,severe,12.5,12.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.65,0.0561224489795918,0.619039208406224,0.246692083426777
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.75,0.61,0.83,0,0,,14,15,severe,14.5,14.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.65,0.0561224489795918,0.619039208406224,0.246692083426777
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.73,0.53,0.87,0,0,,16,17,severe,16.5,16.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.63,0.086734693877551,0.532216813747308,0.372092208826903
545,Baum U,0,79,79,Finland,Finland Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,70,115,0.91,0.797,0.96,0,0,,2,12,severe,7,7,545&Finland Omicron hosp&Omicron&hosp&70&115,0.81,0.0415816326530612,1.450010175506,0.270186047128403
545,Baum U,0,79,79,Finland,Finland Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,70,115,0.759,0.56,0.86,0,0,,13,25,severe,19,19,545&Finland Omicron hosp&Omicron&hosp&70&115,0.659,0.076530612244898,0.658841057218991,0.340561377742416
545,Baum U,0,79,79,Finland,Finland Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,70,115,0.612,0.48,0.709,0,0,,26,38,severe,32,32,545&Finland Omicron hosp&Omicron&hosp&70&115,0.512,0.0584183673469388,0.0480092191863607,0.233808142878053
1008,Price A,0,102,102,United States,US Omicron,"",Pfizer & BioNTech,Omicron,severe,severe,,12,18,0.43,-0.01,0.68,0,0,,2,22,severe,12,12,1008&US Omicron&Omicron&severe&12&18,0.33,0.176020408163265,-0.708185057924486,0.796112203361671
1008,Price A,0,102,102,United States,US Omicron,"",Pfizer & BioNTech,Omicron,severe,severe,,12,18,0.38,-0.03,0.62,0,0,,23,44,severe,33.5,33.5,1008&US Omicron&Omicron&severe&12&18,0.28,0.165816326530612,-0.944461608840851,0.822501619695497
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 18-64,"",AstraZeneca,Omicron,severe,hosp,,18,64,0.385,0.202,0.526,0,0,,2,24,severe,13,13,554&UK 4 Omicron hosp 18-64&Omicron&hosp&18&64,0.285,0.0826530612244898,-0.919793362425357,0.405609428165819
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 18-64,"",AstraZeneca,Omicron,severe,hosp,,18,64,0.316,0.223,0.397,0,0,,25,32,severe,28.5,28.5,554&UK 4 Omicron hosp 18-64&Omicron&hosp&18&64,0.216,0.0443877551020408,-1.28913061266624,0.262115900782082
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 18-64,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,64,0.528,0.181,0.728,0,0,,0,2,severe,1,1,554&UK 4 Omicron hosp 18-64&Omicron&hosp&18&64,0.428,0.139540816326531,-0.290015795798001,0.569982420783489
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 18-64,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,64,0.61,0.553,0.659,0,0,,3,24,severe,13.5,13.5,554&UK 4 Omicron hosp 18-64&Omicron&hosp&18&64,0.51,0.0270408163265306,0.0400053346136992,0.108206547925293
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 18-64,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,64,0.33,0.213,0.429,0,0,,25,32,severe,28.5,28.5,554&UK 4 Omicron hosp 18-64&Omicron&hosp&18&64,0.23,0.0551020408163265,-1.20831120592453,0.311135182475023
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 65-90,"",AstraZeneca,Omicron,severe,hosp,,65,90,0.553,-0.201,0.833,0,0,,2,24,severe,13,13,554&UK 4 Omicron hosp 65-90&Omicron&hosp&65&90,0.453,0.263775510204082,-0.188556676938947,1.06450803380301
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 65-90,"",AstraZeneca,Omicron,severe,hosp,,65,90,0.563,0.396,0.683,0,0,,25,32,severe,28.5,28.5,554&UK 4 Omicron hosp 65-90&Omicron&hosp&65&90,0.463,0.0732142857142857,-0.14827104042263,0.294469658708229
