"model.error","group","type"
0.161205483296719,"0-4","data"
0.206189403848922,"0-4","iso3"
0.20001410868027,"0-4","gbdregion"
0.120327631128771,"5-9","data"
0.0678572406297948,"5-9","iso3"
0.0842604424469125,"5-9","gbdregion"
0.121505460331408,"10-14","data"
0.0406006025095081,"10-14","iso3"
0.0787397262971196,"10-14","gbdregion"
0.108053596973002,"15-19","data"
0.0560737620418408,"15-19","iso3"
0.0618066836167757,"15-19","gbdregion"
0.119368594701197,"20-24","data"
0.0485124282054977,"20-24","iso3"
0.0246347452895232,"20-24","gbdregion"
0.153732997730126,"25-29","data"
0.0697403926688597,"25-29","iso3"
0,"25-29","gbdregion"
0.18480625445528,"30-34","data"
0.104457832665162,"30-34","iso3"
0,"30-34","gbdregion"
