"iso3","iso3.re","iso3.re.var","group"
"ARM",-0.0996127431201938,0.00944041599243132,"0-4"
"AZE",0.0623792742023712,0.0173810977479579,"0-4"
"BDI",0.0079026900302923,0.0171662532049208,"0-4"
"BEN",-0.0407273555799175,0.00902532392392376,"0-4"
"BFA",0.0610650198715288,0.00902532392392376,"0-4"
"BGD",0.132510662437754,0.00721332410982121,"0-4"
"BOL",0.172649351629648,0.00755118523290455,"0-4"
"BRA",0.0819713823277397,0.012109282758999,"0-4"
"BWA",-0.265050801091002,0.0171662532049208,"0-4"
"CAF",-0.0651188408127717,0.0171494181520815,"0-4"
"CIV",-0.0145782581593122,0.0115068222289959,"0-4"
"CMR",-0.0801341235101366,0.00902532392392376,"0-4"
"COD",-0.121421094944064,0.0171494181520815,"0-4"
"COG",0.0436319237672995,0.0171494181520815,"0-4"
"COL",0.102729097509987,0.00695966064741878,"0-4"
"COM",-0.109303385436209,0.0171662532049208,"0-4"
"DOM",0.00413172795510804,0.00755118523290455,"0-4"
"ECU",-0.000669777492778758,0.0175450008708635,"0-4"
"EGY",0.0274293556355548,0.00963974189626692,"0-4"
"ERI",0.00403186680791458,0.0115324615058768,"0-4"
"ETH",-0.0488379074218498,0.00905548668763212,"0-4"
"GAB",-0.232699991304251,0.0171494181520815,"0-4"
"GHA",-0.139943902309505,0.00673575219373641,"0-4"
"GIN",0.0577607702750177,0.0115068222289959,"0-4"
"GTM",-0.104296200258847,0.00973407537173211,"0-4"
"GUY",-0.15009471057113,0.0175450008708635,"0-4"
"HND",-0.180426057490793,0.0175450008708635,"0-4"
"HTI",0.148134340482237,0.00973407537173211,"0-4"
"IDN",0.176669368319689,0.00660918886613399,"0-4"
"IND",0.123736143903671,0.00944041599243132,"0-4"
"JOR",-0.497492021530807,0.0104751985415505,"0-4"
"KAZ",0.16601116386836,0.0118596632543885,"0-4"
"KEN",-0.0993120248303717,0.0067704550704028,"0-4"
"KGZ",-0.0357139626943263,0.0173810977479579,"0-4"
"KHM",0.127064095095265,0.00944041599243132,"0-4"
"LBR",-0.0996653366427448,0.0115068222289959,"0-4"
"LKA",-0.119825228550667,0.0173810977479579,"0-4"
"LSO",0.176214219784294,0.0115324615058768,"0-4"
"MAR",0.0671793226025026,0.0122755454451398,"0-4"
"MDG",-0.0179712539172688,0.00766286815052147,"0-4"
"MDV",-0.196351196181068,0.0173810977479579,"0-4"
"MEX",0.060857208827602,0.0175450008708635,"0-4"
"MLI",0.108683218433078,0.00762998094516283,"0-4"
"MOZ",0.0344826399825488,0.0115324615058768,"0-4"
"MRT",-0.241967146430321,0.0171494181520815,"0-4"
"MWI",0.129541142219172,0.00766286815052147,"0-4"
"NAM",-0.075466388677824,0.00905548668763212,"0-4"
"NER",0.190606567905999,0.00902532392392376,"0-4"
"NGA",0.0836758927731342,0.00902532392392376,"0-4"
"NIC",0.0130014714912149,0.012109282758999,"0-4"
"NPL",0.0115429596374081,0.00808256606739301,"0-4"
"PAK",-0.0887470718476522,0.0118596632543885,"0-4"
"PER",0.175423424800118,0.00755118523290455,"0-4"
"PHL",-0.19187608070971,0.00944041599243132,"0-4"
"PRY",-0.190302470357868,0.0175450008708635,"0-4"
"RWA",0.0412373870638588,0.0067704550704028,"0-4"
"SDN",-0.0787753638932771,0.0171662532049208,"0-4"
"SEN",-0.194729185275876,0.00673575219373641,"0-4"
"SLE",-0.0205067161541264,0.0171494181520815,"0-4"
"STP",0.993954724608608,0.0171494181520815,"0-4"
"SWZ",0.283663609520045,0.0171662532049208,"0-4"
"TCD",0.0107275749268526,0.0115068222289959,"0-4"
"TGO",0.0191331620839285,0.0115068222289959,"0-4"
"THA",0.0344239465972329,0.0173810977479579,"0-4"
"TTO",-0.152433756163324,0.0175450008708635,"0-4"
"TUN",-0.0430911453560292,0.0189634976435337,"0-4"
"TUR",0.166878429743442,0.0122755454451398,"0-4"
"TZA",0.0346392310224139,0.0067704550704028,"0-4"
"UGA",0.021812235526435,0.00766286815052147,"0-4"
"UZB",-0.0962374213817442,0.0173810977479579,"0-4"
"VNM",-0.0827338310807242,0.0118596632543885,"0-4"
"YEM",-0.0214047223112874,0.0189634976435337,"0-4"
"ZAF",0.0465451053854752,0.0171662532049208,"0-4"
"ZMB",0.092948684312303,0.00766286815052147,"0-4"
"ZWE",-0.0994629198770302,0.0067704550704028,"0-4"
"ARM",-0.0283347551083641,0.00251220594534435,"5-9"
"AZE",-0.031771038445549,0.00353161290223224,"5-9"
"BDI",0.0420101317930842,0.00352356917561847,"5-9"
"BEN",-0.00369369740964797,0.00248538984977483,"5-9"
"BFA",0.000704012342660342,0.00248538984977483,"5-9"
"BGD",0.0228493741297489,0.00202406915410154,"5-9"
"BOL",-0.0230635642993856,0.00205112494151397,"5-9"
"BRA",0.0315888430753792,0.00292409200803278,"5-9"
"BWA",0.0394652615606506,0.00352356917561847,"5-9"
"CAF",0.0376737768910689,0.00352506370014074,"5-9"
"CIV",-0.0538366002253796,0.00289623994122879,"5-9"
"CMR",-0.0581202318205021,0.00248538984977483,"5-9"
"COD",0.000232968972251794,0.00352506370014074,"5-9"
"COG",-0.013846416483959,0.00352506370014074,"5-9"
"COL",0.0196108806716041,0.00189560982037026,"5-9"
"COM",-0.0258375731215236,0.00352356917561847,"5-9"
"DOM",0.157875374452624,0.00205112494151397,"5-9"
"ECU",0.012904795395871,0.00353579230874977,"5-9"
"EGY",0.0313141911798558,0.00206989995175813,"5-9"
"ERI",-0.000619196777322026,0.00289236007214683,"5-9"
