study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,vaccine_type,study_id2,e_mean,se,mean_logit,sd_logit
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.66,0.64,0.67,0,0,,4,5,infection,4.5,4.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.622222222222222,0.00944822373393803,0.498991166118987,0.0401946492882868
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.57,0.56,0.58,0,0,,6,7,infection,6.5,6.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.522222222222222,0.00629881582262532,0.0889474860164955,0.0252451302143815
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.55,0.54,0.56,0,0,,8,9,infection,8.5,8.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.5,0.00629881582262535,0,0.0251952632905014
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.53,0.52,0.54,0,0,,10,11,infection,10.5,10.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.477777777777778,0.00629881582262535,-0.0889474860164951,0.0252451302143817
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.5,0.48,0.51,0,0,,12,13,infection,12.5,12.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.444444444444444,0.00944822373393803,-0.223143551314212,0.038265306122449
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.5,0.48,0.52,0,0,,14,15,infection,14.5,14.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.444444444444444,0.0125976316452507,-0.223143551314212,0.0510204081632654
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.51,0.48,0.54,0,0,,16,17,infection,16.5,16.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.455555555555556,0.0188964474678761,-0.178248231406317,0.0761877672920836
549,Veneti L,0,90,90,Norway,Norway Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,16,17,0.1,-0.55,0.47,0,0,,0,1,infection,0.5,0.5,Omicron,mRNA,549&Norway Omicron&Omicron&infection&16&17,0.01,0.321239606953893,-4.59511985013459,32.4484451468578
549,Veneti L,0,90,90,Norway,Norway Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,16,17,0.53,0.426,0.622,0,0,,2,4,infection,3,3,Omicron,mRNA,549&Norway Omicron&Omicron&infection&16&17,0.477777777777778,0.0617283950617284,-0.0889474860164951,0.24740227610094
549,Veneti L,0,90,90,Norway,Norway Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,16,17,0.46,0.35,0.55,0,0,,5,8,infection,6.5,6.5,Omicron,mRNA,549&Norway Omicron&Omicron&infection&16&17,0.4,0.0629881582262535,-0.405465108108164,0.262450659276056
