mid_point,pred5,pred_lo,pred_hi,pinf,pinf_lower,pinf_upper,ve,ve_lower,ve_upper
0,3.13811957597935,2.37061334737968,3.19740694167931,1.05843803936681,-23.4689983220814,-9.70395551420213,0.958438039366805,0.914558800331516,0.960736579140099
0.1,3.12627472932389,2.36672547751939,3.18551163764615,1.05796363453138,-23.1796564641112,-9.66242072142551,0.957963634531383,0.914254508228908,0.960285399388776
0.2,3.11448861273239,2.36285618845136,3.17367566103288,1.05748644559804,-22.8951536215148,-9.6212444463171,0.957486445598041,0.913950695674686,0.959831539294629
0.3,3.10276122620485,2.35900626277957,3.1618990118395,1.05700649934962,-22.6153992974007,-9.58043205739857,0.957006499349623,0.913647436033173,0.959375024231047
0.4,3.09109256974129,2.35517807288725,3.15018169006602,1.05652382331796,-22.340304897257,-9.54000558381977,0.956523823317958,0.913344929277842,0.958915880297264
0.5,3.07948264334168,2.35136844480018,3.13852369571242,1.05603844578342,-22.0697836857764,-9.49992847042904,0.956038445783417,0.913042937391184,0.958454134318169
0.6,3.06793144700605,2.34806290852969,3.12692502877871,1.05555039577421,-21.8037507447344,-9.46527787698021,0.955550395774208,0.912780134007237,0.957989813843887
0.7,3.05643898073438,2.34489250432033,3.11538568926489,1.05505970306543,-21.5421229318924,-9.43215125608364,0.95505970306543,0.912527399471919,0.957522947149116
0.8,3.04500524452668,2.34173770384638,3.10390567717096,1.05456639817787,-21.2848188409002,-9.39929176018684,0.954566398177874,0.912275251740411,0.957053563232217
0.9,3.03363023838294,2.33859850710785,3.09248499249692,1.05407051237657,-21.0317587621707,-9.36669752403691,0.954070512376575,0.91202369924199,0.956581691814067
1,3.02231396230317,2.33547491410473,3.0811911531382,1.0535720776691,-20.7843354275332,-9.33436670063943,0.953572077669102,0.911772750396051,0.956110196710343
1.1,3.01105641628737,2.33236692483702,3.06997522784985,1.05307112680361,-20.5413690423646,-9.30229746108611,0.953071126803613,0.911522413611657,0.955637122212028
1.2,2.99985760033553,2.32927453930472,3.05881772182686,1.05256769326664,-20.3023569564698,-9.27048799438444,0.952567693266637,0.911272697287087,0.955161689773336
1.3,2.98871751444766,2.32619775750784,3.04771621743551,1.05206181128062,-20.0671765904683,-9.23893650728921,0.95206181128062,0.911023609809395,0.954683826637254
1.4,2.97763615862376,2.32313657944637,3.03646574221786,1.0515535158012,-19.8314891262898,-9.20764122413595,0.951553515801204,0.910775159553959,0.954194604215258
1.5,2.96661353286382,2.32009100512032,3.02520228562754,1.05104284251426,-19.5981710037389,-9.17660038667627,0.951042842514263,0.910527354884039,0.95369978319799
1.6,2.95564963716784,2.31706103452968,3.01419848061102,1.05052982783268,-19.3727552364031,-9.14581225391509,0.950529827832681,0.910280204150331,0.953211460621757
1.7,2.94474447153584,2.31404666767445,3.0032539928287,1.05001450889287,-19.1510015692766,-9.11527510194962,0.950014508892873,0.910033715690528,0.952720915048648
1.8,2.9338980359678,2.31104790455463,2.9923657149098,1.04949692355106,-18.9327820372087,-9.08498722381025,0.949496923551064,0.909787897828874,0.952228041250204
1.9,2.92311033046372,2.30806474517023,2.98152603037019,1.04897711037931,-18.717883786736,-9.05494692930316,0.948977110379305,0.909542758875729,0.951732521994345
2,2.91238135502362,2.30509718952124,2.97044402144815,1.04845510866125,-18.500576348147,-9.02515254485482,0.948455108661249,0.909298307127127,0.951220883597724
2.1,2.90171110964747,2.30214523760766,2.9592777861926,1.04793095838766,-18.2840395254761,-8.99560241335811,0.947930958387663,0.90905455086434,0.950700155225786
2.2,2.8910995943353,2.29920888942949,2.94817265997242,1.04740470025171,-18.0710725338266,-8.9662948940203,0.947404700251708,0.908811498353443,0.950177052157294
2.3,2.88054680908709,2.29628814498674,2.93712864278762,1.04687637564395,-17.8616100636034,-8.93722836221267,0.946876375643954,0.908569157844877,0.949651614506695
2.4,2.87005275390285,2.29331083651156,2.92614573463819,1.04634602664716,-17.6555881634602,-8.90768616792548,0.946346026647161,0.908321528085347,0.949123883158124
2.5,2.85961742878257,2.28988262684999,2.9153510281876,1.04581369603081,-17.4552895926996,-8.87377869664953,0.945813696030807,0.908035649069433,0.948600096892146
2.6,2.84924083372626,2.28647292430296,2.90494605741306,1.04527942724538,-17.2642584042892,-8.84016937972759,0.945279427245378,0.907750518929149,0.948090397303986
2.7,2.83892296873391,2.28308172887049,2.89460014455527,1.04474326441641,-17.0762721001887,-8.80685596035604,0.944743264416412,0.907466148927273,0.947578856353695
2.8,2.82866383380554,2.27970904055257,2.88431328961423,1.04420525233831,-16.8912772501468,-8.77383620579329,0.944205252338306,0.907182550309955,0.947065516706011
2.9,2.81846342894113,2.2763548593492,2.87408549258993,1.04366543646788,-16.709221499594,-8.74110790711335,0.94366543646788,0.906899734306016,0.946550421671917
3,2.80832175414068,2.27302413576882,2.86391675348238,1.04312386291771,-16.5300535463298,-8.70871694192853,0.943123862917713,0.906618131245524,0.946033615202474
3.1,2.7982388094042,2.27034046878544,2.85384046727256,1.04258057844924,-16.3543026546856,-8.68269690898869,0.94258057844924,0.906390679383726,0.945516862241306
3.2,2.78821459473169,2.2677993019032,2.84400746473137,1.04203563046562,-16.1844939853222,-8.65812279695662,0.942035630465619,0.906174847198651,0.945008093114543
3.3,2.77824911012314,2.26527239179857,2.8342317196282,1.04148906700437,-16.0173212029718,-8.63374839779672,0.941489067004367,0.905959783644383,0.944497853552444
3.4,2.76834235557856,2.26275973847154,2.82451323196306,1.04094093672978,-15.8527396142156,-8.60957251336087,0.940940936729777,0.905745495519195,0.943986188024401
