mid_point,pred5,pred_lo,pred_hi,ve,pinf,ve_lower,ve_upper
27.9,1.15383851137228,0.536117955204118,1.78151115886539,0.760211338153167,0.860211338153167,0.630908893976769,0.8558833631322
28,1.14952383006143,0.532006740430533,1.77712976115406,0.759423931817939,0.859423931817939,0.629951030572708,0.855342087602231
28.1,1.14520914875059,0.527722757311932,1.77274836344272,0.758634760772583,0.858634760772583,0.628951824836456,0.854799124028513
28.2,1.14089446743974,0.523414158568529,1.76836696573139,0.757843826448398,0.857843826448398,0.627945763586959,0.854254469738052
28.3,1.13657978612889,0.519105559825125,1.76398556802006,0.75705113031599,0.85705113031599,0.626938592510722,0.853708122073738
28.4,1.13226510481805,0.514796961081721,1.75960417030872,0.756256673885392,0.856256673885392,0.625930319134276,0.853160078394521
28.5,1.1279504235072,0.510488362338318,1.75522277259739,0.755460458706194,0.855460458706194,0.624920951021117,0.852610336075588
28.6,1.12363574219635,0.506179763594914,1.75084137488605,0.75466248636767,0.854662486367671,0.623910495771522,0.85205889250854
28.7,1.11932106088551,0.50187116485151,1.74645997717472,0.753862758498901,0.853862758498901,0.62289896102235,0.851505745101565
28.8,1.11500637957466,0.497562566108107,1.74207857946338,0.753061276768895,0.853061276768895,0.621886354446849,0.850950891279622
28.9,1.11069169826382,0.493253967364703,1.73769718175205,0.752258042886712,0.852258042886712,0.620872683754452,0.850394328484614
29,1.10637701695297,0.488945368621299,1.73343572889618,0.751453058601583,0.851453058601583,0.619857956690582,0.849851360264262
29.1,1.10206233564212,0.484636769877896,1.72920163744018,0.750646325703027,0.850646325703027,0.618842181036442,0.849310272442743
29.2,1.09774765433128,0.480328171134492,1.7247715798618,0.749837846020972,0.849837846020972,0.617825364608812,0.848742425541726
29.3,1.09343297302043,0.476019572391088,1.72034152228342,0.749027621425865,0.849027621425865,0.616807515259839,0.848172821339611
29.4,1.08911829170959,0.471710973647685,1.71591146470504,0.748215653828792,0.848215653828792,0.615788640876825,0.847601457281668
29.5,1.08480361039874,0.467402374904281,1.71148140712665,0.747401945181587,0.847401945181587,0.614768749382016,0.847028330832005
29.6,1.08048892908789,0.463093776160877,1.70706563235042,0.746586497476946,0.846586497476946,0.61374784873238,0.846455295800564
29.7,1.07617424777705,0.458785177417474,1.70269146656924,0.745769312748536,0.845769312748536,0.612725946919393,0.845885929097273
29.8,1.0718595664662,0.45447657867407,1.69831730078806,0.744950393071101,0.844950393071101,0.611703051968817,0.845314836925342
29.9,1.06754488515536,0.450167979930666,1.69394313500688,0.744129740560574,0.844129740560574,0.610679171940475,0.844742016917606
30,1.06323020384451,0.445859381187263,1.6895689692257,0.743307357374176,0.843307357374176,0.609654314928025,0.844167466725715
30.1,1.05891552253366,0.441550782443859,1.68519480344451,0.742483245710528,0.842483245710528,0.608628489058732,0.843591184020317
30.2,1.05460084122282,0.437242183700455,1.68082063766333,0.741657407809742,0.841657407809742,0.607601702493239,0.843013166491235
30.3,1.05028615991197,0.432933584957052,1.67644647188215,0.740829845953534,0.840829845953534,0.606573963425331,0.842433411847659
30.4,1.04597147860113,0.428624986213648,1.67207230610097,0.740000562465313,0.840000562465313,0.6055452800817,0.841851917818324
30.5,1.04165679729028,0.424316387470244,1.66769814031979,0.739169559710284,0.839169559710284,0.604515660721709,0.841268682151696
30.6,1.03734211597943,0.420007788726841,1.66332397453861,0.738336840095542,0.838336840095542,0.603485113637149,0.840683702616158
30.7,1.03302743466859,0.415699189983437,1.65894980875743,0.737502406070166,0.837502406070166,0.602453647151998,0.840096977000192
30.8,1.02871275335774,0.411390591240033,1.65457564297625,0.736666260125311,0.836666260125311,0.601421269622176,0.839508503112567
30.9,1.0243980720469,0.40708199249663,1.65020147719507,0.735828404794299,0.835828404794299,0.600387989435298,0.838918278782524
31,1.02008339073605,0.402773393753226,1.64582731141389,0.73498884265271,0.83498884265271,0.599353815010425,0.838326301859962
31.1,1.0157687094252,0.398464795009822,1.64145314563271,0.734147576318466,0.834147576318466,0.59831875479781,0.837732570215623
31.2,1.01145402811436,0.394156196266419,1.63707897985153,0.733304608451918,0.833304608451918,0.597282817278646,0.837137081741283
31.3,1.00713934680351,0.389847597523015,1.63270481407035,0.732459941755931,0.832459941755931,0.596246010964808,0.836539834349935
31.4,1.00282466549267,0.385538998779611,1.62833064828917,0.731613578975963,0.831613578975963,0.595208344398598,0.835940825975979
31.5,0.998509984181819,0.381230400036208,1.62395648250799,0.73076552290015,0.83076552290015,0.594169826152481,0.835340054575409
31.6,0.994195302870973,0.376921801292804,1.61958231672681,0.729915776359378,0.829915776359378,0.593130464828823,0.834737518125999
31.7,0.989880621560127,0.3726132025494,1.61520815094563,0.729064342227365,0.829064342227365,0.592090269059626,0.834133214627495
31.8,0.985565940249281,0.368304603805997,1.61083398516445,0.728211223420734,0.828211223420734,0.59104924750626,0.833527142101803
31.9,0.981251258938435,0.363996005062593,1.60645981938327,0.727356422899085,0.827356422899085,0.590007408859197,0.832919298593176
32,0.976936577627589,0.359687406319189,1.60212355195751,0.726499943665069,0.826499943665069,0.588964761837733,0.832314971585682
32.1,0.972621896316743,0.355378807575786,1.59784058284988,0.725641788764451,0.825641788764451,0.587921315189722,0.831716360380484
32.2,0.968307215005897,0.351070208832382,1.59355761374225,0.724781961286185,0.824781961286185,0.586877077691294,0.831116045826989
32.3,0.963992533695051,0.346761610088978,1.58927464463461,0.723920464362474,0.823920464362474,0.585832058146581,0.830514026174068
32.4,0.959677852384205,0.342453011345575,1.58499167552698,0.723057301168836,0.823057301168836,0.584786265387435,0.829910299691998
32.5,0.955363171073359,0.338144412602171,1.58070870641935,0.722192474924163,0.822192474924163,0.583739708273146,0.829304864672632
32.6,0.951048489762513,0.333835813858767,1.57642573731172,0.721325988890783,0.821325988890783,0.58269239569016,0.828697719429571
32.7,0.946733808451667,0.329527215115363,1.57214276820409,0.720457846374518,0.820457846374518,0.581644336551792,0.828088862298337
32.8,0.94241912714082,0.32521861637196,1.567880840784,0.719588050724737,0.819588050724737,0.580595539797935,0.827481295484409
32.9,0.938104445829975,0.320910017628556,1.5636810177843,0.718716605334411,0.818716605334411,0.579546014394776,0.826880920696532
33,0.933789764519129,0.316601418885153,1.5594811947846,0.717843513640165,0.817843513640165,0.578495769334498,0.826278895205466
