"fixef.fit.","group","param"
0.289847950385635,"0-4","(Intercept)"
0.830161205355951,"0-4","cdceb"
0.050964485653329,"0-4","ceb"
-1.25996771980814,"0-4","pr1"
0.136665225589853,"0-4","pr2"
0.277741576742961,"5-9","(Intercept)"
0.980390539142743,"5-9","cdceb"
-0.0389386955778767,"5-9","ceb"
-0.707421915010369,"5-9","pr1"
0.314124049863098,"5-9","pr2"
-0.133606962017894,"10-14","(Intercept)"
0.945917668684688,"10-14","cdceb"
0.00585904072485426,"10-14","ceb"
-0.625786193773872,"10-14","pr1"
0.487945976025386,"10-14","pr2"
0.689743271603502,"15-19","(Intercept)"
0.954789057944773,"15-19","cdceb"
-0.0359917950099225,"15-19","ceb"
-1.79168267154697,"15-19","pr1"
0.414647638906072,"15-19","pr2"
0.48248425727529,"20-24","(Intercept)"
0.986805599861329,"20-24","cdceb"
-0.018445299801456,"20-24","ceb"
-1.94669539015579,"20-24","pr1"
0.700429102348072,"20-24","pr2"
0.709392381114097,"25-29","(Intercept)"
1.01613409824345,"25-29","cdceb"
-0.0254242813557581,"25-29","ceb"
-2.23125770529523,"25-29","pr1"
0.606270594377399,"25-29","pr2"
2.25929443292874,"30-34","(Intercept)"
0.860180436208424,"30-34","cdceb"
-0.0552870001787114,"30-34","ceb"
-3.28901497267836,"30-34","pr1"
-0.944697936865139,"30-34","pr2"
