"fixef.fit","group","param"
1.97676771955353,"0-4","(Intercept)"
-0.00140545199181342,"0-4","cdceb"
-0.216724836678406,"0-4","ceb"
0.339867628519012,"0-4","pr1"
0.367365904562917,"0-4","pr2"
3.61829445129596,"5-9","(Intercept)"
-0.00200442821934039,"5-9","cdceb"
-0.223469096103942,"5-9","ceb"
-1.03433184359698,"5-9","pr1"
3.72412217042239,"5-9","pr2"
0.521910371309352,"10-14","(Intercept)"
-0.00287731880739098,"10-14","cdceb"
0.00583505748205061,"10-14","ceb"
1.95889782653882,"10-14","pr1"
9.38532056149114,"10-14","pr2"
1.12174691683853,"15-19","(Intercept)"
-0.00243444502095838,"15-19","cdceb"
-0.0777534684862548,"15-19","ceb"
3.36457608093039,"15-19","pr1"
12.4477109901932,"15-19","pr2"
-1.55443168674887,"20-24","(Intercept)"
-0.000919391998639102,"20-24","cdceb"
-0.0065606692871088,"20-24","ceb"
4.39132737537934,"20-24","pr1"
19.142718797752,"20-24","pr2"
3.31155586068728,"25-29","(Intercept)"
0.00111583297289218,"25-29","cdceb"
-0.136422940014676,"25-29","ceb"
2.25270472956667,"25-29","pr1"
19.1754626430097,"25-29","pr2"
4.95332832013003,"30-34","(Intercept)"
0.00108438646713397,"30-34","cdceb"
-0.134829600655754,"30-34","ceb"
-10.6974320826639,"30-34","pr1"
31.1989292731224,"30-34","pr2"
