mid_point,pred_lo,pred_hi,ve_lower,ve_upper
0,-1.03335684669118,13.0762095317697,0.262433827187007,0.999997905533364
0.1,-0.97969428277646,12.9131896600481,0.272952448849975,0.999997534687849
0.2,-0.922926467451864,12.7513091562307,0.2843619818254,0.999997101485098
0.3,-0.86465998268858,12.5905680203177,0.29636666207817,0.99999659604111
0.4,-0.80696195142543,12.4309662523089,0.308538262997274,0.999996007010044
0.5,-0.749832373662414,12.2725038522045,0.320857826861366,0.999995321385462
0.6,-0.693271249399531,12.1151808200044,0.33330576305023,0.999994524277326
0.7,-0.637278578636782,11.9589971557086,0.345861979223732,0.999993598662193
0.8,-0.581854361374165,11.8039528593171,0.358506016847781,0.999992525103868
0.9,-0.526976983523512,11.65004793083,0.371222234187668,0.999991281441553
1,-0.474601906494894,11.4972823702471,0.383527614026212,0.999989842442293
1.1,-0.425399910701356,11.3456561775685,0.395225323719409,0.999988179414331
1.2,-0.376718570937395,11.1951693527943,0.406918581013664,0.999986259777712
1.3,-0.328557887203011,11.0458218959244,0.418591552732376,0.999984046588261
1.4,-0.280917859498205,10.8976138069587,0.430228764955466,0.999981498010833
1.5,-0.233798487822977,10.7505450858974,0.441815177169146,0.999978566737482
1.6,-0.187534463852302,10.6046157327404,0.453253307350798,0.999975199345988
1.7,-0.141262894670481,10.4598257474877,0.464742887086196,0.999971335593953
1.8,-0.093877988766091,10.3161751301393,0.476547724171368,0.999966907643478
1.9,-0.0411992456747938,10.1736638806953,0.489701645223363,0.999961839211256
2,0.0109394903572081,10.0322919991555,0.502734845315553,0.999956044638725
2.1,0.0626873335858093,9.89205948552002,0.515666703276445,0.999949427876827
2.2,0.11355687815324,9.75296633978888,0.528358751854776,0.999941881379801
2.3,0.162115717953117,9.61501256196203,0.540440398711232,0.999933284902363
2.4,0.21341929348827,9.4781981520395,0.553153225344504,0.999923504194658
2.5,0.263327344153052,9.34252311002128,0.565454050068362,0.99991238958937
2.6,0.311939621748785,9.20798743590738,0.577358630057938,0.999899774475523
2.7,0.36149681123737,9.07459112969778,0.589402721498683,0.999885473653683
2.8,0.410650748666686,8.94233419139249,0.601243905901681,0.999869281567522
2.9,0.454327238919071,8.81121662099151,0.611667579835916,0.999850970407103
3,0.500291384433635,8.68123841849483,0.622527805181613,0.9998302880797
3.1,0.545756973111975,8.55239958390247,0.63315061723122,0.99980695604454
3.2,0.590612285445627,8.42470011721442,0.643505620071819,0.999780667008597
3.3,0.631161951643341,8.29814001843068,0.652752884495875,0.999751082481389
3.4,0.665304309686813,8.17271928755125,0.660450919532651,0.999717830187756
3.5,0.703818417160021,8.04843792457613,0.669033820038864,0.999680501338747
3.6,0.743420468478155,7.92529592950532,0.677743365241222,0.999638647762084
3.7,0.782487685465793,7.80329330233881,0.686216019293996,0.999591778895188
3.8,0.818022335664628,7.68243004307662,0.693816375675466,0.999539358645467
3.9,0.856814950578898,7.56270615171874,0.701994776989363,0.999480802124484
4,0.895396103337308,7.44412162826516,0.710002482382275,0.99941547226473
4.1,0.932722110838588,7.3266764727159,0.717627216289556,0.999342676330084
4.2,0.96889908361969,7.21659302536204,0.724900007427076,0.999266238897528
4.3,1.00639595037497,7.10853509549967,0.73231423885368,0.999182576186137
4.4,1.0311570958437,7.00153455167482,0.737140161493822,0.999090344517817
4.5,1.04627493842899,6.90139084206632,0.740058943801873,0.998994627058999
4.6,1.06897044594334,6.79812082706606,0.744401073813575,0.998885373686445
4.7,1.0887934981884,6.68791247432007,0.748154461372913,0.998755669419135
4.8,1.1042356263381,6.58576349649265,0.751052892845582,0.998622027990187
4.9,1.11941653013015,6.48463528332162,0.753880472741128,0.998475609828679
5,1.14405104550466,6.38388461282181,0.758422639221179,0.998314295564038
5.1,1.15782953092812,6.28419167634277,0.760938105626549,0.998137909509353
5.2,1.17180232562998,6.18555647388451,0.763470640033697,0.997945275108242
5.3,1.18310769884302,6.08797900544703,0.765506116134746,0.997735149269417
5.4,1.19459136527546,5.99145927103033,0.767561220365688,0.997506221289441
5.5,1.21053441640189,5.89599727063441,0.770393494211942,0.997257112077076
5.6,1.21660536652919,5.79277159887997,0.771465605330316,0.996959752878623
5.7,1.22624284681549,5.6888914848859,0.773160308152856,0.996628067023895
5.8,1.23633726723189,5.58618523367966,0.774925819188361,0.996264701432703
5.9,1.24505071883891,5.48465284526128,0.776441941225443,0.995867175607122
6,1.24505217530694,5.38429431963074,0.776442194038848,0.995432877413708
6.1,1.24518659816352,5.28510965678805,0.776465526252698,0.994959063204089
6.2,1.24994448397317,5.18709885673321,0.77729025093675,0.994442858914245
6.3,1.25640354343895,5.093179797817,0.778406376575316,0.993898981191046
6.4,1.26004030023877,5.01208057617841,0.779033045163481,0.993386984684741
6.5,1.2637606679835,4.93186439243809,0.779672806471697,0.992838612598778
6.6,1.26961228472246,4.85253124659602,0.78067637022597,0.992251914546675
6.7,1.27075187363921,4.77408113865222,0.780871429111901,0.991624893736506
6.8,1.27071321102231,4.69633611080686,0.780864813431728,0.990953916331369
6.9,1.27067504729077,4.61937516439275,0.780858282976464,0.990237295693455
7,1.27064369044801,4.54330119218475,0.780852917189395,0.989473750972864
7.1,1.27064369144158,4.46811419418287,0.780852917359417,0.988661121103187
7.2,1.27064369243523,4.38892593806701,0.780852917529451,0.987738163591045
7.3,1.27067033264301,4.30262387635146,0.780857476211354,0.986647693353844
7.4,1.27073732196983,4.23613136014878,0.780868939147527,0.985742770961328
7.5,1.2675503905827,4.16538702422982,0.780323126807351,0.984713595950393
