mid_point,pred5,pred_lo,pred_hi,pinf,pinf_lower,pinf_upper,ve,ve_lower,ve_upper
78,1.51739457563398,0.401707703102863,1.74166287086904,0.920154498151404,-4.70682525042318,-0.494374467811928,0.820154498151404,0.599097884898893,0.8508981578226
78.1,1.51684468581439,0.398601616739367,1.7415543976873,0.920073374519866,-4.7062062465039,-0.489740012890133,0.820073374519866,0.598351637189948,0.850884395253826
78.2,1.5162947959948,0.395495530375873,1.74144592450556,0.919992222326958,-4.70558730972629,-0.485119930652619,0.819992222326958,0.597604933401589,0.850870631637363
78.3,1.5157449061752,0.392389444012378,1.74133745132382,0.919911041569868,-4.70496844008309,-0.480514176525847,0.819911041569868,0.596857776720882,0.850856866973171
78.4,1.51519501635561,0.389283357648884,1.74122897814208,0.919829832245795,-4.70434963756701,-0.475922706074512,0.819829832245795,0.596110170343135,0.850843101261214
78.5,1.51464512653602,0.38617727128539,1.74112050496034,0.91974859435194,-4.70373090217076,-0.47134547500112,0.81974859435194,0.595362117471841,0.850829334501451
78.6,1.51409523671643,0.383071184921894,1.7410120317786,0.919667327885513,-4.70311223388707,-0.466782439145545,0.819667327885513,0.594613621318634,0.850815566693845
78.7,1.51354534689683,0.3799650985584,1.74090355859685,0.919586032843731,-4.70249363270866,-0.462233554484626,0.819586032843731,0.593864685103233,0.850801797838356
78.8,1.51299545707724,0.376859012194906,1.74079508541511,0.919504709223817,-4.70187509862825,-0.45769877713172,0.819504709223817,0.593115312053392,0.850788027934946
78.9,1.51244556725765,0.373752925831412,1.74068661223337,0.919423357023,-4.70125663163855,-0.453178063336293,0.819423357023,0.59236550540485,0.850774256983576
79,1.51189567743806,0.370646839467917,1.74057813905163,0.919341976238518,-4.70063823173231,-0.448671369483491,0.819341976238518,0.591615268401274,0.850760484984208
79.1,1.51134578761846,0.367540753104422,1.74046966586989,0.919260566867612,-4.70001989890222,-0.444178652093721,0.819260566867612,0.590864604294214,0.850746711936804
79.2,1.51079589779887,0.364434666740928,1.74036119268815,0.919179128907533,-4.69940163314104,-0.439699867822237,0.819179128907533,0.590113516343043,0.850732937841324
79.3,1.51024600797928,0.361328580377432,1.74025271950641,0.919097662355538,-4.69878343444146,-0.435234973458706,0.819097662355538,0.589362007814908,0.85071916269773
