mid_point,pred5,pred_lo,pred_hi,pinf,pinf_lower,pinf_upper,ve,ve_lower,ve_upper
0,1.55353209766759,0.53528688604367,2.84745045495284,0.925423291156548,-16.2437620011262,-0.707938155596493,0.825423291156548,0.63071534778839,0.94518674383396
0.1,1.55358499107937,0.53528688704344,2.84748260089539,0.92543091294915,-16.2443163270184,-0.707938157304038,0.82543091294915,0.63071534802125,0.945188409251648
0.2,1.55363635137595,0.535286888043212,2.84751381510046,0.925438313573053,-16.2448546030455,-0.707938159011587,0.825438313573053,0.63071534825411,0.945190026352248
0.3,1.55368617855732,0.535286889042986,2.84754409756807,0.925445493050414,-16.2453768277035,-0.707938160719139,0.825445493050414,0.630715348486971,0.945191595139783
0.4,1.55373447262348,0.535286890042762,2.84757344829821,0.925452451402729,-16.2458829995332,-0.707938162426694,0.825452451402729,0.630715348719832,0.94519311561816
0.5,1.55378123357444,0.535286891042539,2.84754611564218,0.925459188650831,-16.245411630187,-0.707938164134253,0.825459188650831,0.630715348952694,0.945191699684895
0.6,1.55382646141018,0.535286892042319,2.84674534636409,0.925465704814892,-16.2316075620401,-0.707938165841815,0.825465704814892,0.630715349185556,0.945150201560827
0.7,1.55387015613072,0.535286893042101,2.82416481211733,0.925471999914422,-15.8468688080911,-0.70793816754938,0.825471999914422,0.630715349418419,0.943967762034165
0.8,1.55391231773605,0.535286894041884,2.82201025017998,0.925478073968269,-15.8106102604635,-0.707938169256948,0.825478073968269,0.630715349651282,0.943853692525077
0.9,1.55395294622618,0.53528689504167,2.82277815392939,0.92548392699462,-15.8235241487895,-0.70793817096452,0.82548392699462,0.630715349884145,0.943894372871937
1,1.5539920416011,0.535286896041457,2.82351708021599,0.925489559011001,-15.8359600870712,-0.707938172672095,0.825489559011001,0.630715350117009,0.943933491938857
1.1,1.5540296038608,0.535286897041246,2.82422702903978,0.925494970034275,-15.8479170010286,-0.707938174379673,0.825494970034275,0.630715350349874,0.943971052759693
1.2,1.55406563300531,0.528768873324876,2.82490800040075,0.925500160080644,-15.85939385726,-0.696841994718801,0.825500160080644,0.629195925471982,0.944007058246633
1.3,1.5541001290346,0.527260425241499,2.8255599942989,0.925505129165649,-15.8703896633912,-0.694284326204138,0.825505129165649,0.628843923310478,0.944041511190516
1.4,1.55413309194869,0.527020869974716,2.82618301073424,0.92550987730417,-15.8809034682187,-0.6938785000812,0.82550987730417,0.628788009566928,0.944074414261148
1.5,1.55416452174757,0.526783653630217,2.82677704970677,0.925514404510424,-15.8909343618461,-0.69347673207024,0.825514404510424,0.628732638343088,0.944105770007598
1.6,1.55419441843124,0.526738912030512,2.82734211121648,0.925518710797967,-15.9004814758163,-0.693400964907169,0.825518710797967,0.628722194344923,0.944135580858481
1.7,1.55422278199971,0.52675983156418,2.82787819526338,0.925522796179694,-15.9095439832362,-0.693436390436208,0.825522796179694,0.628727077591,0.944163849122232
1.8,1.55424961245297,0.525388385781561,2.82827633552757,0.92552666066784,-15.9162776939369,-0.691115526074002,0.82552666066784,0.628406885430566,0.944184834758483
1.9,1.55427490979102,0.519944638161612,2.82851860921253,0.925530304273976,-15.920376559373,-0.681934532133582,0.825530304273976,0.627134820772653,0.944197601167205
2,1.55429867401386,0.514562352802576,2.82393231153863,0.925533727009012,-15.8429523566503,-0.672906198854571,0.825533727009012,0.625875385964336,0.943955463198483
2.1,1.5543209051215,0.509241529704456,2.81487201413048,0.9255369288832,-15.6910394264284,-0.664028599922028,0.8255369288832,0.624628654501206,0.943474208841222
2.2,1.55434160311392,0.50398216886725,2.81049884456083,0.925539909906126,-15.6182060531446,-0.655299847022589,0.825539909906126,0.623394698296952,0.943240532152732
2.3,1.55436076799114,0.503060598711516,2.81151648362071,0.925542670086718,-15.6351259964669,-0.653775074784991,0.825542670086718,0.623178313225728,0.943294989772098
2.4,1.55437839975316,0.503435695873156,2.81245271163574,0.925545209433241,-15.6507075602684,-0.654395517477406,0.825545209433241,0.62326639213498,0.943345047410394
2.5,1.55439449839996,0.503768299452581,2.8133075286059,0.9255475279533,-15.6649469528263,-0.654945866867318,0.8255475279533,0.623344486047867,0.943390715937587
2.6,1.55440906393156,0.504179862989918,2.8140809345312,0.925549625653838,-15.6778407069546,-0.655627122422745,0.825549625653838,0.623441110554823,0.943432005267103
2.7,1.55442209634795,0.500334248413227,2.81477292941164,0.925551502541137,-15.6893856814115,-0.649272445278195,0.825551502541137,0.622537877603981,0.943468924358926
2.8,1.55443359564914,0.489668969438791,2.81538351324721,0.925553158620817,-15.6995790621743,-0.631775962826761,0.825553158620817,0.620028446902482,0.943501481222393
2.9,1.55444356183512,0.488421538732798,2.81591268603792,0.925554593897838,-15.708418363583,-0.629741704447401,0.825554593897838,0.619734516774478,0.943529682918691
3,1.55445199490588,0.488563196335,2.81636044778377,0.925555808376498,-15.7159014293501,-0.629972586102147,0.825555808376498,0.61976789975515,0.943553535563068
3.1,1.55445889486145,0.488679098190007,2.81672679848476,0.925556802060434,-15.7220264334377,-0.630161513896816,0.825556802060434,0.619795212302984,0.943573044326736
3.2,1.5544642617018,0.488769244297818,2.81701173814089,0.925557574952622,-15.7267918807996,-0.630308473236205,0.825557574952622,0.619816454923385,0.943588213438488
3.3,1.55446809542695,0.488833634658435,2.81721526675215,0.925558127055376,-15.7301966079899,-0.630413452766511,0.825558127055376,0.619831628009559,0.943599046186021
3.4,1.55447039603689,0.488872269271856,2.81733738431855,0.92555845837035,-15.7322397836363,-0.630476444376795,0.82555845837035,0.619840731842434,0.943605544916958
