study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,study_id2,e_mean,se,mean_logit,sd_logit,in_var
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.74,0.405,0.887,0,0,,2,4,severe,3,3,525&UK Omicron hosp&Omicron&hosp&18&80,0.64,0.122959183673469,0.575364144903562,0.533677012471655,0.285180295304349
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.72,0.5,0.85,0,0,,5,9,severe,7,7,525&UK Omicron hosp&Omicron&hosp&18&80,0.62,0.0892857142857143,0.489548225318706,0.378971622604899,0.33466401061363
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.54,0.36,0.68,0,0,,10,14,severe,12,12,525&UK Omicron hosp&Omicron&hosp&18&80,0.44,0.0816326530612245,-0.241162056816888,0.331301351709515,0.35
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.6,0.49,0.69,0,0,,15,19,severe,17,17,525&UK Omicron hosp&Omicron&hosp&18&80,0.5,0.0510204081632653,0,0.204081632653061,0.442718872423573
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.57,0.43,0.68,0,0,,20,24,severe,22,22,525&UK Omicron hosp&Omicron&hosp&18&80,0.47,0.0637755102040816,-0.120144311842063,0.256023726230757,0.395979797464467
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.35,0.18,0.49,0,0,,25,29,severe,27,27,525&UK Omicron hosp&Omicron&hosp&18&80,0.25,0.0790816326530612,-1.09861228866811,0.421768707482993,0.355600355600533
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,10,60,0.621,0.567,0.672,0,0,,12,25,severe,18.5,18.5,533&UK 2 Omicron hosp&Omicron&hosp&10&60,0.521,0.0267857142857143,0.0840494443424519,0.107332191128007,0.611010092660778
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,10,60,0.439,0.384,0.492,0,0,,26,34,severe,30,30,533&UK 2 Omicron hosp&Omicron&hosp&10&60,0.339,0.0275510204081633,-0.667753732471236,0.122952264193268,0.602464076076709
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron death,"",Pfizer & BioNTech,Omicron,severe,death,,10,60,0.754,0.708,0.793,0,0,,12,25,severe,18.5,18.5,533&UK 2 Omicron death&Omicron&death&10&60,0.654,0.0216836734693878,0.636668576399475,0.0958250405215914,0.679099750101732
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron death,"",Pfizer & BioNTech,Omicron,severe,death,,10,60,0.593,0.536,0.645,0,0,,26,34,severe,30,30,533&UK 2 Omicron death&Omicron&death&10&60,0.493,0.0278061224489796,-0.0280018295484931,0.111246294069556,0.599694111629367
