mid_point,pred_lo,pred_hi,ve_lower,ve_upper
0,-0.994984869677739,2.16520486114274,0.269928597697986,0.897081089855921
0.1,-0.994984868678215,2.15507525723332,0.269928597894959,0.896142088996026
0.2,-0.994984867678692,2.14494565332391,0.269928598091933,0.895195521864389
0.3,-0.994984866679168,2.1348160494145,0.269928598288906,0.894241345791841
0.4,-0.994984865679644,2.12468644550509,0.269928598485879,0.893279518207489
0.5,-0.994984864680121,2.11455684159568,0.269928598682852,0.892309996646359
0.6,-0.994984863680597,2.10442723768627,0.269928598879826,0.891332738757159
0.7,-0.994984862681073,2.09429763377686,0.269928599076799,0.890347702310162
0.8,-0.994984861681549,2.08396710502908,0.269928599273772,0.889335072090809
0.9,-0.994984860682026,2.06680989543232,0.269928599470746,0.887635176941304
1,-0.994984859682502,2.04964961382127,0.269928599667719,0.885912209358465
1.1,-0.994984858682978,2.0324349602176,0.269928599864692,0.884160701287674
1.2,-0.994984857683455,2.01522030661393,0.269928600061665,0.882385873451421
1.3,-0.994984856683931,1.99799353300368,0.269928600258639,0.880586250800744
1.4,-0.994984855684407,1.9807272041783,0.269928600455612,0.878758661148618
1.5,-0.994984854684883,1.96346087535293,0.269928600652585,0.876907010704402
1.6,-0.99498485368536,1.94805850734057,0.269928600849559,0.875234787444314
1.7,-0.994984852685836,1.93520926598282,0.269928601046532,0.873824886595661
1.8,-0.994984851686312,1.92236002462508,0.269928601243505,0.872401376021618
1.9,-0.994984850686789,1.90951078326734,0.269928601440478,0.870964176925118
2,-0.994984849687265,1.8966615419096,0.269928601637452,0.8695132112681
2.1,-0.994984848687741,1.88381230055186,0.269928601834425,0.868048401804978
2.2,-0.994984847688217,1.87096305919412,0.269928602031398,0.866569672116551
2.3,-0.994984846688693,1.85811381783637,0.269928602228372,0.865076946644364
2.4,-0.99498484568917,1.84526457647863,0.269928602425345,0.863570150725498
2.5,-0.994984844689646,1.83241533512089,0.269928602622318,0.862049210627791
2.6,-0.994984843690122,1.81956609376315,0.269928602819292,0.860514053585485
2.7,-0.994984842690599,1.80671685240541,0.269928603016265,0.858964607835278
2.8,-0.994984841691075,1.79386761104767,0.269928603213238,0.857400802652787
2.9,-0.994984840691551,1.78101836968993,0.269928603410211,0.855822568389405
3,-0.994984839692028,1.76816912833218,0.269928603607185,0.854229836509537
3.1,-0.994984838692504,1.75531988697444,0.269928603804158,0.852622539628224
3.2,-0.99498483769298,1.7424706456167,0.269928604001131,0.85100061154912
3.3,-0.994984836693456,1.72962140425896,0.269928604198105,0.849363987302825
3.4,-0.994984835693933,1.71677216290122,0.269928604395078,0.847712603185565
3.5,-0.994984834694409,1.70392292154348,0.269928604592051,0.846046396798189
3.6,-0.994984833694885,1.69107368018573,0.269928604789024,0.844365307085492
