"fixef.fit.","group","param"
-0.161226682294251,"t.0","(Intercept)"
1.0954257093932,"t.0","cdceb"
0.0938390314950738,"t.1","(Intercept)"
1.12209929546801,"t.1","cdceb"
0.0131174003614724,"t.2","(Intercept)"
1.09285380038113,"t.2","cdceb"
0.111183169327734,"t.3","(Intercept)"
1.12199947215916,"t.3","cdceb"
0.00503982396762837,"t.4","(Intercept)"
1.07159645119426,"t.4","cdceb"
-0.0612669793905956,"t.5","(Intercept)"
1.08550401857347,"t.5","cdceb"
-0.016564253638275,"t.6","(Intercept)"
1.06407302903959,"t.6","cdceb"
-0.0254679694142276,"t.7","(Intercept)"
1.05919030480966,"t.7","cdceb"
0.0239950437109013,"t.8","(Intercept)"
1.04685790494165,"t.8","cdceb"
-0.0896723568944765,"t.9","(Intercept)"
1.02289055224682,"t.9","cdceb"
0.0661776675182239,"t.10","(Intercept)"
1.03614311920888,"t.10","cdceb"
-0.0836059985548662,"t.11","(Intercept)"
1.01055171876258,"t.11","cdceb"
0.132676985799753,"t.12","(Intercept)"
1.04847835882244,"t.12","cdceb"
0.0575550057502062,"t.13","(Intercept)"
1.0323759297422,"t.13","cdceb"
0.0657118182048104,"t.14","(Intercept)"
1.03793990747645,"t.14","cdceb"
0.0839918388169879,"t.15","(Intercept)"
1.03857900816097,"t.15","cdceb"
0.0978733614955016,"t.16","(Intercept)"
1.03163090581618,"t.16","cdceb"
0.0531897889955236,"t.17","(Intercept)"
1.02891699475238,"t.17","cdceb"
0.178304787226167,"t.18","(Intercept)"
1.02698991628093,"t.18","cdceb"
0.00749649158588293,"t.19","(Intercept)"
0.999987066026152,"t.19","cdceb"
0.225443195081575,"t.20","(Intercept)"
1.0310960158507,"t.20","cdceb"
0.0263597218526274,"t.21","(Intercept)"
1.00726404008465,"t.21","cdceb"
0.177245947115099,"t.22","(Intercept)"
1.01812817511977,"t.22","cdceb"
0.0957388465307399,"t.23","(Intercept)"
0.991764718648563,"t.23","cdceb"
0.0938243860095218,"t.24","(Intercept)"
0.974507350388776,"t.24","cdceb"
