"type","varname","group"
"depvar","q5.true","t.0"
"tranform","q5.true","t.0"
"indepvar","cdceb","t.0"
"depvar","q5.true","t.1"
"tranform","q5.true","t.1"
"indepvar","cdceb","t.1"
"depvar","q5.true","t.2"
"tranform","q5.true","t.2"
"indepvar","cdceb","t.2"
"depvar","q5.true","t.3"
"tranform","q5.true","t.3"
"indepvar","cdceb","t.3"
"depvar","q5.true","t.4"
"tranform","q5.true","t.4"
"indepvar","cdceb","t.4"
"depvar","q5.true","t.5"
"tranform","q5.true","t.5"
"indepvar","cdceb","t.5"
"depvar","q5.true","t.6"
"tranform","q5.true","t.6"
"indepvar","cdceb","t.6"
"depvar","q5.true","t.7"
"tranform","q5.true","t.7"
"indepvar","cdceb","t.7"
"depvar","q5.true","t.8"
"tranform","q5.true","t.8"
"indepvar","cdceb","t.8"
"depvar","q5.true","t.9"
"tranform","q5.true","t.9"
"indepvar","cdceb","t.9"
"depvar","q5.true","t.10"
"tranform","q5.true","t.10"
"indepvar","cdceb","t.10"
"depvar","q5.true","t.11"
"tranform","q5.true","t.11"
"indepvar","cdceb","t.11"
"depvar","q5.true","t.12"
"tranform","q5.true","t.12"
"indepvar","cdceb","t.12"
"depvar","q5.true","t.13"
"tranform","q5.true","t.13"
"indepvar","cdceb","t.13"
"depvar","q5.true","t.14"
"tranform","q5.true","t.14"
"indepvar","cdceb","t.14"
"depvar","q5.true","t.15"
"tranform","q5.true","t.15"
"indepvar","cdceb","t.15"
"depvar","q5.true","t.16"
"tranform","q5.true","t.16"
"indepvar","cdceb","t.16"
"depvar","q5.true","t.17"
"tranform","q5.true","t.17"
"indepvar","cdceb","t.17"
"depvar","q5.true","t.18"
"tranform","q5.true","t.18"
"indepvar","cdceb","t.18"
"depvar","q5.true","t.19"
"tranform","q5.true","t.19"
"indepvar","cdceb","t.19"
"depvar","q5.true","t.20"
"tranform","q5.true","t.20"
"indepvar","cdceb","t.20"
"depvar","q5.true","t.21"
"tranform","q5.true","t.21"
"indepvar","cdceb","t.21"
"depvar","q5.true","t.22"
"tranform","q5.true","t.22"
"indepvar","cdceb","t.22"
"depvar","q5.true","t.23"
"tranform","q5.true","t.23"
"indepvar","cdceb","t.23"
"depvar","q5.true","t.24"
"tranform","q5.true","t.24"
"indepvar","cdceb","t.24"
