"gbdregion","region.re","region.re.var","group"
"North Africa / Middle East",0.04939190405729,0.000541205664558247,"t.15"
"Sub-Saharan Africa, West/Central",0.0188791248285599,0.000301954534438639,"t.15"
"Sub-Saharan Africa, South/East",-0.0324131421359068,0.000265799962884329,"t.15"
"Asia",0,0,"t.16"
"Latin America and the Caribbean",0,0,"t.16"
"North Africa / Middle East",0,0,"t.16"
"Sub-Saharan Africa, West/Central",0,0,"t.16"
"Sub-Saharan Africa, South/East",0,0,"t.16"
"Asia",0,0,"t.17"
"Latin America and the Caribbean",0,0,"t.17"
"North Africa / Middle East",0,0,"t.17"
"Sub-Saharan Africa, West/Central",0,0,"t.17"
"Sub-Saharan Africa, South/East",0,0,"t.17"
"Asia",0.0255188086726013,0.000380318237415148,"t.18"
"Latin America and the Caribbean",-0.0290643488175319,0.00040049600986591,"t.18"
"North Africa / Middle East",-0.0484328046270047,0.000611989821082809,"t.18"
"Sub-Saharan Africa, West/Central",0.0345922661977416,0.000332496984164849,"t.18"
"Sub-Saharan Africa, South/East",0.0173860785741894,0.000299105106296264,"t.18"
"Asia",-0.0214588470667101,0.000324015046841315,"t.19"
"Latin America and the Caribbean",0.0206952108792358,0.000338526278709948,"t.19"
"North Africa / Middle East",0.0216715771298738,0.000456194750826796,"t.19"
"Sub-Saharan Africa, West/Central",-0.0241161338267305,0.000291424110542772,"t.19"
"Sub-Saharan Africa, South/East",0.00320819288433352,0.000270970618710714,"t.19"
"Asia",0.000666653121714394,0.000611104122795549,"t.20"
"Latin America and the Caribbean",-0.0597183281121957,0.000670570857155581,"t.20"
"North Africa / Middle East",-0.0430360111584908,0.00118005501653132,"t.20"
"Sub-Saharan Africa, West/Central",0.115515248856692,0.000512272884607881,"t.20"
"Sub-Saharan Africa, South/East",-0.0134275627076572,0.000482118700787936,"t.20"
"Asia",0,0,"t.21"
"Latin America and the Caribbean",0,0,"t.21"
"North Africa / Middle East",0,0,"t.21"
"Sub-Saharan Africa, West/Central",0,0,"t.21"
"Sub-Saharan Africa, South/East",0,0,"t.21"
"Asia",0.00219148690367149,0.000484831903339804,"t.22"
"Latin America and the Caribbean",-0.0268294364373795,0.000527052812013343,"t.22"
"North Africa / Middle East",-0.01884067601863,0.000701795601535468,"t.22"
"Sub-Saharan Africa, West/Central",0.0392543442536171,0.000430848158978809,"t.22"
"Sub-Saharan Africa, South/East",0.00422428129871027,0.000437805202625372,"t.22"
"Asia",-7.23332800818971e-10,7.36259506334942e-13,"t.23"
"Latin America and the Caribbean",-2.15599712916632e-10,7.36259527595598e-13,"t.23"
"North Africa / Middle East",-1.54859923809143e-12,7.36259609626909e-13,"t.23"
"Sub-Saharan Africa, West/Central",2.60194173697546e-10,7.36259447494342e-13,"t.23"
"Sub-Saharan Africa, South/East",6.80286939276033e-10,7.36259454077121e-13,"t.23"
"Asia",-0.0567625214469763,0.000973311613018035,"t.24"
"Latin America and the Caribbean",-0.0414924711876347,0.00103869936765672,"t.24"
"North Africa / Middle East",-0.0129130065456947,0.00156497890024465,"t.24"
"Sub-Saharan Africa, West/Central",0.0639067130231395,0.000801993841446131,"t.24"
"Sub-Saharan Africa, South/East",0.0472612861571176,0.000825583850196198,"t.24"
