"fixef.fit.","group","param"
-0.715118702471098,"15-19","(Intercept)"
0.522275248835084,"15-19","cdceb"
3.13531543949853,"15-19","ceb"
-4.44616354991912,"15-19","pr1"
-0.612131369138449,"15-19","pr2"
-0.0231615346934021,"20-24","(Intercept)"
0.89244810311585,"20-24","cdceb"
0.202297323822208,"20-24","ceb"
-0.114618723420837,"20-24","pr1"
-0.839156809247656,"20-24","pr2"
-0.218531873872572,"25-29","(Intercept)"
0.901627308643036,"25-29","cdceb"
0.0856003077122469,"25-29","ceb"
-0.216947375867481,"25-29","pr1"
-0.293761605097799,"25-29","pr2"
-0.0710034565705079,"30-34","(Intercept)"
0.946634334494603,"30-34","cdceb"
0.017677274365705,"30-34","ceb"
-0.290905392296963,"30-34","pr1"
-0.101397019774401,"30-34","pr2"
0.0218002088750192,"35-39","(Intercept)"
1.002629414488,"35-39","cdceb"
0.0179695931788405,"35-39","ceb"
-0.329507334117758,"35-39","pr1"
-0.191919664998045,"35-39","pr2"
-0.0243417898179016,"40-44","(Intercept)"
1.02853939215008,"40-44","cdceb"
0.00750325663219187,"40-44","ceb"
-0.137437856699915,"40-44","pr1"
-0.133173129406507,"40-44","pr2"
-0.0159112041881376,"45-49","(Intercept)"
1.03487874062024,"45-49","cdceb"
0.00759831297641993,"45-49","ceb"
0.398194792473018,"45-49","pr1"
-0.549176560519336,"45-49","pr2"
