"model.error","group","type"
0.195852218108144,"15-19","data"
0.162848330766755,"15-19","iso3"
0.178329599926892,"15-19","gbdregion"
0.126382365584218,"20-24","data"
0.0656486036870195,"20-24","iso3"
0.0751490908832543,"20-24","gbdregion"
0.10948634337104,"25-29","data"
0.0314173671635657,"25-29","iso3"
0.0475152933636481,"25-29","gbdregion"
0.109964733044585,"30-34","data"
2.95569272554576e-06,"30-34","iso3"
0.039991260845611,"30-34","gbdregion"
0.11795223057365,"35-39","data"
0,"35-39","iso3"
0,"35-39","gbdregion"
0.142237154986571,"40-44","data"
0,"40-44","iso3"
0,"40-44","gbdregion"
0.16291983653447,"45-49","data"
0.00748050661887288,"45-49","iso3"
0.0142112061524727,"45-49","gbdregion"
