"ihme_loc_id","scale","amp2x","lambda","zeta","are","coverage","loss","best"
"AFG",30,1,0.7,0.9,0.34887800896272,0.998411437648928,0.397289446611648,1
"AGO",5,1.5,0.7,0.9,0.138626622081174,1,0.188626622081174,1
"ALB",5,1,0.8,0.8,0.295611175681144,1,0.345611175681144,1
"AND",30,1,0.8,0.99,3.82810816754091,0.865951742627346,3.84491781901544,1
"ARE",5,3,0.9,0.8,0.0951691741014365,1,0.145169174101436,1
"ARG",30,3,0.9,0.9,0.188858555835848,0.845503458877786,0.209757864060291,1
"ARM",5,1,0.7,0.9,0.269814560316868,1,0.319814560316868,1
"ASM",30,1,0.8,0.9,0.277040041130717,0.946414499605989,0.27775714120952,1
"ATG",30,1.5,0.6,0.8,0.358784025344246,1,0.408784025344246,1
"AUS",15,3,0.3,0.8,0.10215123326702,1,0.15215123326702,1
"AUT",20,3,0.3,0.99,0.0690921044922095,1,0.119092104492209,1
"AZE",5,1,0.6,0.9,0.498405708496288,1,0.548405708496288,1
"BDI",10,3,0.6,0.99,0.215639692377275,1,0.265639692377275,1
"BEL",25,3,0.3,0.99,0.201601324682182,0.939277478862414,0.203745828909699,1
"BEN",30,1.5,0.9,0.9,0.344664659655819,0.915341641598625,0.351596331336094,1
"BFA",30,1,0.9,0.99,0.164996782762646,1,0.214996782762646,1
"BGD",30,1,0.9,0.99,0.0879614264402126,1,0.137961426440213,1
"BGR",15,3,0.6,0.99,0.0838245294757201,1,0.13382452947572,1
"BHR",15,1,0.7,0.7,0.321299691732418,0.937973811164714,0.323704929499475,1
"BHS",15,3,0.4,0.9,0.35633995049494,1,0.40633995049494,1
"BIH",30,1,0.6,0.99,1.05973689793362,0.937738246505718,1.06218924863248,1
"BLR",20,1,0.9,0.7,0.11660368477797,1,0.16660368477797,1
"BLZ",5,1.5,0.7,0.8,0.150154346805458,1,0.200154346805458,1
"BMU",5,1,0.6,0.8,2.8608858523533,0.939217318900916,2.86304238857312,1
"BOL",30,2,0.9,0.8,0.201864419964797,0.950386597938144,0.202251017902941,1
"BRA",5,1,0.6,0.7,0.213883896406295,1,0.263883896406295,1
"BRA_4750",30,1,0.8,0.9,0.297217643565341,1,0.347217643565341,1
"BRA_4751",30,1.5,0.7,0.99,0.42598003872765,1,0.47598003872765,1
"BRA_4752",30,1,0.6,0.7,0.166584289534778,1,0.216584289534778,1
"BRA_4753",5,1,0.9,0.99,0.480929106906424,0.999082989454379,0.530012096360803,1
"BRA_4754",30,1.5,0.7,0.9,0.287434768568275,1,0.337434768568275,1
"BRA_4755",30,1,0.6,0.99,0.34892390930507,1,0.39892390930507,1
"BRA_4756",20,3,0.7,0.7,0.338570272185944,0.939735828288387,0.340623106528266,1
"BRA_4757",5,1,0.9,0.9,0.21682406188727,1,0.26682406188727,1
"BRA_4758",30,1,0.6,0.7,0.242447113611584,1,0.292447113611584,1
"BRA_4759",30,1,0.6,0.9,0.441713489073587,1,0.491713489073587,1
"BRA_4760",30,1,0.7,0.99,0.186908182727399,1,0.236908182727399,1
"BRA_4761",5,1,0.7,0.7,0.191132270573106,1,0.241132270573106,1
"BRA_4762",30,1,0.6,0.8,0.231737957178649,1,0.281737957178649,1
"BRA_4763",30,1,0.6,0.99,0.200681403201575,1,0.250681403201575,1
"BRA_4764",30,1.5,0.6,0.7,0.399005579672913,1,0.449005579672913,1
"BRA_4765",30,1,0.9,0.99,0.245528742061288,1,0.295528742061288,1
"BRA_4766",5,1,0.6,0.7,0.254324307186501,1,0.304324307186501,1
"BRA_4767",30,1,0.7,0.8,0.385677339686034,1,0.435677339686034,1
"BRA_4768",5,1,0.7,0.8,0.28310325711611,0.957758031442242,0.290861288558352,1
"BRA_4769",5,1,0.8,0.8,0.322219568534155,1,0.372219568534155,1
