age_group_id,age_group_name,age_group_alternative_name,age_group_name_short,age_group_years_start,age_group_years_end,age_group_days_start,age_group_days_end,age_group_weight_value,most_detailed
2,Early Neonatal,0-6 days,EN,0,0.01917808,0,6,0.000396232,1
3,Late Neonatal,7-27 days,LN,0.01917808,0.07671233,7,27,0.00117777,1
6,5 to 9,5-9 years,5,5,10,1825,3649,0.0965824,1
7,10 to 14,10-14 years,10,10,15,3650,5474,0.0899361,1
8,15 to 19,15-19 years,15,15,20,5475,7299,0.0828913,1
9,20 to 24,20-24 years,20,20,25,7300,9124,0.0780122,1
10,25 to 29,25-29 years,25,25,30,9125,10949,0.0759144,1
11,30 to 34,30-34 years,30,30,35,10950,12774,0.0732171,1
12,35 to 39,35-39 years,35,35,40,12775,14599,0.0682805,1
13,40 to 44,40-44 years,40,40,45,14600,16424,0.0614735,1
14,45 to 49,45-49 years,45,45,50,16425,18249,0.0551133,1
15,50 to 54,50-54 years,50,50,55,18250,20074,0.0491312,1
16,55 to 59,55-59 years,55,55,60,20075,21899,0.0434586,1
17,60 to 64,60-64 years,60,60,65,21900,23724,0.0368223,1
18,65 to 69,65-69 years,65,65,70,23725,25549,0.0298509,1
19,70 to 74,70-74 years,70,70,75,25550,27374,0.0226526,1
20,75 to 79,75-79 years,75,75,80,27375,29199,0.0159758,1
30,80 to 84,80-84 years,80,80,85,29200,31024,0.0109729,1
31,85 to 89,85-89 years,85,85,90,31025,32849,0.00604519,1
32,90 to 94,90-94 years,90,90,95,32850,34674,0.00246663,1
34,2 to 4,2-4 years,2,2,5,730,1824,0.059934,1
235,95 plus,95+ years,95+,95,125,34675,45625,0.000785092,1
238,12 to 23 months,12-23 months,12m,1,2,365,729,0.0201613,1
388,1-5 months,1-5 months,1m,0.07671233,0.5,28,182,0.00864776,1
389,6-11 months,6-11 months,6m,0.5,1,183,364,0.0101009,1
