location_id,code_type,code
523,MDCR_STATE_CD,01
523,STATE_CNTY_FIPS,01
523,MAX_STATE_CD,AL
524,MDCR_STATE_CD,02
524,STATE_CNTY_FIPS,02
524,MAX_STATE_CD,AK
525,MDCR_STATE_CD,03
525,STATE_CNTY_FIPS,04
525,MAX_STATE_CD,AZ
526,MDCR_STATE_CD,04
526,STATE_CNTY_FIPS,05
526,MAX_STATE_CD,AR
527,STATE_CNTY_FIPS,06
527,MAX_STATE_CD,CA
527,MDCR_STATE_CD,05
528,MAX_STATE_CD,CO
528,MDCR_STATE_CD,06
528,STATE_CNTY_FIPS,08
529,MAX_STATE_CD,CT
529,MDCR_STATE_CD,07
529,STATE_CNTY_FIPS,09
530,MAX_STATE_CD,DE
530,STATE_CNTY_FIPS,10
530,MDCR_STATE_CD,08
531,STATE_CNTY_FIPS,11
531,MAX_STATE_CD,DC
531,MDCR_STATE_CD,09
532,STATE_CNTY_FIPS,12
532,MAX_STATE_CD,FL
532,MDCR_STATE_CD,10
533,MAX_STATE_CD,GA
533,MDCR_STATE_CD,11
533,STATE_CNTY_FIPS,13
534,MDCR_STATE_CD,12
534,STATE_CNTY_FIPS,15
534,MAX_STATE_CD,HI
535,MDCR_STATE_CD,13
535,STATE_CNTY_FIPS,16
535,MAX_STATE_CD,ID
536,STATE_CNTY_FIPS,17
536,MAX_STATE_CD,IL
536,MDCR_STATE_CD,14
537,MAX_STATE_CD,IN
537,MDCR_STATE_CD,15
537,STATE_CNTY_FIPS,18
538,MAX_STATE_CD,IA
538,MDCR_STATE_CD,16
538,STATE_CNTY_FIPS,19
539,MDCR_STATE_CD,17
539,STATE_CNTY_FIPS,20
539,MAX_STATE_CD,KS
540,STATE_CNTY_FIPS,21
540,MAX_STATE_CD,KY
540,MDCR_STATE_CD,18
541,STATE_CNTY_FIPS,22
541,MAX_STATE_CD,LA
541,MDCR_STATE_CD,19
542,STATE_CNTY_FIPS,23
542,MDCR_STATE_CD,20
542,MAX_STATE_CD,ME
543,MDCR_STATE_CD,21
543,STATE_CNTY_FIPS,24
543,MAX_STATE_CD,MD
544,MDCR_STATE_CD,22
544,STATE_CNTY_FIPS,25
544,MAX_STATE_CD,MA
545,STATE_CNTY_FIPS,26
545,MAX_STATE_CD,MI
545,MDCR_STATE_CD,23
546,MAX_STATE_CD,MN
546,MDCR_STATE_CD,24
546,STATE_CNTY_FIPS,27
547,MAX_STATE_CD,MS
547,MDCR_STATE_CD,25
547,STATE_CNTY_FIPS,28
548,MAX_STATE_CD,MO
548,STATE_CNTY_FIPS,29
548,MDCR_STATE_CD,26
549,STATE_CNTY_FIPS,30
549,MAX_STATE_CD,MT
549,MDCR_STATE_CD,27
550,STATE_CNTY_FIPS,31
550,MAX_STATE_CD,NE
550,MDCR_STATE_CD,28
551,STATE_CNTY_FIPS,32
551,MAX_STATE_CD,NV
551,MDCR_STATE_CD,29
552,MAX_STATE_CD,NH
552,MDCR_STATE_CD,30
552,STATE_CNTY_FIPS,33
553,MDCR_STATE_CD,31
553,STATE_CNTY_FIPS,34
553,MAX_STATE_CD,NJ
554,MDCR_STATE_CD,32
554,STATE_CNTY_FIPS,35
554,MAX_STATE_CD,NM
555,MDCR_STATE_CD,33
555,MAX_STATE_CD,NY
555,STATE_CNTY_FIPS,36
556,MAX_STATE_CD,NC
556,MDCR_STATE_CD,34
556,STATE_CNTY_FIPS,37
557,MAX_STATE_CD,ND
557,MDCR_STATE_CD,35
557,STATE_CNTY_FIPS,38
558,MDCR_STATE_CD,36
558,STATE_CNTY_FIPS,39
558,MAX_STATE_CD,OH
559,STATE_CNTY_FIPS,40
559,MAX_STATE_CD,OK
559,MDCR_STATE_CD,37
560,STATE_CNTY_FIPS,41
560,MAX_STATE_CD,OR
560,MDCR_STATE_CD,38
561,MAX_STATE_CD,PA
561,MDCR_STATE_CD,39
561,STATE_CNTY_FIPS,42
562,MDCR_STATE_CD,41
562,STATE_CNTY_FIPS,44
562,MAX_STATE_CD,RI
563,MDCR_STATE_CD,42
563,STATE_CNTY_FIPS,45
563,MAX_STATE_CD,SC
564,STATE_CNTY_FIPS,46
564,MAX_STATE_CD,SD
564,MDCR_STATE_CD,43
565,MAX_STATE_CD,TN
565,MDCR_STATE_CD,44
565,STATE_CNTY_FIPS,47
566,MAX_STATE_CD,TX
566,MDCR_STATE_CD,45
566,STATE_CNTY_FIPS,48
567,MAX_STATE_CD,UT
567,STATE_CNTY_FIPS,49
567,MDCR_STATE_CD,46
568,MAX_STATE_CD,VT
568,STATE_CNTY_FIPS,50
568,MDCR_STATE_CD,47
569,STATE_CNTY_FIPS,51
569,MAX_STATE_CD,VA
569,MDCR_STATE_CD,49
570,MDCR_STATE_CD,50
570,STATE_CNTY_FIPS,53
570,MAX_STATE_CD,WA
571,STATE_CNTY_FIPS,54
571,MAX_STATE_CD,WV
571,MDCR_STATE_CD,51
572,MAX_STATE_CD,WI
572,STATE_CNTY_FIPS,55
572,MDCR_STATE_CD,52
573,MDCR_STATE_CD,53
573,STATE_CNTY_FIPS,56
573,MAX_STATE_CD,WY
