age_group_id,age_group_years_start,age_group_years_end,start_a,start_b,end_a,end_b
2,0,0.01917808,0,0.01917808,0.01917808,0.07671233
3,0.01917808,0.07671233,0.01917808,0.07671233,0.07671233,1
4,0.07671233,1,0.07671233,1,1,5
5,1,5,1,5,5,10
6,5,10,5,10,10,15
7,10,15,10,15,15,20
8,15,20,15,20,20,25
9,20,25,20,25,25,30
10,25,30,25,30,30,35
11,30,35,30,35,35,40
12,35,40,35,40,40,45
13,40,45,40,45,45,50
14,45,50,45,50,50,55
15,50,55,50,55,55,60
16,55,60,55,60,60,65
17,60,65,60,65,65,70
18,65,70,65,70,70,75
19,70,75,70,75,75,80
20,75,80,75,80,80,85
30,80,85,80,85,85,90
31,85,90,85,90,90,95
32,90,95,90,95,95,125
235,95,125,95,999,125,999
