mid_point,pred5,pred_lo,pred_hi,ve,pinf,ve_lower,ve_upper
0,1.70191152532317,-2.12148979674818,33.9488807767025,0.845784226244552,0.945784226244552,0.107025605554796,0.999999999999998
0.1,1.70191152630076,-2.02417880970261,33.4894120822754,0.845784226372062,0.945784226372062,0.116687583913011,0.999999999999997
0.2,1.70191152727847,-1.92779902826515,33.0331247783451,0.845784226499588,0.945784226499588,0.126994394591667,0.999999999999996
0.3,1.70191152825631,-1.83235045243579,32.5800188649117,0.845784226627131,0.945784226627131,0.137958505426321,0.999999999999993
0.4,1.70191152923427,-1.73783308221453,32.1300943419751,0.84578422675469,0.94578422675469,0.149588382563453,0.999999999999989
0.5,1.70191153021237,-1.64424691760137,31.6833512095352,0.845784226882266,0.945784226882266,0.161888011857361,0.999999999999983
0.6,1.70191153119058,-1.55159195859632,31.2397894675922,0.845784227009858,0.945784227009858,0.174856458802815,0.999999999999973
0.7,1.70191153216893,-1.4595728186406,30.799409116146,0.845784227137467,0.945784227137467,0.188532670184058,0.999999999999958
0.8,1.7019115331474,-1.36844399597245,30.3622101551966,0.845784227265092,0.945784227265092,0.202871358620877,0.999999999999935
0.9,1.701911534126,-1.27824982788552,29.9281925847441,0.845784227392734,0.945784227392734,0.217848288859461,0.999999999999899
1,1.70191153510472,-1.1889903143798,29.4973564047883,0.845784227520392,0.945784227520392,0.233439565874368,0.999999999999845
1.1,1.70191153608357,-1.10066545545531,29.0697016153293,0.845784227648067,0.945784227648067,0.249615228862396,0.999999999999763
1.2,1.70191153706255,-1.01327525111204,28.6452282163672,0.845784227775758,0.945784227775758,0.266339368233701,0.999999999999637
1.3,1.70191153804165,-0.935525349698528,28.2239362079018,0.845784227903465,0.945784227903465,0.281805086589488,0.999999999999447
1.4,1.70191153902088,-0.863770401440585,27.8058255899333,0.84578422803119,0.94578422803119,0.296552203135275,0.99999999999916
1.5,1.70191154000024,-0.792799660256534,27.3908963624616,0.84578422815893,0.94578422815893,0.311567844415795,0.999999999998728
1.6,1.70191154097973,-0.722613126146377,26.9791485254866,0.845784228286688,0.945784228286688,0.326817814492917,0.999999999998081
1.7,1.70191154195934,-0.653210799110111,26.5841119555718,0.845784228414462,0.945784228414461,0.342266356282824,0.999999999997151
1.8,1.70191154293907,-0.589152427290581,26.1940102573976,0.845784228542252,0.945784228542252,0.356829350464226,0.999999999995792
1.9,1.70191154391893,-0.51701775592289,25.8069681803935,0.845784228670058,0.945784228670058,0.37354984610234,0.999999999993803
2,1.70191154489892,-0.432324557633337,25.4229857245593,0.845784228797882,0.945784228797882,0.39357138549695,0.999999999990902
2.1,1.70191154587904,-0.346615200582379,25.0420628898951,0.845784228925721,0.945784228925721,0.414203466056769,0.999999999986684
2.2,1.70191154685928,-0.266424546138957,24.6641996764009,0.845784229053578,0.945784229053577,0.433785073425576,0.99999999998057
2.3,1.70191154783965,-0.18719425880265,24.2893960840767,0.84578422918145,0.94578422918145,0.453337616519007,0.999999999971735
