subtype,age_group_id,sex_id,resid_prop,pct_noniron,pct_noniron_2019,resid_prop_2019
nutrition_iron,2,1,0.805,NA,NA,0.805
infectious,2,1,0.062592593,0.320987654,0.26,0.0507
ntd_other,2,1,0.096296296,0.49382716,0.4,0.078
hemog_other,2,1,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,3,1,0.805,NA,NA,0.805
infectious,3,1,0.062592593,0.320987654,0.26,0.0507
ntd_other,3,1,0.096296296,0.49382716,0.4,0.078
hemog_other,3,1,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,6,1,0.805,NA,NA,0.805
infectious,6,1,0.062592593,0.320987654,0.26,0.0507
ntd_other,6,1,0.096296296,0.49382716,0.4,0.078
hemog_other,6,1,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,7,1,0.805,NA,NA,0.805
infectious,7,1,0.062592593,0.320987654,0.26,0.0507
ntd_other,7,1,0.096296296,0.49382716,0.4,0.078
hemog_other,7,1,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,8,1,0.805,NA,NA,0.805
infectious,8,1,0.04875,0.25,0.2,0.039
ntd_other,8,1,0.04875,0.25,0.2,0.039
hemog_other,8,1,0.0975,0.5,0.4,0.078
nutrition_iron,9,1,0.805,NA,NA,0.805
infectious,9,1,0.04875,0.25,0.2,0.039
ntd_other,9,1,0.04875,0.25,0.2,0.039
hemog_other,9,1,0.0975,0.5,0.4,0.078
nutrition_iron,10,1,0.805,NA,NA,0.805
infectious,10,1,0.04875,0.25,0.2,0.039
ntd_other,10,1,0.04875,0.25,0.2,0.039
hemog_other,10,1,0.0975,0.5,0.4,0.078
nutrition_iron,11,1,0.805,NA,NA,0.805
infectious,11,1,0.04875,0.25,0.2,0.039
ntd_other,11,1,0.04875,0.25,0.2,0.039
hemog_other,11,1,0.0975,0.5,0.4,0.078
nutrition_iron,12,1,0.805,NA,NA,0.805
infectious,12,1,0.04875,0.25,0.2,0.039
ntd_other,12,1,0.04875,0.25,0.2,0.039
hemog_other,12,1,0.0975,0.5,0.4,0.078
nutrition_iron,13,1,0.805,NA,NA,0.805
infectious,13,1,0.04875,0.25,0.2,0.039
ntd_other,13,1,0.04875,0.25,0.2,0.039
hemog_other,13,1,0.0975,0.5,0.4,0.078
nutrition_iron,14,1,0.805,NA,NA,0.805
infectious,14,1,0.04875,0.25,0.2,0.039
ntd_other,14,1,0.04875,0.25,0.2,0.039
hemog_other,14,1,0.0975,0.5,0.4,0.078
nutrition_iron,15,1,0.805,NA,NA,0.805
infectious,15,1,0.04875,0.25,0.2,0.039
ntd_other,15,1,0.04875,0.25,0.2,0.039
hemog_other,15,1,0.0975,0.5,0.4,0.078
nutrition_iron,16,1,0.805,NA,NA,0.805
infectious,16,1,0.04875,0.25,0.2,0.039
ntd_other,16,1,0.04875,0.25,0.2,0.039
hemog_other,16,1,0.0975,0.5,0.4,0.078
nutrition_iron,17,1,0.805,NA,NA,0.805
infectious,17,1,0.027857143,0.142857143,0.1,0.0195
ntd_other,17,1,0.027857143,0.142857143,0.1,0.0195
hemog_other,17,1,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,18,1,0.805,NA,NA,0.805
infectious,18,1,0.027857143,0.142857143,0.1,0.0195
ntd_other,18,1,0.027857143,0.142857143,0.1,0.0195
hemog_other,18,1,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,19,1,0.805,NA,NA,0.805
infectious,19,1,0.027857143,0.142857143,0.1,0.0195
ntd_other,19,1,0.027857143,0.142857143,0.1,0.0195
hemog_other,19,1,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,20,1,0.805,NA,NA,0.805
infectious,20,1,0.027857143,0.142857143,0.1,0.0195
ntd_other,20,1,0.027857143,0.142857143,0.1,0.0195
hemog_other,20,1,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,30,1,0.805,NA,NA,0.805
infectious,30,1,0.027857143,0.142857143,0.1,0.0195
ntd_other,30,1,0.027857143,0.142857143,0.1,0.0195
hemog_other,30,1,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,31,1,0.805,NA,NA,0.805
infectious,31,1,0.027857143,0.142857143,0.1,0.0195
ntd_other,31,1,0.027857143,0.142857143,0.1,0.0195
hemog_other,31,1,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,32,1,0.805,NA,NA,0.805
infectious,32,1,0.027857143,0.142857143,0.1,0.0195
ntd_other,32,1,0.027857143,0.142857143,0.1,0.0195
hemog_other,32,1,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,34,1,0.805,NA,NA,0.805
infectious,34,1,0.062592593,0.320987654,0.26,0.0507
ntd_other,34,1,0.096296296,0.49382716,0.4,0.078
hemog_other,34,1,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,235,1,0.805,NA,NA,0.805
infectious,235,1,0.027857143,0.142857143,0.1,0.0195
ntd_other,235,1,0.027857143,0.142857143,0.1,0.0195
hemog_other,235,1,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,238,1,0.805,NA,NA,0.805
infectious,238,1,0.062592593,0.320987654,0.26,0.0507
ntd_other,238,1,0.096296296,0.49382716,0.4,0.078
hemog_other,238,1,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,388,1,0.805,NA,NA,0.805
infectious,388,1,0.062592593,0.320987654,0.26,0.0507
ntd_other,388,1,0.096296296,0.49382716,0.4,0.078
hemog_other,388,1,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,389,1,0.805,NA,NA,0.805
infectious,389,1,0.062592593,0.320987654,0.26,0.0507
ntd_other,389,1,0.096296296,0.49382716,0.4,0.078
hemog_other,389,1,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,2,2,0.805,NA,NA,0.805
infectious,2,2,0.062592593,0.320987654,0.26,0.0507
ntd_other,2,2,0.096296296,0.49382716,0.4,0.078
hemog_other,2,2,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,3,2,0.805,NA,NA,0.805
infectious,3,2,0.062592593,0.320987654,0.26,0.0507
ntd_other,3,2,0.096296296,0.49382716,0.4,0.078
hemog_other,3,2,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,6,2,0.805,NA,NA,0.805
infectious,6,2,0.062592593,0.320987654,0.26,0.0507
ntd_other,6,2,0.096296296,0.49382716,0.4,0.078
hemog_other,6,2,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,7,2,0.805,NA,NA,0.805
infectious,7,2,0.062592593,0.320987654,0.26,0.0507
ntd_other,7,2,0.096296296,0.49382716,0.4,0.078
hemog_other,7,2,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,8,2,0.805,NA,NA,0.805
infectious,8,2,0.06,0.307692306,0.18181818,0.035454545
ntd_other,8,2,0.06,0.307692306,0.18181818,0.035454545
hemog_other,8,2,0.075000001,0.384615389,0.227272729,0.044318182
nutrition_iron,9,2,0.805,NA,NA,0.805
infectious,9,2,0.06,0.307692306,0.18181818,0.035454545
ntd_other,9,2,0.06,0.307692306,0.18181818,0.035454545
hemog_other,9,2,0.075000001,0.384615389,0.227272729,0.044318182
nutrition_iron,10,2,0.805,NA,NA,0.805
infectious,10,2,0.06,0.307692306,0.18181818,0.035454545
ntd_other,10,2,0.06,0.307692306,0.18181818,0.035454545
hemog_other,10,2,0.075000001,0.384615389,0.227272729,0.044318182
nutrition_iron,11,2,0.805,NA,NA,0.805
infectious,11,2,0.06,0.307692306,0.18181818,0.035454545
ntd_other,11,2,0.06,0.307692306,0.18181818,0.035454545
hemog_other,11,2,0.075000001,0.384615389,0.227272729,0.044318182
nutrition_iron,12,2,0.805,NA,NA,0.805
infectious,12,2,0.06,0.307692306,0.18181818,0.035454545
ntd_other,12,2,0.06,0.307692306,0.18181818,0.035454545
hemog_other,12,2,0.075000001,0.384615389,0.227272729,0.044318182
nutrition_iron,13,2,0.805,NA,NA,0.805
infectious,13,2,0.06,0.307692306,0.18181818,0.035454545
ntd_other,13,2,0.06,0.307692306,0.18181818,0.035454545
hemog_other,13,2,0.075000001,0.384615389,0.227272729,0.044318182
nutrition_iron,14,2,0.805,NA,NA,0.805
infectious,14,2,0.06,0.307692306,0.18181818,0.035454545
ntd_other,14,2,0.06,0.307692306,0.18181818,0.035454545
hemog_other,14,2,0.075000001,0.384615389,0.227272729,0.044318182
nutrition_iron,15,2,0.805,NA,NA,0.805
infectious,15,2,0.06,0.307692306,0.18181818,0.035454545
ntd_other,15,2,0.06,0.307692306,0.18181818,0.035454545
hemog_other,15,2,0.075000001,0.384615389,0.227272729,0.044318182
nutrition_iron,16,2,0.805,NA,NA,0.805
infectious,16,2,0.06,0.307692306,0.18181818,0.035454545
ntd_other,16,2,0.06,0.307692306,0.18181818,0.035454545
hemog_other,16,2,0.075000001,0.384615389,0.227272729,0.044318182
nutrition_iron,17,2,0.805,NA,NA,0.805
infectious,17,2,0.027857143,0.142857143,0.1,0.0195
ntd_other,17,2,0.027857143,0.142857143,0.1,0.0195
hemog_other,17,2,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,18,2,0.805,NA,NA,0.805
infectious,18,2,0.027857143,0.142857143,0.1,0.0195
ntd_other,18,2,0.027857143,0.142857143,0.1,0.0195
hemog_other,18,2,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,19,2,0.805,NA,NA,0.805
infectious,19,2,0.027857143,0.142857143,0.1,0.0195
ntd_other,19,2,0.027857143,0.142857143,0.1,0.0195
hemog_other,19,2,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,20,2,0.805,NA,NA,0.805
infectious,20,2,0.027857143,0.142857143,0.1,0.0195
ntd_other,20,2,0.027857143,0.142857143,0.1,0.0195
hemog_other,20,2,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,30,2,0.805,NA,NA,0.805
infectious,30,2,0.027857143,0.142857143,0.1,0.0195
ntd_other,30,2,0.027857143,0.142857143,0.1,0.0195
hemog_other,30,2,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,31,2,0.805,NA,NA,0.805
infectious,31,2,0.027857143,0.142857143,0.1,0.0195
ntd_other,31,2,0.027857143,0.142857143,0.1,0.0195
hemog_other,31,2,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,32,2,0.805,NA,NA,0.805
infectious,32,2,0.027857143,0.142857143,0.1,0.0195
ntd_other,32,2,0.027857143,0.142857143,0.1,0.0195
hemog_other,32,2,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,34,2,0.805,NA,NA,0.805
infectious,34,2,0.062592593,0.320987654,0.26,0.0507
ntd_other,34,2,0.096296296,0.49382716,0.4,0.078
hemog_other,34,2,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,235,2,0.805,NA,NA,0.805
infectious,235,2,0.027857143,0.142857143,0.1,0.0195
ntd_other,235,2,0.027857143,0.142857143,0.1,0.0195
hemog_other,235,2,0.139285714,0.714285714,0.5,0.0975
nutrition_iron,238,2,0.805,NA,NA,0.805
infectious,238,2,0.062592593,0.320987654,0.26,0.0507
ntd_other,238,2,0.096296296,0.49382716,0.4,0.078
hemog_other,238,2,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,388,2,0.805,NA,NA,0.805
infectious,388,2,0.062592593,0.320987654,0.26,0.0507
ntd_other,388,2,0.096296296,0.49382716,0.4,0.078
hemog_other,388,2,0.036111111,0.185185185,0.15,0.02925
nutrition_iron,389,2,0.805,NA,NA,0.805
infectious,389,2,0.062592593,0.320987654,0.26,0.0507
ntd_other,389,2,0.096296296,0.49382716,0.4,0.078
hemog_other,389,2,0.036111111,0.185185185,0.15,0.02925
