exclude,study_id,author,location_id,location_name,piv,prim_inf_var,variant,symptom_severity,severity,sample_size,efficacy_mean,efficacy_lower,efficacy_upper,pinf,average_time_since_infection,start_interval,end_interval,sev_severity,prim_variant_name,variant_name,group_analysis,study_id2,mid_point1,mid_point,e_mean,se,mean_logit,sd_logit,insesqua
0,5,Altarawneh H,151,Qatar,1,mixed variant,B.1.1.529,infection,infection,,0.64,0.547,0.714,1,,12,32,infection,Ancestral,Omicron,Omicron,5&Ancestral&Omicron,22,22,0.6,0.0525951121189216,0.405465108108164,0.219146300495507,0.436040980329769
0,5,Altarawneh H,151,Qatar,1,mixed variant,B.1.1.529,infection,infection,,0.472,0.375,0.554,1,,33,56,infection,Ancestral,Omicron,Omicron,5&Ancestral&Omicron,44.5,44.5,0.413333333333333,0.0563744016124969,-0.350202429433116,0.232482411341858,0.421171550392872
0,5,Altarawneh H,151,Qatar,1,mixed variant,B.1.1.529,infection,infection,,0.596,0.507,0.67,1,,57,70,infection,Ancestral,Omicron,Omicron,5&Ancestral&Omicron,63.5,63.5,0.551111111111111,0.0513353489543966,0.205161048763777,0.207509744555759,0.441358749785557
0,7,Smid M,47,Czechia,1,mixed variant,B.1.1.529,infection,infection,,0.68,0.68,0.69,1,,2,24,infection,Ancestral,Omicron,Omicron,7&Ancestral&Omicron,13,13,0.644444444444444,0.00314940791131264,0.594707107746691,0.0137447220267416,1.78190908859011
0,7,Smid M,47,Czechia,1,mixed variant,B.1.1.529,infection,infection,,0.13,0.1,0.14,1,,25,52,infection,Ancestral,Omicron,Omicron,7&Ancestral&Omicron,38.5,38.5,0.133333333333333,0.0125976316452507,-3.36729582998648,0.390960982093988,0.89095454429505
0,29,Carazo S,101,Canada,1,mixed variant,B.1.1.529,infection,infection,,0.66,0.57,0.73,1,,12,23,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,17.5,17.5,0.622222222222222,0.0503905265810028,0.498991166118987,0.214371462870863,0.445477272147525
0,29,Carazo S,101,Canada,1,mixed variant,B.1.1.529,infection,infection,,0.49,0.32,0.61,1,,24,35,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,29.5,29.5,0.433333333333333,0.0913328294280675,-0.268263986594681,0.371943649254574,0.330892210806501
0,29,Carazo S,101,Canada,1,Ancestral,B.1.1.529,infection,infection,,0.35,0.21,0.47,1,,36,47,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,41.5,41.5,0.277777777777778,0.0818846056941295,-0.955511445027435,0.408163265306122,0.349461123621894
0,29,Carazo S,101,Canada,1,B.1.617.2,B.1.1.529,infection,infection,,0.29,0.17,0.38,1,,48,75,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,61.5,61.5,0.211111111111111,0.0661375661375661,-1.31824089787488,0.397119559462036,0.388844441904472
0,29,Carazo S,101,Canada,1,B.1.1.7,B.1.1.529,infection,infection,,0.27,0.08,0.42,1,,76,96,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,86,86,0.188888888888889,0.107079868984631,-1.45724609709217,0.698909700866648,0.30559488754578
0,41,Chin E,102,United States,1,mixed variant,B.1.1.529,infection,infection,,0.257,0.234,0.316,2,59,,,infection,Ancestral,Omicron,Omicron,41&Ancestral&Omicron,,59,0.174444444444444,0.0258251448727639,-1.55445023936945,0.179324372246606,0.622269645889242
0,41,Chin E,102,United States,1,B.1.617.2,B.1.1.529,infection,infection,,0.608,0.584,0.668,2,21,,,infection,Ancestral,Omicron,Omicron,41&Ancestral&Omicron,,21,0.564444444444444,0.0264550264550265,0.259219607788017,0.107607722504075,0.614817045957576
0,46,Carazo S,101,Canada,1,mixed variant,B.1.1.529.2,infection,infection,,0.42,-0.47,0.77,1,,12,23,infection,Ancestral,Omicron,Omicron,46&Ancestral&Omicron,17.5,17.5,0.355555555555556,0.390526581002772,-0.594707107746691,1.70434553131597,0.16002016002024
0,46,Carazo S,101,Canada,1,mixed variant,B.1.1.529.2,infection,infection,,0.39,0,0.63,1,,24,51,infection,Ancestral,Omicron,Omicron,46&Ancestral&Omicron,37.5,37.5,0.322222222222222,0.198412698412698,-0.743578034186838,0.908503593636437,0.224499443206437
0,46,Carazo S,101,Canada,1,mixed variant,B.1.1.529.2,infection,infection,,0.42,0.17,0.6,1,,52,64,infection,Ancestral,Omicron,Omicron,46&Ancestral&Omicron,58,58,0.355555555555556,0.135424540186445,-0.594707107746691,0.591023047149894,0.271738588472665
