region,Perc_vaccinated
UK,37.98
Serbia,29.5
Malta,27.19
Hungary,17.95
Denmark,14.4
Estonia,14.01
Iceland,13.73
Lithuania,12.95
Norway,12.74
Slovenia,12.41
Finland,12.33
Greece,12.31
Switzerland,11.96
Poland,11.94
Ireland,11.94
Spain,11.45
Portugal,11.41
Austria,11.39
Slovakia,11.37
Cyprus,11.33
Italy,11.11
Sweden,10.83
Romania,10.76
France,10.75
Germany,10.58
Czech Republic,10.1
Belgium,9.89
Netherlands,9.45
Luxembourg,8.76
Croatia,7.33
Latvia,5.15
Bulgaria,4.88
