cause_id,model_version_id,model_version_type_id,sex_id,age_start,age_end,cause_age_start,cause_age_end,is_best,decomp_step_id,is_scaled
297.0,628430.0,3.0,1,4.0,235.0,4.0,235.0,1.0,4.0,True
297.0,629330.0,3.0,2,4.0,235.0,4.0,235.0,1.0,4.0,True
298.0,615989.0,6.0,1,2.0,235.0,2.0,235.0,1.0,4.0,False
298.0,615995.0,6.0,2,2.0,235.0,2.0,235.0,1.0,4.0,False
302.0,628427.0,3.0,1,2.0,5.0,2.0,5.0,1.0,4.0,True
302.0,628424.0,3.0,1,6.0,235.0,6.0,235.0,1.0,4.0,True
302.0,626090.0,3.0,2,2.0,5.0,2.0,5.0,1.0,4.0,True
302.0,623819.0,5.0,1,2.0,235.0,2.0,235.0,1.0,4.0,False
302.0,623933.0,5.0,2,2.0,235.0,2.0,235.0,1.0,4.0,False
319.0,627452.0,4.0,1,2.0,235.0,4.0,235.0,1.0,4.0,True
319.0,627539.0,4.0,2,2.0,235.0,4.0,235.0,1.0,4.0,True
320.0,627602.0,4.0,1,2.0,235.0,4.0,235.0,1.0,4.0,True
320.0,627638.0,4.0,2,2.0,235.0,4.0,235.0,1.0,4.0,True
321.0,623576.0,4.0,1,2.0,235.0,4.0,235.0,1.0,4.0,True
321.0,623609.0,4.0,2,2.0,235.0,4.0,235.0,1.0,4.0,True
322.0,627764.0,3.0,1,2.0,5.0,2.0,5.0,1.0,4.0,True
322.0,628769.0,3.0,1,6.0,235.0,6.0,235.0,1.0,4.0,True
322.0,627767.0,3.0,2,2.0,5.0,2.0,5.0,1.0,4.0,True
328.0,627770.0,3.0,1,2.0,235.0,2.0,235.0,1.0,4.0,True
328.0,626093.0,3.0,2,2.0,235.0,2.0,235.0,1.0,4.0,True
329.0,624617.0,3.0,1,2.0,235.0,2.0,235.0,1.0,4.0,True
329.0,626741.0,3.0,2,2.0,235.0,2.0,235.0,1.0,4.0,True
332.0,629462.0,3.0,1,2.0,5.0,2.0,5.0,1.0,4.0,True
332.0,629474.0,3.0,1,6.0,235.0,6.0,235.0,1.0,4.0,True
332.0,629465.0,3.0,2,2.0,5.0,2.0,5.0,1.0,4.0,True
332.0,627479.0,3.0,2,6.0,235.0,6.0,235.0,1.0,4.0,True
332.0,623798.0,5.0,1,2.0,235.0,2.0,235.0,1.0,4.0,False
332.0,623924.0,5.0,2,2.0,235.0,2.0,235.0,1.0,4.0,False
333.0,,,1,,,,,,,
333.0,,,2,,,,,,,
334.0,,,1,,,,,,,
334.0,,,2,,,,,,,
335.0,,,1,,,,,,,
335.0,,,2,,,,,,,
336.0,,,1,,,,,,,
336.0,,,2,,,,,,,
337.0,628982.0,3.0,1,2.0,235.0,2.0,235.0,1.0,4.0,True
337.0,628985.0,3.0,2,2.0,235.0,2.0,235.0,1.0,4.0,True
338.0,,,1,,,,,,,
338.0,,,2,,,,,,,
339.0,,,1,,,,,,,
339.0,,,2,,,,,,,
340.0,,,1,,,,,,,
340.0,,,2,,,,,,,
341.0,623759.0,5.0,1,2.0,235.0,2.0,235.0,1.0,4.0,False
341.0,623906.0,5.0,2,2.0,235.0,2.0,235.0,1.0,4.0,False
342.0,,,1,,,,,,,
342.0,,,2,,,,,,,
345.0,628700.0,4.0,1,2.0,235.0,2.0,235.0,1.0,4.0,True
345.0,628898.0,4.0,2,2.0,235.0,2.0,235.0,1.0,4.0,True
345.0,623852.0,5.0,1,2.0,235.0,2.0,235.0,1.0,4.0,False
345.0,623951.0,5.0,2,2.0,235.0,2.0,235.0,1.0,4.0,False
346.0,618878.0,4.0,1,4.0,235.0,4.0,235.0,1.0,7.0,False
346.0,618887.0,4.0,2,4.0,235.0,4.0,235.0,1.0,7.0,False
347.0,604682.0,4.0,1,2.0,235.0,2.0,235.0,1.0,7.0,False
347.0,604685.0,4.0,2,2.0,235.0,2.0,235.0,1.0,7.0,False
348.0,627332.0,4.0,1,2.0,235.0,4.0,235.0,1.0,7.0,False
348.0,627341.0,4.0,2,2.0,235.0,4.0,235.0,1.0,7.0,False
350.0,623495.0,4.0,1,2.0,235.0,5.0,235.0,1.0,7.0,False
350.0,623540.0,4.0,2,2.0,235.0,5.0,235.0,1.0,7.0,False
351.0,625208.0,4.0,1,2.0,235.0,4.0,235.0,1.0,4.0,True
351.0,625256.0,4.0,2,2.0,235.0,4.0,235.0,1.0,4.0,True
352.0,624173.0,4.0,1,2.0,235.0,5.0,235.0,1.0,7.0,False
352.0,624257.0,4.0,2,2.0,235.0,5.0,235.0,1.0,7.0,False
353.0,627125.0,4.0,1,2.0,235.0,5.0,235.0,1.0,7.0,False
353.0,627206.0,4.0,2,2.0,235.0,5.0,235.0,1.0,7.0,False
357.0,627641.0,4.0,1,3.0,235.0,3.0,235.0,1.0,7.0,False
357.0,627644.0,4.0,2,3.0,235.0,3.0,235.0,1.0,7.0,False
357.0,623867.0,5.0,1,2.0,235.0,2.0,235.0,1.0,4.0,False
357.0,623984.0,5.0,2,2.0,235.0,2.0,235.0,1.0,4.0,False
358.0,623522.0,4.0,1,2.0,235.0,3.0,235.0,1.0,4.0,True
358.0,623543.0,4.0,2,2.0,235.0,3.0,235.0,1.0,4.0,True
359.0,624764.0,3.0,1,4.0,235.0,4.0,235.0,1.0,7.0,False
359.0,626870.0,3.0,2,4.0,235.0,4.0,235.0,1.0,7.0,False
360.0,624785.0,4.0,1,2.0,235.0,2.0,235.0,1.0,4.0,True
360.0,624824.0,4.0,2,2.0,235.0,2.0,235.0,1.0,4.0,True
361.0,624866.0,4.0,1,2.0,235.0,4.0,235.0,1.0,4.0,True
361.0,625109.0,4.0,2,2.0,235.0,4.0,235.0,1.0,4.0,True
365.0,627797.0,3.0,1,2.0,235.0,2.0,235.0,1.0,7.0,False
365.0,628367.0,3.0,2,2.0,235.0,2.0,235.0,1.0,7.0,False
367.0,,,2,,,,,,,
368.0,,,2,,,,,,,
369.0,,,2,,,,,,,
370.0,,,2,,,,,,,
374.0,,,2,,,,,,,
375.0,,,2,,,,,,,
376.0,,,2,,,,,,,
379.0,,,2,,,,,,,
380.0,628952.0,3.0,1,2.0,5.0,2.0,5.0,1.0,4.0,True
380.0,627326.0,3.0,2,2.0,5.0,2.0,5.0,1.0,4.0,True
381.0,628829.0,3.0,1,2.0,5.0,2.0,5.0,1.0,4.0,True
381.0,628832.0,3.0,2,2.0,5.0,2.0,5.0,1.0,4.0,True
382.0,628955.0,3.0,1,2.0,5.0,2.0,5.0,1.0,4.0,True
382.0,628958.0,3.0,2,2.0,5.0,2.0,5.0,1.0,4.0,True
383.0,629339.0,3.0,1,2.0,5.0,2.0,5.0,1.0,4.0,True
383.0,629342.0,3.0,2,2.0,5.0,2.0,5.0,1.0,4.0,True
384.0,628970.0,3.0,1,2.0,5.0,2.0,5.0,1.0,4.0,True
384.0,628967.0,3.0,2,2.0,5.0,2.0,5.0,1.0,4.0,True
385.0,628976.0,3.0,1,2.0,5.0,2.0,5.0,1.0,4.0,True
385.0,628979.0,3.0,2,2.0,5.0,2.0,5.0,1.0,4.0,True
387.0,626756.0,3.0,1,6.0,235.0,6.0,235.0,1.0,4.0,True
387.0,623855.0,5.0,1,2.0,235.0,2.0,235.0,1.0,4.0,False
387.0,623948.0,5.0,2,2.0,235.0,2.0,235.0,1.0,4.0,False
391.0,,,1,,,,,,,
391.0,,,2,,,,,,,
393.0,624251.0,3.0,1,7.0,235.0,7.0,235.0,1.0,4.0,True
393.0,624254.0,3.0,2,7.0,235.0,7.0,235.0,1.0,4.0,True
393.0,627899.0,4.0,1,2.0,6.0,2.0,6.0,1.0,4.0,True
393.0,627944.0,4.0,2,2.0,6.0,2.0,6.0,1.0,4.0,True
394.0,627917.0,4.0,1,2.0,6.0,2.0,6.0,1.0,4.0,True
394.0,627959.0,4.0,2,2.0,6.0,2.0,6.0,1.0,4.0,True
395.0,,,1,,,,,,,
395.0,,,2,,,,,,,
396.0,,,1,,,,,,,
396.0,,,2,,,,,,,
399.0,,,1,,,,,,,
399.0,,,2,,,,,,,
400.0,628727.0,3.0,2,4.0,235.0,4.0,235.0,1.0,4.0,True
401.0,626762.0,3.0,1,4.0,235.0,4.0,235.0,1.0,4.0,True
401.0,627464.0,3.0,2,4.0,235.0,4.0,235.0,1.0,4.0,True
402.0,628751.0,3.0,1,4.0,235.0,4.0,235.0,1.0,4.0,True
402.0,626768.0,3.0,2,4.0,235.0,4.0,235.0,1.0,4.0,True
403.0,628754.0,3.0,1,4.0,235.0,4.0,235.0,1.0,4.0,True
403.0,628757.0,3.0,2,4.0,235.0,4.0,235.0,1.0,4.0,True
404.0,626771.0,3.0,1,4.0,235.0,4.0,235.0,1.0,4.0,True
404.0,628760.0,3.0,2,4.0,235.0,4.0,235.0,1.0,4.0,True
408.0,623753.0,5.0,1,2.0,235.0,2.0,235.0,1.0,4.0,False
408.0,623897.0,5.0,2,2.0,235.0,2.0,235.0,1.0,4.0,False
411.0,,,1,,,,,,,
411.0,,,2,,,,,,,
414.0,,,1,,,,,,,
414.0,,,2,,,,,,,
418.0,,,1,,,,,,,
418.0,,,2,,,,,,,
419.0,,,1,,,,,,,
419.0,,,2,,,,,,,
420.0,,,1,,,,,,,
420.0,,,2,,,,,,,
421.0,,,1,,,,,,,
421.0,,,2,,,,,,,
423.0,,,1,,,,,,,
423.0,,,2,,,,,,,
426.0,,,1,,,,,,,
426.0,,,2,,,,,,,
429.0,627665.0,3.0,1,8.0,235.0,8.0,235.0,1.0,4.0,True
429.0,,,2,,,,,,,
432.0,627152.0,3.0,2,8.0,235.0,8.0,235.0,1.0,4.0,True
435.0,624464.0,3.0,2,9.0,235.0,9.0,235.0,1.0,4.0,True
438.0,624476.0,3.0,1,9.0,235.0,9.0,235.0,1.0,4.0,True
441.0,,,1,,,,,,,
441.0,,,2,,,,,,,
444.0,,,1,,,,,,,
444.0,,,2,,,,,,,
447.0,,,1,,,,,,,
447.0,,,2,,,,,,,
450.0,627545.0,3.0,1,9.0,235.0,9.0,235.0,1.0,4.0,True
450.0,627719.0,3.0,2,9.0,235.0,9.0,235.0,1.0,4.0,True
453.0,624311.0,3.0,1,9.0,235.0,9.0,235.0,1.0,4.0,True
453.0,627662.0,3.0,2,9.0,235.0,9.0,235.0,1.0,4.0,True
456.0,,,1,,,,,,,
456.0,,,2,,,,,,,
459.0,624371.0,3.0,1,2.0,235.0,2.0,235.0,1.0,4.0,True
459.0,,,2,,,,,,,
462.0,624452.0,3.0,1,9.0,235.0,9.0,235.0,1.0,4.0,True
462.0,624458.0,3.0,2,9.0,235.0,9.0,235.0,1.0,4.0,True
465.0,,,2,,,,,,,
468.0,,,1,,,,,,,
471.0,,,1,,,,,,,
471.0,,,2,,,,,,,
474.0,,,1,,,,,,,
474.0,,,2,,,,,,,
477.0,627635.0,3.0,1,2.0,235.0,2.0,235.0,1.0,4.0,True
477.0,627629.0,3.0,2,2.0,235.0,2.0,235.0,1.0,4.0,True
480.0,624467.0,3.0,1,6.0,235.0,6.0,235.0,1.0,4.0,True
480.0,624470.0,3.0,2,6.0,235.0,6.0,235.0,1.0,4.0,True
483.0,,,1,,,,,,,
483.0,,,2,,,,,,,
484.0,627668.0,3.0,1,5.0,235.0,5.0,235.0,1.0,4.0,True
484.0,627677.0,3.0,2,5.0,235.0,5.0,235.0,1.0,4.0,True
486.0,624434.0,3.0,1,9.0,235.0,9.0,235.0,1.0,4.0,True
486.0,624440.0,3.0,2,9.0,235.0,9.0,235.0,1.0,4.0,True
487.0,627689.0,3.0,1,2.0,235.0,2.0,235.0,1.0,4.0,True
489.0,627533.0,3.0,2,2.0,235.0,2.0,235.0,1.0,4.0,True
489.0,,,1,,,,,,,
490.0,627716.0,3.0,1,2.0,235.0,2.0,235.0,1.0,4.0,True
490.0,627710.0,3.0,2,2.0,235.0,2.0,235.0,1.0,4.0,True
492.0,628100.0,3.0,1,5.0,235.0,5.0,235.0,1.0,4.0,True
492.0,627374.0,3.0,2,5.0,235.0,5.0,235.0,1.0,4.0,True
493.0,628103.0,3.0,2,8.0,235.0,8.0,235.0,1.0,4.0,True
493.0,,,1,,,,,,,
495.0,,,1,,,,,,,
495.0,,,2,,,,,,,
496.0,,,1,,,,,,,
496.0,,,2,,,,,,,
497.0,628193.0,3.0,1,2.0,235.0,2.0,235.0,1.0,4.0,True
497.0,627137.0,3.0,2,2.0,235.0,2.0,235.0,1.0,4.0,True
498.0,626780.0,3.0,1,8.0,235.0,8.0,235.0,1.0,4.0,True
498.0,626783.0,3.0,2,8.0,235.0,8.0,235.0,1.0,4.0,True
499.0,626786.0,3.0,1,2.0,235.0,2.0,235.0,1.0,4.0,True
499.0,626789.0,3.0,2,2.0,235.0,2.0,235.0,1.0,4.0,True
500.0,626792.0,3.0,1,11.0,235.0,11.0,235.0,1.0,4.0,True
500.0,626795.0,3.0,2,11.0,235.0,11.0,235.0,1.0,4.0,True
501.0,622919.0,3.0,1,8.0,235.0,8.0,235.0,1.0,4.0,True
501.0,622922.0,3.0,2,8.0,235.0,8.0,235.0,1.0,4.0,True
502.0,626798.0,3.0,1,13.0,235.0,13.0,235.0,1.0,4.0,True
502.0,626801.0,3.0,2,13.0,235.0,13.0,235.0,1.0,4.0,True
503.0,626804.0,3.0,1,2.0,235.0,2.0,235.0,1.0,4.0,True
503.0,626807.0,3.0,2,2.0,235.0,2.0,235.0,1.0,4.0,True
504.0,627746.0,3.0,1,8.0,235.0,8.0,235.0,1.0,4.0,True
504.0,627386.0,3.0,2,8.0,235.0,8.0,235.0,1.0,4.0,True
507.0,627368.0,3.0,1,2.0,235.0,2.0,235.0,1.0,4.0,True
507.0,,,2,,,,,,,
509.0,,,1,,,,,,,
509.0,,,2,,,,,,,
511.0,622718.0,3.0,1,8.0,235.0,8.0,235.0,1.0,4.0,True
511.0,622721.0,3.0,2,8.0,235.0,8.0,235.0,1.0,4.0,True
512.0,620957.0,3.0,1,8.0,235.0,8.0,235.0,1.0,4.0,True
512.0,620960.0,3.0,2,8.0,235.0,8.0,235.0,1.0,4.0,True
513.0,622724.0,3.0,1,8.0,235.0,8.0,235.0,1.0,4.0,True
513.0,622727.0,3.0,2,8.0,235.0,8.0,235.0,1.0,4.0,True
514.0,,,1,,,,,,,
514.0,,,2,,,,,,,
515.0,621614.0,3.0,1,5.0,235.0,5.0,235.0,1.0,4.0,True
515.0,621617.0,3.0,2,5.0,235.0,5.0,235.0,1.0,4.0,True
516.0,626819.0,3.0,1,5.0,235.0,5.0,235.0,1.0,4.0,True
516.0,628922.0,3.0,2,5.0,235.0,5.0,235.0,1.0,4.0,True
520.0,626822.0,3.0,1,5.0,235.0,5.0,235.0,1.0,4.0,True
520.0,626825.0,3.0,2,5.0,235.0,5.0,235.0,1.0,4.0,True
521.0,626717.0,3.0,1,5.0,235.0,5.0,235.0,1.0,4.0,True
521.0,626711.0,3.0,2,5.0,235.0,5.0,235.0,1.0,4.0,True
522.0,627836.0,4.0,1,5.0,235.0,5.0,235.0,1.0,4.0,True
522.0,627851.0,4.0,2,5.0,235.0,5.0,235.0,1.0,4.0,True
523.0,627947.0,4.0,1,5.0,235.0,5.0,235.0,1.0,4.0,True
523.0,628022.0,4.0,2,5.0,235.0,5.0,235.0,1.0,4.0,True
524.0,627920.0,4.0,1,5.0,235.0,8.0,235.0,1.0,4.0,True
