sex_id,cause_age_end,cause_age_start,cause_id,yld_only,model_version_id,model_version_type_id,is_best,age_start,age_end,decomp_step_id
2,,,300.0,,,,,,,
1,,,300.0,,,,,,,
2,235.0,4.0,346.0,,618887.0,4.0,1.0,4.0,235.0,7.0
1,235.0,4.0,346.0,,618878.0,4.0,1.0,4.0,235.0,7.0
2,5.0,2.0,381.0,,628832.0,3.0,1.0,2.0,5.0,4.0
1,5.0,2.0,381.0,,628829.0,3.0,1.0,2.0,5.0,4.0
2,5.0,2.0,382.0,,629807.0,3.0,1.0,2.0,5.0,4.0
1,5.0,2.0,382.0,,629810.0,3.0,1.0,2.0,5.0,4.0
2,5.0,2.0,383.0,,629831.0,3.0,1.0,2.0,5.0,4.0
1,5.0,2.0,383.0,,629828.0,3.0,1.0,2.0,5.0,4.0
2,5.0,2.0,384.0,,629624.0,3.0,1.0,2.0,5.0,4.0
1,5.0,2.0,384.0,,629813.0,3.0,1.0,2.0,5.0,4.0
2,235.0,4.0,402.0,,626768.0,3.0,1.0,4.0,235.0,4.0
1,235.0,4.0,402.0,,628751.0,3.0,1.0,4.0,235.0,4.0
2,235.0,4.0,404.0,,628760.0,3.0,1.0,4.0,235.0,4.0
1,235.0,4.0,404.0,,629489.0,3.0,1.0,4.0,235.0,4.0
2,235.0,2.0,477.0,,627629.0,3.0,1.0,2.0,235.0,4.0
1,235.0,2.0,477.0,,627635.0,3.0,1.0,2.0,235.0,4.0
2,235.0,2.0,489.0,,627533.0,3.0,1.0,2.0,235.0,4.0
1,235.0,2.0,489.0,,628181.0,3.0,1.0,2.0,235.0,4.0
2,235.0,7.0,560.0,,628787.0,3.0,1.0,8.0,235.0,4.0
1,235.0,7.0,560.0,,628733.0,3.0,1.0,8.0,235.0,4.0
2,235.0,2.0,614.0,,631424.0,4.0,1.0,2.0,235.0,4.0
1,235.0,2.0,614.0,,631397.0,4.0,1.0,2.0,235.0,4.0
2,,,615.0,,,,,,,
1,235.0,2.0,615.0,,631403.0,4.0,1.0,2.0,235.0,4.0
2,,,616.0,,,,,,,
1,235.0,2.0,616.0,,631400.0,4.0,1.0,2.0,235.0,4.0
2,18.0,2.0,642.0,,629138.0,3.0,1.0,2.0,18.0,4.0
1,18.0,2.0,642.0,,630017.0,3.0,1.0,2.0,18.0,4.0
2,18.0,2.0,643.0,,624380.0,3.0,1.0,2.0,18.0,4.0
1,18.0,2.0,643.0,,624383.0,3.0,1.0,2.0,18.0,4.0
2,5.0,2.0,644.0,,628325.0,3.0,1.0,2.0,5.0,4.0
1,5.0,2.0,644.0,,628340.0,3.0,1.0,2.0,5.0,4.0
2,18.0,2.0,645.0,,630815.0,3.0,1.0,2.0,18.0,4.0
1,18.0,2.0,645.0,,628508.0,3.0,1.0,2.0,18.0,4.0
2,18.0,2.0,648.0,,622238.0,3.0,1.0,2.0,18.0,4.0
1,18.0,2.0,648.0,,622244.0,3.0,1.0,2.0,18.0,4.0
2,18.0,2.0,649.0,,622256.0,3.0,1.0,2.0,18.0,4.0
1,18.0,2.0,649.0,,627437.0,3.0,1.0,2.0,18.0,4.0
2,18.0,2.0,650.0,,627140.0,3.0,1.0,2.0,18.0,4.0
1,18.0,2.0,650.0,,627143.0,3.0,1.0,2.0,18.0,4.0
2,18.0,2.0,651.0,,628337.0,3.0,1.0,2.0,18.0,4.0
1,18.0,2.0,651.0,,628334.0,3.0,1.0,2.0,18.0,4.0
2,18.0,2.0,652.0,,629141.0,3.0,1.0,2.0,18.0,4.0
1,18.0,2.0,652.0,,627461.0,3.0,1.0,2.0,18.0,4.0
2,235.0,2.0,847.0,,630035.0,3.0,1.0,2.0,235.0,4.0
1,235.0,2.0,847.0,,628451.0,3.0,1.0,2.0,235.0,4.0
2,235.0,2.0,935.0,,628256.0,4.0,1.0,2.0,235.0,7.0
1,235.0,2.0,935.0,,628253.0,4.0,1.0,2.0,235.0,7.0
2,235.0,4.0,297.0,,630911.0,3.0,1.0,4.0,235.0,4.0
1,235.0,4.0,297.0,,630914.0,3.0,1.0,4.0,235.0,4.0
2,,,298.0,,,,,,,
1,,,298.0,,,,,,,
2,5.0,2.0,302.0,,630905.0,3.0,1.0,2.0,5.0,4.0
2,235.0,6.0,302.0,,630812.0,3.0,1.0,6.0,235.0,4.0
1,5.0,2.0,302.0,,630902.0,3.0,1.0,2.0,5.0,4.0
1,235.0,6.0,302.0,,628424.0,3.0,1.0,6.0,235.0,4.0
2,235.0,4.0,319.0,,627539.0,4.0,1.0,2.0,235.0,4.0
1,235.0,4.0,319.0,,627452.0,4.0,1.0,2.0,235.0,4.0
2,235.0,4.0,320.0,,627638.0,4.0,1.0,2.0,235.0,4.0
1,235.0,4.0,320.0,,627602.0,4.0,1.0,2.0,235.0,4.0
2,235.0,4.0,321.0,,623609.0,4.0,1.0,2.0,235.0,4.0
1,235.0,4.0,321.0,,623576.0,4.0,1.0,2.0,235.0,4.0
2,5.0,2.0,322.0,,627767.0,3.0,1.0,2.0,5.0,4.0
2,235.0,6.0,322.0,,630926.0,3.0,1.0,6.0,235.0,4.0
1,5.0,2.0,322.0,,627764.0,3.0,1.0,2.0,5.0,4.0
1,235.0,6.0,322.0,,630923.0,3.0,1.0,6.0,235.0,4.0
2,235.0,2.0,328.0,,626093.0,3.0,1.0,2.0,235.0,4.0
1,235.0,2.0,328.0,,627770.0,3.0,1.0,2.0,235.0,4.0
2,235.0,2.0,329.0,,626741.0,3.0,1.0,2.0,235.0,4.0
1,235.0,2.0,329.0,,624617.0,3.0,1.0,2.0,235.0,4.0
2,5.0,2.0,332.0,,630974.0,3.0,1.0,2.0,5.0,4.0
2,235.0,6.0,332.0,,630971.0,3.0,1.0,6.0,235.0,4.0
1,5.0,2.0,332.0,,630977.0,3.0,1.0,2.0,5.0,4.0
1,235.0,6.0,332.0,,629474.0,3.0,1.0,6.0,235.0,4.0
2,235.0,2.0,337.0,,630980.0,3.0,1.0,2.0,235.0,4.0
1,235.0,2.0,337.0,,630983.0,3.0,1.0,2.0,235.0,4.0
2,16.0,4.0,338.0,,629354.0,4.0,1.0,4.0,16.0,4.0
1,16.0,4.0,338.0,,629006.0,4.0,1.0,4.0,16.0,4.0
2,16.0,4.0,339.0,,630191.0,4.0,1.0,4.0,16.0,4.0
1,16.0,4.0,339.0,,630167.0,4.0,1.0,4.0,16.0,4.0
2,4.0,2.0,340.0,,630803.0,3.0,1.0,2.0,4.0,4.0
2,235.0,5.0,340.0,,630800.0,3.0,1.0,5.0,235.0,4.0
1,4.0,2.0,340.0,,630797.0,3.0,1.0,2.0,4.0,4.0
1,235.0,5.0,340.0,,630794.0,3.0,1.0,5.0,235.0,4.0
2,16.0,4.0,341.0,,631418.0,4.0,1.0,4.0,16.0,4.0
1,16.0,4.0,341.0,,631406.0,4.0,1.0,4.0,16.0,4.0
2,235.0,2.0,342.0,,630236.0,4.0,1.0,4.0,235.0,4.0
1,235.0,2.0,342.0,,630164.0,4.0,1.0,4.0,235.0,4.0
2,235.0,2.0,345.0,,628898.0,4.0,1.0,2.0,235.0,4.0
1,235.0,2.0,345.0,,628700.0,4.0,1.0,2.0,235.0,4.0
2,235.0,4.0,347.0,,604685.0,4.0,1.0,2.0,235.0,7.0
1,235.0,4.0,347.0,,604682.0,4.0,1.0,2.0,235.0,7.0
2,235.0,4.0,348.0,,627341.0,4.0,1.0,2.0,235.0,7.0
1,235.0,4.0,348.0,,627332.0,4.0,1.0,2.0,235.0,7.0
2,235.0,5.0,350.0,,623540.0,4.0,1.0,2.0,235.0,7.0
1,235.0,5.0,350.0,,623495.0,4.0,1.0,2.0,235.0,7.0
2,235.0,4.0,351.0,,625256.0,4.0,1.0,2.0,235.0,4.0
1,235.0,4.0,351.0,,625208.0,4.0,1.0,2.0,235.0,4.0
2,235.0,5.0,352.0,,624257.0,4.0,1.0,2.0,235.0,7.0
1,235.0,5.0,352.0,,624173.0,4.0,1.0,2.0,235.0,7.0
2,235.0,5.0,353.0,,627206.0,4.0,1.0,2.0,235.0,7.0
1,235.0,5.0,353.0,,627125.0,4.0,1.0,2.0,235.0,7.0
2,235.0,3.0,357.0,,627644.0,4.0,1.0,3.0,235.0,7.0
1,235.0,3.0,357.0,,627641.0,4.0,1.0,3.0,235.0,7.0
2,235.0,3.0,358.0,,623543.0,4.0,1.0,2.0,235.0,4.0
1,235.0,3.0,358.0,,623522.0,4.0,1.0,2.0,235.0,4.0
2,235.0,4.0,359.0,,626870.0,3.0,1.0,4.0,235.0,7.0
1,235.0,4.0,359.0,,624764.0,3.0,1.0,4.0,235.0,7.0
2,235.0,4.0,360.0,,624824.0,4.0,1.0,2.0,235.0,4.0
1,235.0,4.0,360.0,,624785.0,4.0,1.0,2.0,235.0,4.0
2,235.0,4.0,361.0,,625109.0,4.0,1.0,2.0,235.0,4.0
1,235.0,4.0,361.0,,624866.0,4.0,1.0,2.0,235.0,4.0
2,235.0,2.0,365.0,,628367.0,3.0,1.0,2.0,235.0,7.0
1,235.0,2.0,365.0,,627797.0,3.0,1.0,2.0,235.0,7.0
2,15.0,7.0,366.0,,630755.0,4.0,1.0,7.0,15.0,4.0
2,15.0,7.0,367.0,,630788.0,4.0,1.0,7.0,15.0,4.0
2,15.0,7.0,368.0,,630779.0,4.0,1.0,7.0,15.0,4.0
2,15.0,7.0,369.0,,630785.0,4.0,1.0,7.0,15.0,4.0
2,15.0,7.0,370.0,,630791.0,4.0,1.0,7.0,15.0,4.0
2,15.0,7.0,374.0,,630764.0,4.0,1.0,7.0,15.0,4.0
2,15.0,7.0,375.0,,630773.0,4.0,1.0,7.0,15.0,4.0
2,15.0,7.0,376.0,,630770.0,4.0,1.0,7.0,15.0,4.0
2,15.0,7.0,379.0,,630767.0,4.0,1.0,7.0,15.0,4.0
2,5.0,2.0,380.0,,629621.0,3.0,1.0,2.0,5.0,4.0
1,5.0,2.0,380.0,,630029.0,3.0,1.0,2.0,5.0,4.0
2,5.0,2.0,385.0,,629906.0,3.0,1.0,2.0,5.0,4.0
1,5.0,2.0,385.0,,629915.0,3.0,1.0,2.0,5.0,4.0
2,235.0,4.0,386.0,,630356.0,3.0,1.0,4.0,235.0,4.0
1,235.0,4.0,386.0,,629798.0,3.0,1.0,4.0,235.0,4.0
2,5.0,4.0,387.0,,630509.0,3.0,1.0,4.0,5.0,4.0
2,235.0,6.0,387.0,,631046.0,3.0,1.0,6.0,235.0,4.0
1,5.0,4.0,387.0,,630506.0,3.0,1.0,4.0,5.0,4.0
1,235.0,6.0,387.0,,631043.0,3.0,1.0,6.0,235.0,4.0
2,235.0,4.0,391.0,,628874.0,3.0,1.0,4.0,235.0,4.0
1,235.0,4.0,391.0,,628877.0,3.0,1.0,4.0,235.0,4.0
2,235.0,2.0,393.0,,624254.0,3.0,1.0,7.0,235.0,4.0
2,235.0,2.0,393.0,,627944.0,4.0,1.0,2.0,6.0,4.0
1,235.0,2.0,393.0,,624251.0,3.0,1.0,7.0,235.0,4.0
1,235.0,2.0,393.0,,627899.0,4.0,1.0,2.0,6.0,4.0
2,6.0,2.0,394.0,,627959.0,4.0,1.0,2.0,6.0,4.0
2,235.0,7.0,394.0,,630089.0,4.0,1.0,7.0,235.0,4.0
1,6.0,2.0,394.0,,627917.0,4.0,1.0,2.0,6.0,4.0
1,235.0,7.0,394.0,,630023.0,4.0,1.0,7.0,235.0,4.0
2,235.0,7.0,395.0,,630098.0,4.0,1.0,7.0,235.0,4.0
1,235.0,7.0,395.0,,630056.0,4.0,1.0,7.0,235.0,4.0
2,235.0,7.0,396.0,,630101.0,4.0,1.0,7.0,235.0,4.0
1,235.0,7.0,396.0,,630086.0,4.0,1.0,7.0,235.0,4.0
2,,,398.0,,,,,,,
1,,,398.0,,,,,,,
2,235.0,7.0,399.0,,630095.0,4.0,1.0,7.0,235.0,4.0
1,235.0,7.0,399.0,,630050.0,4.0,1.0,7.0,235.0,4.0
2,235.0,4.0,400.0,,628727.0,3.0,1.0,4.0,235.0,4.0
1,235.0,4.0,400.0,,630476.0,3.0,1.0,4.0,235.0,4.0
2,235.0,4.0,401.0,,627464.0,3.0,1.0,4.0,235.0,4.0
1,235.0,4.0,401.0,,626762.0,3.0,1.0,4.0,235.0,4.0
2,235.0,4.0,403.0,,628757.0,3.0,1.0,4.0,235.0,4.0
1,235.0,4.0,403.0,,628754.0,3.0,1.0,4.0,235.0,4.0
2,235.0,2.0,408.0,,630869.0,3.0,1.0,2.0,235.0,4.0
1,235.0,2.0,408.0,,630872.0,3.0,1.0,2.0,235.0,4.0
2,,,411.0,,,,,,,
1,235.0,9.0,411.0,,630362.0,3.0,1.0,9.0,235.0,4.0
2,,,414.0,,,,,,,
1,,,414.0,,,,,,,
2,,,417.0,,,,,,,
1,,,417.0,,,,,,,
2,,,418.0,,,,,,,
1,,,418.0,,,,,,,
2,,,419.0,,,,,,,
1,,,419.0,,,,,,,
2,,,420.0,,,,,,,
1,,,420.0,,,,,,,
2,,,421.0,,,,,,,
1,,,421.0,,,,,,,
2,235.0,9.0,423.0,,628448.0,3.0,1.0,9.0,235.0,4.0
1,,,423.0,,,,,,,
2,235.0,7.0,426.0,,628460.0,3.0,1.0,7.0,235.0,4.0
1,,,426.0,,,,,,,
2,235.0,8.0,429.0,,630026.0,3.0,1.0,8.0,235.0,4.0
1,235.0,8.0,429.0,,627665.0,3.0,1.0,8.0,235.0,4.0
2,235.0,8.0,432.0,,627152.0,3.0,1.0,8.0,235.0,4.0
2,235.0,9.0,435.0,,624464.0,3.0,1.0,9.0,235.0,4.0
1,235.0,9.0,438.0,,624476.0,3.0,1.0,9.0,235.0,4.0
2,,,441.0,,,,,,,
1,,,441.0,,,,,,,
2,,,444.0,,,,,,,
1,235.0,6.0,444.0,,630395.0,3.0,1.0,6.0,235.0,4.0
2,,,447.0,,,,,,,
1,,,447.0,,,,,,,
2,235.0,9.0,450.0,,627719.0,3.0,1.0,9.0,235.0,4.0
1,235.0,9.0,450.0,,627545.0,3.0,1.0,9.0,235.0,4.0
2,235.0,9.0,453.0,,627662.0,3.0,1.0,9.0,235.0,4.0
1,235.0,9.0,453.0,,624311.0,3.0,1.0,9.0,235.0,4.0
2,,,456.0,,,,,,,
1,,,456.0,,,,,,,
2,235.0,2.0,459.0,,630371.0,3.0,1.0,2.0,235.0,4.0
1,235.0,2.0,459.0,,624371.0,3.0,1.0,2.0,235.0,4.0
2,235.0,6.0,465.0,,630377.0,3.0,1.0,6.0,235.0,4.0
1,,,468.0,,,,,,,
2,235.0,2.0,471.0,,628445.0,3.0,1.0,2.0,235.0,4.0
1,235.0,2.0,471.0,,628442.0,3.0,1.0,2.0,235.0,4.0
2,235.0,8.0,474.0,,630359.0,3.0,1.0,8.0,235.0,4.0
1,,,474.0,,,,,,,
2,235.0,6.0,480.0,,624470.0,3.0,1.0,6.0,235.0,4.0
1,235.0,6.0,480.0,,624467.0,3.0,1.0,6.0,235.0,4.0
2,,,483.0,,,,,,,
1,235.0,9.0,483.0,,630044.0,3.0,1.0,9.0,235.0,4.0
2,235.0,5.0,484.0,,627677.0,3.0,1.0,5.0,235.0,4.0
1,235.0,5.0,484.0,,627668.0,3.0,1.0,5.0,235.0,4.0
2,235.0,5.0,485.0,,630038.0,3.0,1.0,5.0,235.0,4.0
1,235.0,5.0,485.0,,628463.0,3.0,1.0,5.0,235.0,4.0
2,235.0,9.0,486.0,,624440.0,3.0,1.0,9.0,235.0,4.0
1,235.0,9.0,486.0,,624434.0,3.0,1.0,9.0,235.0,4.0
2,235.0,2.0,487.0,,630032.0,3.0,1.0,2.0,235.0,4.0
1,235.0,2.0,487.0,,627689.0,3.0,1.0,2.0,235.0,4.0
