"modelable_entity_id","cause_id","rei_id","n_code","sequela_id","healthstate_id"
16790,698,272,"N3",-3,-3
16791,698,273,"N30",-30,-30
16792,698,274,"N31",-31,-31
16793,698,275,"N32",-32,-32
16794,698,276,"N33",-55,-55
16799,698,277,"N34",-56,-56
16804,698,278,"N35",-41,-41
16805,698,279,"N36",-42,-42
16806,698,280,"N37",-43,-43
16807,698,281,"N38",-44,-44
16808,698,282,"N39",-45,-45
16809,698,283,"N4",-4,-4
16810,698,284,"N40",-46,-46
16811,698,285,"N41",-47,-47
16812,698,286,"N42",-48,-48
16813,698,287,"N43",-49,-49
16814,698,288,"N44",-50,-50
16815,698,289,"N45",-51,-51
16816,698,290,"N46",-52,-52
16817,698,291,"N47",-53,-53
16818,698,292,"N48",-54,-54
16819,698,293,"N5",-5,-5
16820,698,294,"N6",-6,-6
16821,698,295,"N7",-7,-7
16822,698,296,"N8",-8,-8
16823,698,297,"N9",-9,-9
16824,697,250,"N1",-1,-1
16825,697,251,"N10",-10,-10
16826,697,252,"N11",-11,-11
16827,697,253,"N12",-12,-12
16828,697,254,"N13",-13,-13
16829,697,255,"N14",-14,-14
16830,697,256,"N15",-15,-15
16831,697,257,"N16",-16,-16
16832,697,258,"N17",-17,-17
16833,697,259,"N18",-18,-18
16834,697,260,"N19",-19,-19
16835,697,261,"N2",-2,-2
16836,697,262,"N20",-20,-20
16837,697,263,"N21",-21,-21
16838,697,264,"N22",-22,-22
16839,697,265,"N23",-23,-23
16840,697,266,"N24",-24,-24
16841,697,267,"N25",-25,-25
16842,697,268,"N26",-26,-26
16843,697,269,"N27",-27,-27
16844,697,270,"N28",-28,-28
16845,697,272,"N3",-3,-3
16846,697,273,"N30",-30,-30
16847,697,274,"N31",-31,-31
16848,697,275,"N32",-32,-32
16849,697,276,"N33",-55,-55
16854,697,277,"N34",-56,-56
16859,697,278,"N35",-41,-41
16860,697,279,"N36",-42,-42
16861,697,280,"N37",-43,-43
16862,697,281,"N38",-44,-44
16863,697,282,"N39",-45,-45
16864,697,283,"N4",-4,-4
16865,697,284,"N40",-46,-46
16866,697,285,"N41",-47,-47
16867,697,286,"N42",-48,-48
16868,697,287,"N43",-49,-49
16869,697,288,"N44",-50,-50
16870,697,289,"N45",-51,-51
16871,697,290,"N46",-52,-52
16872,697,291,"N47",-53,-53
16873,697,292,"N48",-54,-54
16874,697,293,"N5",-5,-5
16875,697,294,"N6",-6,-6
16876,697,295,"N7",-7,-7
16877,697,296,"N8",-8,-8
16878,697,297,"N9",-9,-9
16879,699,250,"N1",-1,-1
16880,699,251,"N10",-10,-10
16881,699,252,"N11",-11,-11
16882,699,253,"N12",-12,-12
16883,699,254,"N13",-13,-13
16884,699,255,"N14",-14,-14
16885,699,256,"N15",-15,-15
16886,699,257,"N16",-16,-16
16887,699,258,"N17",-17,-17
16888,699,259,"N18",-18,-18
16889,699,260,"N19",-19,-19
16890,699,261,"N2",-2,-2
16891,699,262,"N20",-20,-20
16892,699,263,"N21",-21,-21
16893,699,264,"N22",-22,-22
16894,699,265,"N23",-23,-23
16895,699,266,"N24",-24,-24
16896,699,267,"N25",-25,-25
16897,699,268,"N26",-26,-26
16898,699,269,"N27",-27,-27
16899,699,270,"N28",-28,-28
16900,699,272,"N3",-3,-3
16901,699,273,"N30",-30,-30
16902,699,274,"N31",-31,-31
16903,699,275,"N32",-32,-32
16904,699,276,"N33",-55,-55
16909,699,277,"N34",-56,-56
16914,699,278,"N35",-41,-41
16915,699,279,"N36",-42,-42
16916,699,280,"N37",-43,-43
16917,699,281,"N38",-44,-44
16918,699,282,"N39",-45,-45
16919,699,283,"N4",-4,-4
16920,699,284,"N40",-46,-46
16921,699,285,"N41",-47,-47
16922,699,286,"N42",-48,-48
16923,699,287,"N43",-49,-49
16924,699,288,"N44",-50,-50
16925,699,289,"N45",-51,-51
16926,699,290,"N46",-52,-52
16927,699,291,"N47",-53,-53
16928,699,292,"N48",-54,-54
16929,699,293,"N5",-5,-5
16930,699,294,"N6",-6,-6
16931,699,295,"N7",-7,-7
16932,699,296,"N8",-8,-8
