"iso3","iso3.re","iso3.re.var","group"
"ARM",-0.0517871001194536,0.0251986167346895,"15-19"
"AZE",-0.18096406996726,0.0251986167346895,"15-19"
"BDI",-0.0452983034219045,0.0249132305116712,"15-19"
"BEN",0.00327819850246734,0.0136262955049735,"15-19"
"BFA",0.154841479315205,0.0136262955049735,"15-19"
"BGD",0.0276633618530602,0.010810364918861,"15-19"
"BOL",0.242988885039241,0.0109882832073827,"15-19"
"BRA",0.215236033632491,0.0178297688882438,"15-19"
"BWA",-0.299106787176411,0.0249132305116712,"15-19"
"CAF",0.150132963677401,0.0249277120287882,"15-19"
"CIV",-0.0258582205136676,0.0172527767045593,"15-19"
"CMR",-0.0567122687369228,0.0136262955049735,"15-19"
"COD",-0.0807711489666894,0.0249277120287882,"15-19"
"COG",-0.0502069112585062,0.0249277120287882,"15-19"
"COL",-0.0200950322574411,0.0178297688882438,"15-19"
"COM",-0.0516117411280017,0.0249132305116712,"15-19"
"DOM",0.0985222335691209,0.0109882832073827,"15-19"
"ECU",0.00528150289079057,0.0252695937190994,"15-19"
"EGY",-0.07208034352951,0.0125127672879765,"15-19"
"ERI",0.075425015748962,0.0172283363135668,"15-19"
"ETH",-0.0551688726375273,0.0135961419903032,"15-19"
"GAB",-0.363383631659152,0.0249277120287882,"15-19"
"GHA",0.0795382775390557,0.0101312870173821,"15-19"
"GIN",0.105199289052736,0.0172527767045593,"15-19"
"GTM",-0.104071058260755,0.0143381639149648,"15-19"
"GUY",0.000271296744270557,0.0252695937190994,"15-19"
"HND",-0.286359320048917,0.0252695937190994,"15-19"
"HTI",0.349719481562705,0.0143381639149648,"15-19"
"IDN",0.1068648901552,0.00986928843866646,"15-19"
"IND",0.0420974859902138,0.0141903751492316,"15-19"
"JOR",-0.340854310251633,0.013879961724792,"15-19"
"KAZ",0.452994204047881,0.0177099813524188,"15-19"
"KEN",-0.337306032536301,0.0100949861409492,"15-19"
"KGZ",0.191273189772503,0.0251986167346895,"15-19"
"KHM",0.17498541653085,0.0141903751492316,"15-19"
"LBR",-0.0792872186437862,0.0172527767045593,"15-19"
"LKA",-0.345386964280623,0.0251986167346895,"15-19"
"LSO",0.393740330580807,0.0172283363135668,"15-19"
"MAR",0.0101887172904913,0.0167401519429313,"15-19"
"MDG",-0.137670196364871,0.011480137648573,"15-19"
"MEX",-0.0434504804051663,0.0252695937190994,"15-19"
"MLI",0.172970798061289,0.0115139299206148,"15-19"
"MOZ",0.0278137809481357,0.0172283363135668,"15-19"
"MRT",-0.0246784326102323,0.0249277120287882,"15-19"
"MWI",0.0922526926605841,0.011480137648573,"15-19"
"NAM",-0.13378683957068,0.0172283363135668,"15-19"
"NER",0.287075021683217,0.0136262955049735,"15-19"
"NGA",0.157993699893868,0.0136262955049735,"15-19"
"NIC",-0.241131213941533,0.0178297688882438,"15-19"
"NPL",-0.0426700902886294,0.0121460795390084,"15-19"
"PAK",-0.0131248942581667,0.0177099813524188,"15-19"
"PER",0.0937185946020245,0.0109882832073827,"15-19"
"PHL",-0.248217299631488,0.0141903751492316,"15-19"
"PRY",-0.398897176821163,0.0252695937190994,"15-19"
"RWA",0.55077959142107,0.0172283363135668,"15-19"
"SDN",0.0214177596059696,0.0249132305116712,"15-19"
"SEN",-0.101127762057058,0.0101312870173821,"15-19"
"SLE",0.073669287345419,0.0249277120287882,"15-19"
"SWZ",0.265147196284608,0.0249132305116712,"15-19"
"TCD",-0.00363185278989875,0.0172527767045593,"15-19"
"TGO",0.0010482051584772,0.0172527767045593,"15-19"
"THA",0.0343465524100134,0.0251986167346895,"15-19"
"TTO",-0.165961816414423,0.0252695937190994,"15-19"
"TUN",0.105815499950847,0.0264231717056806,"15-19"
"TUR",-0.00731666863832216,0.0167401519429313,"15-19"
"TZA",0.0747219183388774,0.0100949861409492,"15-19"
"UGA",-0.0734775060235454,0.011480137648573,"15-19"
"UZB",-0.114678558408526,0.0251986167346895,"15-19"
"VNM",-0.105971562579211,0.0251986167346895,"15-19"
"YEM",0.0194666110026634,0.0264231717056806,"15-19"
"ZAF",-0.0970304255282931,0.0249132305116712,"15-19"
"ZMB",0.0918272704474035,0.011480137648573,"15-19"
"ZWE",-0.151174621583465,0.0100949861409492,"15-19"
"ARM",-0.243649030562601,0.0104851677542065,"20-24"
"AZE",0.240196131973441,0.0196349877288771,"20-24"
"BDI",0.207153510765216,0.0194221519627095,"20-24"
"BEN",0.0274112313751021,0.0100771503317442,"20-24"
"BFA",0.100305550472329,0.0100771503317442,"20-24"
"BGD",0.0203408607132987,0.00793301714550272,"20-24"
"BOL",0.0885753006128345,0.00825494995364838,"20-24"
"BRA",0.136336348780203,0.0135040732598629,"20-24"
"BWA",-0.201075725254987,0.0194221519627095,"20-24"
"CAF",-0.106689248993817,0.0194043017748614,"20-24"
"CIV",-0.0985470454623225,0.0129161875592473,"20-24"
"CMR",-0.228346439658987,0.0100771503317442,"20-24"
"COD",-0.0636685728206445,0.0194043017748614,"20-24"
"COG",0.0474614485059434,0.0194043017748614,"20-24"
"COL",0.0254474971730564,0.00757534714390417,"20-24"
"COM",-0.0940319485005279,0.0194221519627095,"20-24"
"DOM",0.180972663813927,0.00825494995364838,"20-24"
"ECU",0.0999270238443084,0.0197937745508126,"20-24"
"EGY",-0.0377981538901405,0.00974807566417557,"20-24"
"ERI",0.153532114759992,0.0129431313428368,"20-24"
"ETH",0.0216199349570348,0.0101087222047147,"20-24"
"GAB",-0.19735850289995,0.0194043017748614,"20-24"
"GHA",-0.0390217432508091,0.00746531223100898,"20-24"
"GIN",0.118232041667872,0.0129161875592473,"20-24"
"GTM",-0.201833888869987,0.0107660161920037,"20-24"
"GUY",-0.0922647694404366,0.0197937745508126,"20-24"
"HND",-0.212466895124639,0.0197937745508126,"20-24"
"HTI",0.249380962879025,0.0107660161920037,"20-24"
"IDN",0.162738538149018,0.00724173388991132,"20-24"
"IND",0.0468481300029212,0.0104851677542065,"20-24"
"JOR",-0.523196858141213,0.0107676487322215,"20-24"
"KAZ",0.259277569842093,0.0132643941145515,"20-24"
"KEN",-0.246970092519146,0.00750150264674894,"20-24"
"KGZ",0.00183534952978895,0.0196349877288771,"20-24"
"KHM",0.267746747205047,0.0104851677542065,"20-24"
"LBR",-0.0991601045176523,0.0129161875592473,"20-24"
"LKA",-0.0482990203664917,0.0196349877288771,"20-24"
"LSO",0.283107073060817,0.0129431313428368,"20-24"
"MAR",0.0959317100011859,0.012958049774048,"20-24"
"MDG",-0.130373208402738,0.00851888911989157,"20-24"
"MDV",-0.274453680375933,0.0196349877288771,"20-24"
"MEX",-0.071971768368037,0.0197937745508126,"20-24"
"MLI",0.0806235045528365,0.00848454268504391,"20-24"
"MOZ",0.0696447366854176,0.0129431313428368,"20-24"
"MRT",-0.127174691235891,0.0194043017748614,"20-24"
"MWI",0.101318457829678,0.00851888911989157,"20-24"
"NAM",-0.157864565057418,0.0101087222047147,"20-24"
"NER",0.0811547665062815,0.0100771503317442,"20-24"
"NGA",0.059235907424718,0.0100771503317442,"20-24"
"NIC",-0.198401316110154,0.0135040732598629,"20-24"
"NPL",-0.0381226220554749,0.00892841701047347,"20-24"
"PAK",0.00388030414483048,0.0132643941145515,"20-24"
"PER",0.00825820138351471,0.00825494995364838,"20-24"
"PHL",-0.186281669232191,0.0104851677542065,"20-24"
"PRY",-0.106533778431855,0.0197937745508126,"20-24"
"RWA",0.321305906256925,0.00750150264674894,"20-24"
"SDN",0.0213114005094581,0.0194221519627095,"20-24"
"SEN",-0.115261465562069,0.00746531223100898,"20-24"
"SLE",0.0497014504104204,0.0194043017748614,"20-24"
"STP",0.964781885070539,0.0194043017748614,"20-24"
"SWZ",0.0743104550675826,0.0194221519627095,"20-24"
"TCD",-0.0331047777351445,0.0129161875592473,"20-24"
"TGO",0.0673055307575815,0.0129161875592473,"20-24"
"THA",-0.0298209208011714,0.0196349877288771,"20-24"
"TTO",-0.132932251657228,0.0197937745508126,"20-24"
"TUN",0.108450414660525,0.0210331122120745,"20-24"
"TUR",0.0711947378351623,0.012958049774048,"20-24"
"TZA",0.0495542619697547,0.00750150264674894,"20-24"
"UGA",-0.145304741664855,0.00851888911989157,"20-24"
"UZB",-0.0454194480515599,0.0196349877288771,"20-24"
"VNM",-0.203841256193484,0.0132643941145515,"20-24"
"YEM",-0.0862674703165441,0.0210331122120745,"20-24"
"ZAF",-0.0386583214386121,0.0194221519627095,"20-24"
"ZMB",0.030042473944219,0.00851888911989157,"20-24"
"ZWE",-0.140286142129204,0.00750150264674894,"20-24"
"ARM",0.00289798369581442,0.00264812709373362,"25-29"
