"fixef.fit.","group","param"
-0.254440746879314,"15-19","(Intercept)"
0.307696771910596,"15-19","cdceb"
1.8170718317847,"15-19","ceb"
-2.63957609401514,"15-19","pr1"
-2.50218983444028,"15-19","pr2"
-1.46506214242037,"20-24","(Intercept)"
0.43530834782478,"20-24","cdceb"
0.761522536271315,"20-24","ceb"
0.117167782186717,"20-24","pr1"
-1.79958981127164,"20-24","pr2"
-0.456721813634423,"25-29","(Intercept)"
0.845965472250724,"25-29","cdceb"
0.0952392107113606,"25-29","ceb"
0.0918951405835843,"25-29","pr1"
-0.209834799983197,"25-29","pr2"
-0.850037692054002,"30-34","(Intercept)"
0.790614904038779,"30-34","cdceb"
0.0470307676743746,"30-34","ceb"
-0.196498910953184,"30-34","pr1"
0.58999259241617,"30-34","pr2"
-0.229366033383046,"35-39","(Intercept)"
0.949760657484264,"35-39","cdceb"
0.0214256636943473,"35-39","ceb"
0.189312711379611,"35-39","pr1"
-0.122133666179972,"35-39","pr2"
0.169925377164063,"40-44","(Intercept)"
1.01730868177031,"40-44","cdceb"
-0.00870819382705471,"40-44","ceb"
0.426228711722786,"40-44","pr1"
-0.636827524115372,"40-44","pr2"
0.076020609219481,"45-49","(Intercept)"
0.993176769458289,"45-49","cdceb"
-0.00193052381820858,"45-49","ceb"
0.122976124222938,"45-49","pr1"
-0.543607282705436,"45-49","pr2"
