"model.error","group","type"
0.210499899370163,"15-19","data"
0.227846780536559,"15-19","iso3"
0.178952001998643,"15-19","gbdregion"
0.170681186676454,"20-24","data"
0.22170805485769,"20-24","iso3"
0.145368233486562,"20-24","gbdregion"
0.128396199392688,"25-29","data"
0.0684173573282705,"25-29","iso3"
0.0458681631011186,"25-29","gbdregion"
0.126073637202636,"30-34","data"
0.110882337314371,"30-34","iso3"
0.083039652852125,"30-34","gbdregion"
0.134212650575599,"35-39","data"
0.031533624456898,"35-39","iso3"
0,"35-39","gbdregion"
0.132906541165798,"40-44","data"
0.0575311272204642,"40-44","iso3"
0,"40-44","gbdregion"
0.167069108767111,"45-49","data"
0.0526377642404935,"45-49","iso3"
6.30717166079214e-09,"45-49","gbdregion"
