mid_point,pred5,pred_lo,pred_hi,pinf,pinf_lower,pinf_upper
17.2,1.64856427119762,0.0329608712157682,3.20321342016518,0.854827221835158,0.508239471857529,0.960955024974702
17.3,1.64856427219745,0.0329608722157583,3.20320724937694,0.854827221956893,0.508239472107459,0.960954793443199
17.4,1.64856427319728,0.0329608732157483,3.20320117169991,0.854827222078629,0.508239472357389,0.960954565403995
17.5,1.64856427419711,0.0329608742157383,3.20319518713409,0.854827222200365,0.508239472607318,0.960954340857148
17.6,1.64856427519694,0.0329608752157286,3.2031892956795,0.8548272223221,0.508239472857248,0.960954119802717
17.7,1.64856427619678,0.0329608762157188,3.20318349733612,0.854827222443836,0.508239473107178,0.960953902240757
17.8,1.64856427719661,0.0329608772157091,3.20317779210397,0.854827222565571,0.508239473357107,0.960953688171326
17.9,1.64856427819644,0.0329608782156995,3.20317217998303,0.854827222687307,0.508239473607037,0.960953477594478
18,1.64856427919628,0.03296087921569,3.2031666609733,0.854827222809043,0.508239473856967,0.960953270510267
18.1,1.64856428019611,0.0329608802156807,3.2031612350748,0.854827222930779,0.508239474106896,0.960953066918747
18.2,1.64856428119595,0.0329608812156711,3.20315590228752,0.854827223052515,0.508239474356826,0.96095286681997
18.3,1.64856428219578,0.0329608822156618,3.20315066261145,0.854827223174251,0.508239474606756,0.960952670213988
18.4,1.64856428319562,0.0329608832156527,3.2031455160466,0.854827223295987,0.508239474856686,0.960952477100851
18.5,1.64856428419546,0.0329608842156436,3.20314046259297,0.854827223417723,0.508239475106616,0.96095228748061
18.6,1.64856428519529,0.0329608852156345,3.20313550225056,0.854827223539459,0.508239475356545,0.960952101353312
18.7,1.64856428619513,0.0329608862156253,3.20313063501936,0.854827223661195,0.508239475606475,0.960951918719006
18.8,1.64856428719497,0.0329608872156164,3.20300664807488,0.854827223782931,0.508239475856405,0.960947266050239
18.9,1.64856428819481,0.0329608882156075,3.20282405073677,0.854827223904667,0.508239476106335,0.960940413030317
19,1.64856428919465,0.0329608892155987,3.20264508473625,0.854827224026404,0.508239476356265,0.960933695177817
19.1,1.64856429019448,0.03296089021559,3.2024697500733,0.85482722414814,0.508239476606195,0.960927112560038
19.2,1.64856429119432,0.0329608912155813,3.20229804674793,0.854827224269876,0.508239476856125,0.960920665242932
19.3,1.64856429219416,0.0329608922155726,3.20212997476013,0.854827224391613,0.508239477106055,0.960914353291098
19.4,1.648564293194,0.0329608932155641,3.20196553410991,0.85482722451335,0.508239477355985,0.960908176767787
