mid_point,pred5,pred_lo,pred_hi,pinf,pinf_lower,pinf_upper
15.6,2.65337417077473,1.62916862094685,3.93157353524856,0.940796786261393,0.836055716348816,0.980764475395836
15.7,2.64836361744298,1.62693030218029,3.92689140066765,0.940519055165607,0.835748686886032,0.980675945376322
15.8,2.64335306411122,1.62262748532857,3.92143709843912,0.940240113794318,0.835157173459872,0.980572311437128
15.9,2.63834251077947,1.61832466847685,3.91593257733637,0.939959957743619,0.83456395150584,0.980467171050299
16,2.63333195744772,1.61402185162513,3.91042805623362,0.939678582601788,0.833969019126191,0.980361473051812
16.1,2.62832140411596,1.60971903477341,3.90492353513087,0.939395983949369,0.833372374443982,0.980255214608021
16.2,2.62331085078421,1.60541621792169,3.89941901402812,0.939112157359235,0.832774015603241,0.980148392872226
16.3,2.61830029745246,1.60111340106998,3.89824227289361,0.938827098396665,0.832173940769143,0.98012548346569
16.4,2.61328974412071,1.59681058421826,3.89705769028815,0.93854080261942,0.831572148128189,0.980102395236294
16.5,2.60827919078895,1.59377979074997,3.89196900758171,0.938253265577811,0.831147228778483,0.98000291449759
16.6,2.6032686374572,1.59124671204334,3.88673082028038,0.937964482814783,0.830791434422685,0.979900002160722
16.7,2.59825808412545,1.58871363333671,3.88149046820742,0.937674449865984,0.830435043312233,0.979796528265553
16.8,2.5932475307937,1.58623873794475,3.87625011613445,0.937383162259851,0.830086261601124,0.979692532730623
16.9,2.58823697746194,1.58174594832607,3.87099564783618,0.937090615517683,0.829451644731317,0.979587730779523
17,2.58322642413019,1.57804086261507,3.86656345142073,0.936796805153725,0.828926877372267,0.979498917677127
17.1,2.57821587079844,1.57321890286186,3.86052905991556,0.936501726675247,0.828242004267147,0.979377391074393
17.2,2.57320531746669,1.56911617395845,3.8552887078426,0.936205375582628,0.827657575372246,0.979271283712615
17.3,2.56819476413493,1.56394105027569,3.84970107592058,0.935907747369439,0.826918140888283,0.979157555901458
17.4,2.56318421080318,1.55876592659294,3.84365549255497,0.935608837522528,0.826176200157383,0.979033819353181
17.5,2.55817365747143,1.55377876312963,3.83760990918937,0.935308641522105,0.825458832717957,0.978909364033793
17.6,2.55316310413967,1.54890646060841,3.83154251837836,0.935007154841829,0.824755734653377,0.978783733104737
17.7,2.54815255080792,1.54403415808718,3.82551874245817,0.934704372948897,0.824050408031297,0.978658281114262
17.8,2.54314199747617,1.53916185556595,3.81947315909257,0.934400291304132,0.823342850651176,0.978531645480659
17.9,2.53813144414442,1.53428955304473,3.81342757572697,0.934094905362074,0.822633060351657,0.978404275008882
18,2.53312089081266,1.5294172505235,3.81302483791658,0.933788210571073,0.821921035010895,0.978395763781111
18.1,2.52811033748091,1.52455486725007,3.80842189690003,0.933480202373378,0.821208228947797,0.978298254600957
18.2,2.52309978414916,1.51970340732266,3.80332126454587,0.933170876205234,0.820494801661307,0.97818969960141
18.3,2.51808923081741,1.51485194739525,3.7980935722002,0.932860227496974,0.819779152354156,0.978077889566477
18.4,2.51307867748565,1.51000048746783,3.7936178197615,0.932548251673121,0.819061279090554,0.977981716953945
18.5,2.5080681241539,1.50547786138148,3.79347881112109,0.932234944152476,0.818390058932844,0.977978723415513
18.6,2.50305757082215,1.50111559885744,3.79036880963047,0.931920300348226,0.817740804860042,0.977911645708206
18.7,2.4980470174904,1.49675333633339,3.78478064540497,0.931604315668038,0.817089748470328,0.97779061588335
18.8,2.49303646415864,1.49467625062966,3.77919248117946,0.931286985514162,0.816779115035171,0.977668938037391
