mid_point,pred5,pred_lo,pred_hi,pinf,pinf_lower,pinf_upper
0,2.84852313268451,1.52568025522245,4.39938682891184,0.950718062267953,0.821373404619036,0.987864216208707
0.1,2.83623340221558,1.51819515069262,4.38143365650927,0.950142422582838,0.820272553586212,0.98764708855763
0.2,2.82394367174665,1.51071004616278,4.36343515219564,0.949560457771673,0.819166411812628,0.987425562765503
0.3,2.81165394127772,1.50322494163295,4.34620016408291,0.948972107685331,0.818054972275434,0.987209760056914
0.4,2.79936421080879,1.49573983710312,4.32939058840969,0.948377311822547,0.81693822818258,0.986995763888563
0.5,2.78707448033986,1.48825473257328,4.31258101273646,0.947776009333356,0.815816172975644,0.986778235258474
0.6,2.77478474987093,1.48076962804345,4.29577143706324,0.947168139022707,0.81468880033265,0.986557117472995
0.7,2.76249501940199,1.47328452351362,4.27885707815421,0.946553639354249,0.813556104170885,0.986330940344819
0.8,2.75020528893306,1.46579941898378,4.25953761904473,0.94593244845431,0.812418078649723,0.986068008981927
0.9,2.73791555846413,1.45831431445395,4.2379802659541,0.945304504116042,0.811274718173436,0.985768732087517
1,2.7256258279952,1.45082920992412,4.21898020714247,0.944669743803769,0.810126017394003,0.985499710343577
1.1,2.71333609752627,1.44334410539428,4.20092333901083,0.94402810465752,0.808971971213928,0.985239402187762
1.2,2.70104636705734,1.43585900086445,4.18286647087918,0.943379523497752,0.807812574789035,0.984974492246489
1.3,2.68875663658841,1.42837389633462,4.16480960274753,0.942723936830282,0.806647823531272,0.984704901747654
1.4,2.67646690611948,1.42088879180478,4.14729705841037,0.942061280851409,0.805477713111506,0.984438891337995
1.5,2.66417717565055,1.41252019363881,4.13155852139792,0.941391491453252,0.804163140046351,0.984195946022644
1.6,2.65188744518162,1.40245321530743,4.11322562493522,0.940714504229292,0.802572888209031,0.983908245129783
1.7,2.63959771471269,1.39238623697606,4.09489272847253,0.940030254480123,0.800972919057524,0.983615394049311
1.8,2.62730798424376,1.38231925864468,4.07953700426387,0.939338677219428,0.799363225068781,0.983366072254295
1.9,2.61501825377483,1.37225931961923,4.06571607124677,0.938639707180172,0.797744935399531,0.983138483130936
2,2.60272852330589,1.3622562368023,4.05003426731832,0.937933278821013,0.796126150621496,0.982876543421137
2.1,2.59043879283696,1.35225315398537,4.02982739849901,0.93721932633295,0.794497747185837,0.982533117626951
2.2,2.57814906236803,1.34490801908416,4.00962052967971,0.936497783646194,0.793295904767702,0.982182928986845
2.3,2.5658593318991,1.33882595212988,3.99853178150005,0.935768584437282,0.792296803396764,0.981987838964934
2.4,2.55356960143017,1.3327438851756,3.98815950648034,0.93503166213642,0.791294143367976,0.981803456906471
