parent_id,prev_me,proportion_me,description
24686,23379,23394,esrd on dialysis with mild anemia
0,23384,23399,esrd on dialysis with moderate anemia
0,23389,23404,esrd on dialysis with severe anemia
0,0,23409,esrd on dialysis without anemia
