parent_id,prev_me,proportion_me,description
11654,19798,24830,Cirrhosis with mild anemia
0,19799,24831,Cirrhosis with moderate anemia
0,19800,24832,Cirrhosis with severe anemia
0,0,24829,Cirrhosis with no anemia
