study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,study_id2,e_mean,se,mean_logit,sd_logit,in_var
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Moderna,Omicron,infection,infection,,12,85,0.367,-0.699,0.764,0,0,,0,4,infection,2,2,523&Denmark Omicron&Omicron&infection&12&85,0.267,0.373214285714286,-1.0098970434864,1.9069663213324,0.163689518214227
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Moderna,Omicron,infection,infection,,12,85,0.3,-0.413,0.654,0,0,,5,8,infection,6.5,6.5,523&Denmark Omicron&Omicron&infection&12&85,0.2,0.27219387755102,-1.38629436111989,1.70121173469388,0.191672948567987
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Moderna,Omicron,infection,infection,,12,85,0.042,-0.308,0.298,0,0,,9,12,infection,10.5,10.5,523&Denmark Omicron&Omicron&infection&12&85,0.01,0.154591836734694,-4.59511985013459,15.6153370439085,0.254335346829466
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.44,0.351,0.516,0,0,,2,12,infection,7,7,530&US Omicron&Omicron&infection&18&75,0.34,0.0420918367346939,-0.663294217410264,0.187575030012005,0.487417436675954
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.235,0.164,0.3,0,0,,13,25,infection,19,19,530&US Omicron&Omicron&infection&18&75,0.135,0.0346938775510204,-1.85745472849345,0.297100214523831,0.536875492193159
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.138,0.102,0.173,0,0,,26,38,infection,32,32,530&US Omicron&Omicron&infection&18&75,0.038,0.0181122448979592,-3.23142829093932,0.495465721029631,0.743042849407985
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.059,0.004,0.11,0,0,,39,50,infection,44.5,44.5,530&US Omicron&Omicron&infection&18&75,0.01,0.0270408163265306,-4.59511985013459,2.73139558853845,0.608121139868297
