sequela_id,rei_id,healthstate_id,fake_id
17,194,540,30000
128,217,381,30001
129,218,382,30002
130,219,383,30003
144,205,547,30004
145,206,548,30005
146,207,549,30006
154,229,466,30007
155,230,467,30008
156,231,468,30009
172,205,547,30010
173,206,548,30011
174,207,549,30012
175,193,772,30013
177,205,547,30014
178,206,548,30015
179,207,549,30016
182,205,547,30017
183,206,548,30018
184,207,549,30019
189,368,571,30020
190,368,572,30021
194,222,451,30022
201,224,453,30023
202,225,454,30024
203,229,466,30025
204,230,467,30026
205,231,468,30027
206,205,547,30028
207,206,548,30029
208,207,549,30030
215,226,545,30031
216,227,546,30032
217,220,400,30033
218,221,401,30034
220,226,545,30035
221,227,546,30036
222,220,400,30037
223,221,401,30038
224,226,545,30039
225,227,546,30040
226,220,400,30041
227,221,401,30042
240,205,547,30043
241,206,548,30044
242,207,549,30045
243,194,540,30046
383,217,381,30047
384,218,382,30048
385,219,383,30049
406,217,381,30050
407,218,382,30051
408,219,383,30052
415,217,381,30053
416,218,382,30054
417,219,383,30055
418,217,381,30056
419,218,382,30057
420,219,383,30058
458,193,559,30059
459,193,746,30060
460,193,745,30061
465,194,540,30062
471,236,450,30063
472,222,451,30064
473,223,452,30065
487,236,450,30066
488,222,451,30067
489,223,452,30068
490,224,453,30069
491,225,454,30070
514,220,400,30071
515,221,401,30072
517,220,400,30073
518,220,400,30074
519,221,401,30075
522,220,400,30076
523,221,401,30077
525,205,547,30078
526,206,548,30079
527,207,549,30080
528,217,381,30081
529,218,382,30082
530,219,383,30083
531,205,547,30084
532,206,548,30085
533,207,549,30086
534,217,381,30087
535,218,382,30088
536,219,383,30089
537,205,547,30090
538,206,548,30091
539,207,549,30092
571,220,400,30096
572,236,450,30097
573,222,451,30098
574,220,400,30099
574,222,451,30100
576,211,455,30101
577,211,460,30102
578,212,456,30103
579,212,461,30104
580,214,462,30105
581,214,457,30106
582,216,459,30107
583,216,464,30108
584,213,575,30109
585,213,576,30110
586,215,458,30111
587,215,463,30112
609,229,466,30113
610,230,467,30114
611,231,468,30115
612,229,466,30116
613,230,467,30117
614,231,468,30118
615,229,466,30119
616,230,467,30120
617,231,468,30121
618,229,466,30122
619,230,467,30123
620,231,468,30124
621,211,455,30125
622,211,460,30126
623,212,456,30127
624,212,461,30128
625,213,575,30129
626,213,576,30130
627,214,462,30131
628,214,457,30132
629,215,458,30133
630,215,463,30134
631,216,459,30135
632,216,464,30136
634,229,466,30137
635,230,467,30138
636,231,468,30139
645,205,547,30140
646,206,548,30141
647,207,549,30142
648,205,547,30143
649,206,548,30144
650,207,549,30145
651,205,547,30146
652,206,548,30147
653,207,549,30148
654,205,547,30149
655,206,548,30150
656,207,549,30151
668,194,540,30152
671,194,540,30153
675,221,401,30154
688,220,400,30155
689,193,772,30156
691,220,400,30157
691,236,450,30158
701,223,452,30159
701,231,468,30160
702,223,452,30161
702,231,468,30162
703,223,452,30163
703,231,468,30164
704,223,452,30165
704,231,468,30166
705,223,452,30167
705,231,468,30168
706,223,452,30169
706,231,468,30170
707,193,772,30171
707,223,452,30172
707,231,468,30173
708,193,772,30174
708,223,452,30175
708,231,468,30176
709,193,772,30177
709,223,452,30178
709,231,468,30179
710,193,772,30180
710,223,452,30181
710,231,468,30182
711,193,772,30183
711,223,452,30184
711,231,468,30185
712,193,772,30186
712,223,452,30187
712,231,468,30188
713,193,772,30189
713,223,452,30190
714,193,772,30191
714,223,452,30192
715,193,772,30193
715,223,452,30194
716,193,772,30195
716,223,452,30196
717,193,772,30197
717,223,452,30198
718,193,772,30199
718,223,452,30200
719,224,453,30201
719,231,468,30202
720,224,453,30203
720,231,468,30204
721,224,453,30205
721,231,468,30206
722,224,453,30207
722,231,468,30208
723,224,453,30209
723,231,468,30210
724,224,453,30211
724,231,468,30212
725,193,772,30213
725,224,453,30214
725,231,468,30215
726,193,772,30216
726,224,453,30217
726,231,468,30218
727,193,772,30219
727,224,453,30220
727,231,468,30221
728,193,772,30222
728,224,453,30223
728,231,468,30224
729,193,772,30225
729,224,453,30226
729,231,468,30227
730,193,772,30228
730,224,453,30229
730,231,468,30230
731,193,772,30231
731,224,453,30232
732,193,772,30233
732,224,453,30234
733,193,772,30235
733,224,453,30236
734,193,772,30237
734,224,453,30238
735,193,772,30239
735,224,453,30240
736,193,772,30241
736,224,453,30242
743,231,468,30243
744,231,468,30244
745,231,468,30245
746,231,468,30246
747,231,468,30247
748,231,468,30248
749,193,772,30249
749,231,468,30250
750,193,772,30251
750,231,468,30252
751,193,772,30253
751,231,468,30254
752,193,772,30255
752,231,468,30256
753,193,772,30257
753,231,468,30258
754,193,772,30259
754,231,468,30260
755,193,772,30261
756,193,772,30262
757,193,772,30263
758,193,772,30264
759,193,772,30265
760,193,772,30266
767,231,468,30267
768,231,468,30268
769,231,468,30269
770,231,468,30270
771,231,468,30271
772,231,468,30272
773,193,772,30273
773,231,468,30274
774,193,772,30275
774,231,468,30276
775,193,772,30277
775,231,468,30278
776,193,772,30279
776,231,468,30280
777,193,772,30281
777,231,468,30282
778,193,772,30283
778,231,468,30284
779,193,772,30285
780,193,772,30286
781,193,772,30287
782,193,772,30288
783,193,772,30289
784,193,772,30290
786,222,451,30291
787,193,772,30292
795,222,451,30293
796,236,450,30294
798,222,451,30295
801,223,452,30296
802,224,453,30297
803,193,772,30298
857,220,400,30299
867,231,468,30300
871,222,451,30301
872,222,451,30302
873,222,451,30303
874,231,468,30304
875,231,468,30305
876,229,466,30306
877,230,467,30307
878,220,400,30308
879,220,400,30309
880,220,400,30310
881,221,401,30311
882,221,401,30312
883,221,401,30313
885,231,468,30314
886,193,772,30315
887,193,772,30316
887,231,468,30317
888,223,452,30318
888,231,468,30319
889,193,772,30320
889,223,452,30321
890,193,772,30322
890,223,452,30323
890,231,468,30324
892,231,468,30325
893,193,772,30326
894,193,772,30327
894,231,468,30328
895,224,453,30329
895,231,468,30330
896,193,772,30331
896,224,453,30332
897,193,772,30333
897,224,453,30334
897,231,468,30335
915,229,466,30336
916,230,467,30337
932,220,400,30338
939,221,401,30339
940,221,401,30340
972,211,455,30341
973,211,460,30342
980,217,381,30343
981,218,382,30344
982,219,383,30345
984,217,381,30346
985,218,382,30347
986,219,383,30348
988,217,381,30349
989,218,382,30350
990,219,383,30351
992,217,381,30352
993,218,382,30353
994,219,383,30354
996,217,381,30355
997,218,382,30356
998,219,383,30357
1000,217,381,30358
1001,218,382,30359
1002,219,383,30360
1016,205,547,30361
1017,206,548,30362
1018,207,549,30363
1024,205,547,30364
1025,206,548,30365
1026,207,549,30366
1032,205,547,30367
1033,206,548,30368
1034,207,549,30369
1054,211,455,30370
1055,211,460,30371
1057,205,547,30372
1058,206,548,30373
1059,207,549,30374
1060,207,549,30375
1061,205,547,30376
1062,206,548,30377
1063,207,549,30378
1064,207,549,30379
1065,205,547,30380
1066,206,548,30381
1067,207,549,30382
1068,207,549,30383
1069,205,547,30384
1070,206,548,30385
1071,207,549,30386
1074,207,549,30387
1075,207,549,30388
1077,207,549,30389
1079,205,860,30390
1080,206,861,30391
1081,207,862,30392
1083,207,549,30393
1085,207,549,30394
1087,207,549,30395
1089,205,860,30396
1090,206,861,30397
1091,207,862,30398
1093,207,549,30399
1095,207,549,30400
1097,207,549,30401
1099,205,860,30402
1100,206,861,30403
1101,207,862,30404
1102,212,456,30405
1103,212,461,30406
1104,212,456,30407
1105,212,461,30408
1106,205,865,30409
1107,206,866,30410
1108,207,867,30411
1117,217,381,30412
1118,218,382,30413
1119,219,383,30414
1120,205,547,30415
1121,206,548,30416
1122,207,549,30417
1151,229,466,30421
1152,230,467,30422
1212,236,450,30423
1213,222,451,30424
1214,223,452,30425
1215,224,453,30426
1216,225,454,30427
1217,236,450,30428
1218,222,451,30429
1219,223,452,30430
1220,224,453,30431
1221,225,454,30432
1223,236,450,30433
1224,222,451,30434
1225,223,452,30435
1226,224,453,30436
1227,225,454,30437
1228,236,450,30438
1229,222,451,30439
1230,223,452,30440
1231,224,453,30441
1232,225,454,30442
1251,222,451,30443
1252,222,451,30444
1254,223,452,30445
1254,231,468,30446
1255,193,772,30447
1255,223,452,30448
1256,193,772,30449
1256,223,452,30450
1256,231,468,30451
1257,223,452,30452
1257,231,468,30453
1258,193,772,30454
1258,223,452,30455
1259,193,772,30456
1259,223,452,30457
1259,231,468,30458
1260,224,453,30459
1261,224,453,30460
1261,231,468,30461
1262,193,772,30462
1262,224,453,30463
1263,193,772,30464
1263,224,453,30465
1263,231,468,30466
1264,224,453,30467
1264,231,468,30468
1265,193,772,30469
1265,224,453,30470
1266,193,772,30471
1266,224,453,30472
1266,231,468,30473
1267,236,450,30474
1268,222,451,30475
1269,223,452,30476
1270,224,453,30477
1271,225,454,30478
1272,236,450,30479
1273,222,451,30480
1274,223,452,30481
1275,224,453,30482
1276,225,454,30483
1277,236,450,30484
1278,222,451,30485
1279,223,452,30486
1280,224,453,30487
1281,225,454,30488
1282,236,450,30489
1283,222,451,30490
1284,223,452,30491
1285,224,453,30492
1286,225,454,30493
1287,236,450,30494
1288,222,451,30495
1289,223,452,30496
1290,224,453,30497
1291,225,454,30498
1292,236,450,30499
1293,222,451,30500
1294,223,452,30501
1295,224,453,30502
1296,225,454,30503
1297,225,454,30504
1298,224,453,30505
1299,223,452,30506
1300,222,451,30507
1301,236,450,30508
1302,225,454,30509
