"fixef.fit","group","param"
1.57289606801058,"15-19","(Intercept)"
-0.00102843653503047,"15-19","cdceb"
1.51736500188217,"15-19","ceb"
-1.74310339495266,"15-19","pr1"
-0.34205337309259,"15-19","pr2"
1.09935553880274,"20-24","(Intercept)"
-0.000284983937194437,"20-24","cdceb"
0.761219014476813,"20-24","ceb"
-0.200563632929946,"20-24","pr1"
2.01921169109853,"20-24","pr2"
4.08627521297988,"25-29","(Intercept)"
-0.00228328246767754,"25-29","cdceb"
0.24290790258805,"25-29","ceb"
-0.753048897543749,"25-29","pr1"
2.60846288297268,"25-29","pr2"
6.96730707974208,"30-34","(Intercept)"
0.000541552434962352,"30-34","cdceb"
-0.288161889597003,"30-34","ceb"
-2.20179919292891,"30-34","pr1"
5.88532082576944,"30-34","pr2"
14.5619507689428,"35-39","(Intercept)"
0.000703619065412361,"35-39","cdceb"
-0.639105711113387,"35-39","ceb"
-2.12641309363889,"35-39","pr1"
1.19570625670336,"35-39","pr2"
20.7345543320385,"40-44","(Intercept)"
-0.000518193932390171,"40-44","cdceb"
-0.777614644278409,"40-44","ceb"
-2.41781693066135,"40-44","pr1"
-1.19426136859671,"40-44","pr2"
22.2322174232631,"45-49","(Intercept)"
-0.00147257716464988,"45-49","cdceb"
-0.675853057198656,"45-49","ceb"
-5.22054998086403,"45-49","pr1"
3.93783189487903,"45-49","pr2"
