mid_point,pred5,pred_lo,pred_hi,ve,pinf,ve_lower,ve_upper
0,1.81392607531239,1.31821111178149,2.28906992049721,0.85983570684175,0.95983570684175,0.788883928174602,0.907967759964732
0.1,1.81347170454721,1.31775347713777,2.28841417663848,0.859780937912168,0.959780937912168,0.788807700844254,0.907912949834236
0.2,1.81300663876486,1.31746327039601,2.28775089351891,0.859724861280095,0.959724861280095,0.788759351218627,0.907857479699575
0.3,1.81253087796532,1.31706555833295,2.28708007113851,0.859667475647623,0.959667475647623,0.788693077605165,0.907801348525113
0.4,1.81204442214859,1.31668351238191,2.28640170949728,0.859608779686601,0.959608779686601,0.78862940021542,0.90774455526274
0.5,1.81154727131468,1.31503280428546,2.28619793447651,0.859548772038606,0.959548772038606,0.788354107517515,0.907727488832485
0.6,1.81103942546359,1.31428331194512,2.28606845047843,0.859487451314916,0.959487451314916,0.788229026263387,0.907716642901008
0.7,1.81052088459532,1.31421073534632,2.2859209371954,0.859424816096481,0.959424816096481,0.788216911231721,0.907704285392106
0.8,1.80999164870986,1.31412326596422,2.28535003381839,0.8593608649339,0.959360864933899,0.788202309511138,0.907656445562874
0.9,1.80945171780721,1.31402854437814,2.28432261975002,0.859295596347382,0.959295596347382,0.78818649631199,0.907570295522019
1,1.80890109188739,1.31390686453276,2.2832899323541,0.859229008826729,0.959229008826729,0.7881661813267,0.907483630569125
1.1,1.80833977095038,1.31341996283559,2.28224211079299,0.859161100831293,0.959161100831293,0.788084876690537,0.907395620949731
1.2,1.80776775499618,1.31291807018711,2.28117181102492,0.859091870789956,0.959091870789956,0.788001044933605,0.907305645712182
1.3,1.80718504402481,1.31240118658733,2.28009672980519,0.859021317101093,0.959021317101093,0.78791468388402,0.907215189511287
1.4,1.80659163803625,1.31186931203624,2.27979024053061,0.858949438132541,0.958949438132541,0.787825791305037,0.907189387314552
1.5,1.8059875370305,1.31132244653385,2.27948142472826,0.858876232221569,0.958876232221569,0.78773436489506,0.907163382741544
1.6,1.80537274100758,1.31076059008015,2.27837082901686,0.858801697674842,0.958801697674842,0.787640402287637,0.907069808310236
1.7,1.80474724996746,1.31018374267515,2.27789257902142,0.858725832768389,0.958725832768389,0.787543901051472,0.907029486774188
1.8,1.80411106391017,1.30959190431884,2.27771919501771,0.858648635747572,0.958648635747572,0.787444858690423,0.907014864789974
1.9,1.80346418283569,1.30898507501123,2.2775322378421,0.858570104827047,0.958570104827047,0.787343272643505,0.906999095827583
2,1.80280660674403,1.30836325475231,2.27733170749458,0.858490238190731,0.958490238190731,0.7872391402849,0.906982179364058
2.1,1.80213833563518,1.30772644354209,2.27686782167248,0.858409033991767,0.958409033991767,0.787132458923958,0.9069430360128
2.2,1.80145936950915,1.30707464138056,2.27561020251106,0.85832649035249,0.95832649035249,0.7870232258052,0.906836841934907
2.3,1.80076970836594,1.30640784826772,2.27434785375107,0.858242605364384,0.958242605364384,0.786911438108331,0.906730139149701
2.4,1.80006935220554,1.30572606420358,2.27307804642629,0.858157377088052,0.958157377088052,0.786797092948237,0.906622695313133
2.5,1.79935830102797,1.30502928918813,2.2722145781644,0.858070803553176,0.958070803553175,0.786680187374999,0.906549570161009
2.6,1.7986365548332,1.30431752322138,2.27182602816761,0.857982882758477,0.957982882758477,0.786560718373895,0.906516647997118
2.7,1.79790411362125,1.30359076630333,2.27141870594438,0.857893612671682,0.957893612671682,0.786438682865412,0.906482124078993
2.8,1.79716097739212,1.30285798299558,2.27099261149472,0.857802991229477,0.957802991229477,0.786315583965117,0.906445996823119
2.9,1.79640714614581,1.30243484386376,2.27054774481862,0.857711016337475,0.957711016337475,0.786244478081767,0.906408264572307
3,1.79564261988231,1.30199414006998,2.27008410591609,0.857617685870172,0.957617685870172,0.786170402252448,0.906368925595602
3.1,1.79486739860163,1.30153587161426,2.26960169478712,0.857522997670909,0.957522997670909,0.786093354242946,0.906327978088181
3.2,1.79408148230377,1.30106003849659,2.26910051143172,0.857426949551828,0.957426949551828,0.786013331730033,0.906285420171258
