study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,study_id2,e_mean,se,mean_logit,sd_logit,in_var
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,Delta,infection,infection,619755,18,65,0.883,0.867,0.897,0,0,,0,4,infection,2,2,Non_Omicron,511&US  veterans delta&Delta&infection&18&65,0.783,0.0076530612244898,1.28323534245034,0.0450415877988465,1.14309521329882
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,Delta,infection,infection,619755,18,65,0.822,0.803,0.839,0,0,,5,8,infection,6.5,6.5,Non_Omicron,511&US  veterans delta&Delta&infection&18&65,0.722,0.00918367346938773,0.954404025202189,0.0457545660006563,1.0434983894999
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,Delta,infection,infection,619755,18,65,0.728,0.707,0.748,0,0,,9,12,infection,10.5,10.5,Non_Omicron,511&US  veterans delta&Delta&infection&18&65,0.628,0.0104591836734694,0.523646312195052,0.0447708362161384,0.977802414077409
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,Delta,infection,infection,619755,18,65,0.585,0.557,0.61,0,0,,13,16,infection,14.5,14.5,Non_Omicron,511&US  veterans delta&Delta&infection&18&65,0.485,0.0135204081632653,-0.060018009726253,0.0541303499680324,0.860013163567532
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,Delta,infection,infection,619755,18,65,0.366,0.318,0.41,0,0,,17,20,infection,18.5,18.5,Non_Omicron,511&US  veterans delta&Delta&infection&18&65,0.266,0.023469387755102,-1.01501271983282,0.120205423752341,0.65275336576822
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,Delta,infection,infection,619755,18,65,0.11,-0.0662,0.12,0,0,,21,24,infection,22.5,22.5,Non_Omicron,511&US  veterans delta&Delta&infection&18&65,0.01,0.0475,-4.59511985013459,4.7979797979798,0.458831467741124
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Johnson & Johnson,Delta,infection,infection,,18,85,0.522,0.48,0.563,0,0,,0,7,infection,3.5,3.5,Non_Omicron,512&Puerto Rico(delta)&Delta&infection&18&85,0.422,0.0211734693877551,-0.314568554636366,0.0868063980540641,0.687232971143343
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Johnson & Johnson,Delta,infection,infection,,18,85,0.38,0.33,0.45,0,0,,8,14,infection,11,11,Non_Omicron,512&Puerto Rico(delta)&Delta&infection&18&85,0.28,0.0306122448979592,-0.944461608840851,0.151846452866861,0.571547606649408
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Johnson & Johnson,Delta,infection,infection,,18,85,0.27,0.17,0.37,0,0,,15,22,infection,18.5,18.5,Non_Omicron,512&Puerto Rico(delta)&Delta&infection&18&85,0.17,0.0510204081632653,-1.58562726374038,0.36159041930025,0.442718872423573
513,Dan-Yu L,0,102,102,United States,US NC mixed,"",Johnson & Johnson,Delta,infection,infection,,18,65,0.69,0.66,0.715,0,0,,21,24,infection,22.5,22.5,Non_Omicron,513&US NC mixed&Delta&infection&18&65,0.59,0.0140306122448979,0.363965377201412,0.0580017041955269,0.844231764817739
