"iso3","iso3.re","iso3.re.var","group"
"ARM",-0.227929923413443,0.00964373710892794,"t.0"
"BEN",0.0130228038459374,0.00963717908843964,"t.0"
"BFA",0.0363861822379745,0.00963717908843964,"t.0"
"BGD",-0.17975526481656,0.0064032151303342,"t.0"
"BOL",-0.00295368011788768,0.00640926495289855,"t.0"
"BRA",0.0331611231048781,0.0131520000259834,"t.0"
"CIV",0.0532433992784913,0.0131471368223276,"t.0"
"CMR",0.0678483686397642,0.00963717908843964,"t.0"
"COL",-0.0442225647644629,0.00552889336999168,"t.0"
"DOM",0.084358058723659,0.00640926495289855,"t.0"
"EGY",-0.0427698063269151,0.00490753038535568,"t.0"
"ERI",-0.0314505879326379,0.0131449366092467,"t.0"
"ETH",-0.130478951485703,0.00963256440665659,"t.0"
"GHA",-0.111189432963601,0.00639232131861012,"t.0"
"GIN",-0.0355899478186954,0.0131471368223276,"t.0"
"GTM",0.077064185972849,0.00964737907202888,"t.0"
"HTI",0.0425639813559628,0.00964737907202888,"t.0"
"IDN",-0.145519034837165,0.00552207894174156,"t.0"
"IND",0.0698648478544207,0.00964373710892794,"t.0"
"JOR",0.303010571464802,0.00643096425831073,"t.0"
"KAZ",0.156542419281214,0.0131502635910066,"t.0"
"KEN",0.115418897607737,0.00638465567093475,"t.0"
"KHM",-0.0150583186966241,0.00964373710892794,"t.0"
"LBR",0.0153031413528668,0.0131471368223276,"t.0"
"LSO",-0.0769154891838561,0.0131449366092467,"t.0"
"MAR",0.0597781482664847,0.00966044194598698,"t.0"
"MDG",-0.00569212300040822,0.00765399854014521,"t.0"
"MLI",0.0751271423038147,0.0076603768015256,"t.0"
"MOZ",-0.0769750498891667,0.0131449366092467,"t.0"
"MWI",-0.0479144988668936,0.00765399854014521,"t.0"
"NAM",-0.121267172802116,0.00963256440665659,"t.0"
"NER",0.13116266415543,0.00963717908843964,"t.0"
"NGA",0.137566762589273,0.00963717908843964,"t.0"
"NIC",-0.0579522251331104,0.0131520000259834,"t.0"
"NPL",-0.10147302333718,0.00766944108174659,"t.0"
"PAK",0.153543191219698,0.0131502635910066,"t.0"
"PER",-0.273905055898214,0.00552889336999168,"t.0"
"PHL",0.108866221609987,0.00964373710892794,"t.0"
"RWA",0.0377097231087833,0.00638465567093475,"t.0"
"SEN",-0.0281109961228313,0.00639232131861012,"t.0"
"TCD",0.110609768536814,0.0131471368223276,"t.0"
"TGO",0.0156623949230141,0.0131471368223276,"t.0"
"TUR",-0.0788026939402481,0.00966044194598698,"t.0"
"TZA",-0.00552307649256811,0.00638465567093475,"t.0"
"UGA",0.137829988290043,0.00765399854014521,"t.0"
"VNM",-0.0998177819180864,0.0131502635910066,"t.0"
"ZMB",0.0317244586156982,0.00765399854014521,"t.0"
"ZWE",-0.126101744581138,0.00638465567093475,"t.0"
"ARM",-0.107349555311883,0.00443867440944146,"t.1"
"AZE",-0.0335888016946157,0.00658263459149096,"t.1"
"BDI",-0.0197541666050385,0.00658263459149096,"t.1"
"BEN",0.00515395287926573,0.00443867440944146,"t.1"
"BFA",0.0183386128342012,0.00443867440944146,"t.1"
"BGD",-0.107646809679075,0.00334817561600808,"t.1"
"BOL",0.000516499736747843,0.00334817561600808,"t.1"
"BRA",0.019237434874534,0.00530212367351599,"t.1"
"BWA",0.00459102541205429,0.00658263459149096,"t.1"
"CAF",-0.00114364613217364,0.00658263459149096,"t.1"
"CIV",0.026037102864375,0.00530212367351599,"t.1"
"CMR",0.015795805684651,0.00443867440944146,"t.1"
"COD",-9.86888801954369e-05,0.00658263459149096,"t.1"
"COG",-0.0381809158267183,0.00658263459149096,"t.1"
"COL",0.0411236849083402,0.00298187974457469,"t.1"
"COM",-0.00794938525208484,0.00658263459149096,"t.1"
"DOM",0.111007935322112,0.00334817561600808,"t.1"
"ECU",0.0476462134263171,0.00658263459149096,"t.1"
"EGY",-0.0290789861620594,0.00268782708196427,"t.1"
"ERI",-0.0199563882785687,0.00530212367351599,"t.1"
"ETH",-0.094943152386443,0.00443867440944146,"t.1"
"GAB",-0.0250403927750163,0.00658263459149096,"t.1"
"GHA",-0.0650240709987598,0.00334817561600808,"t.1"
"GIN",-0.0558913816318786,0.00530212367351599,"t.1"
"GTM",0.0860164914491147,0.00443867440944146,"t.1"
"GUY",-0.0529969393609568,0.00658263459149096,"t.1"
"HND",-0.0585857432429272,0.00658263459149096,"t.1"
"HTI",0.0430830401467828,0.00443867440944146,"t.1"
"IDN",-0.0789576784748293,0.00298187974457469,"t.1"
"IND",0.042332837788737,0.00443867440944146,"t.1"
"JOR",0.189110095819128,0.00334817561600809,"t.1"
"KAZ",0.0783801516915388,0.00530212367351599,"t.1"
"KEN",0.0781762479107977,0.00334817561600808,"t.1"
"KGZ",-0.00145063331583748,0.00658263459149096,"t.1"
"KHM",0.00142868457966472,0.00443867440944146,"t.1"
"LBR",-0.144222537625348,0.00530212367351599,"t.1"
"LKA",0.0168469235879239,0.00658263459149096,"t.1"
"LSO",0.0179621376445725,0.00530212367351599,"t.1"
"MAR",-0.0108649956986169,0.00443867440944146,"t.1"
"MDG",0.0018653436936407,0.00381706630217892,"t.1"
"MDV",-0.0830463222903187,0.00658263459149096,"t.1"
"MEX",0.0618881103933074,0.00658263459149096,"t.1"
"MLI",-0.00654593298146651,0.00381706630217892,"t.1"
"MOZ",-0.059807112387387,0.00530212367351599,"t.1"
"MRT",0.00792741324649507,0.00658263459149096,"t.1"
"MWI",-0.00431066563974211,0.00381706630217892,"t.1"
"NAM",-0.0380415192672776,0.00443867440944146,"t.1"
