"model.error","group","type"
0.185158586828316,"t.0","data"
0.145262865150933,"t.0","iso3"
0.0268947644399695,"t.0","gbdregion"
0.165094708936947,"t.1","data"
0.0931589696097476,"t.1","iso3"
3.36242948335288e-11,"t.1","gbdregion"
0.13751637201428,"t.2","data"
0.0740038610183007,"t.2","iso3"
0.0450038919051059,"t.2","gbdregion"
0.136065487733409,"t.3","data"
0.0868735559117326,"t.3","iso3"
0.0807571432893008,"t.3","gbdregion"
0.12281518944552,"t.4","data"
0.0632831757786031,"t.4","iso3"
0.048372126695247,"t.4","gbdregion"
0.122077068744941,"t.5","data"
0.0695523510899701,"t.5","iso3"
0.0924240750205905,"t.5","gbdregion"
0.113430727147777,"t.6","data"
0.0580262889805265,"t.6","iso3"
0.0288767331517633,"t.6","gbdregion"
0.113330704929784,"t.7","data"
0.0666303033143561,"t.7","iso3"
0.0227625776409167,"t.7","gbdregion"
0.109469058990498,"t.8","data"
0.0430533396073675,"t.8","iso3"
0.0497856820577073,"t.8","gbdregion"
0.116605739003681,"t.9","data"
0.034759552703397,"t.9","iso3"
0.0388263625147961,"t.9","gbdregion"
0.126700966331475,"t.10","data"
4.97988112440266e-08,"t.10","iso3"
0.054646206117338,"t.10","gbdregion"
0.130242416004187,"t.11","data"
5.71933239333452e-09,"t.11","iso3"
0.0514429361017365,"t.11","gbdregion"
0.135232407537271,"t.12","data"
0.0194172689551815,"t.12","iso3"
0.0369515409941696,"t.12","gbdregion"
0.138118731441694,"t.13","data"
4.86997978839165e-09,"t.13","iso3"
0.0445394429236733,"t.13","gbdregion"
0.137665216048777,"t.14","data"
9.81708426897079e-10,"t.14","iso3"
0.00723172578753783,"t.14","gbdregion"
0.138698702603988,"t.15","data"
0,"t.15","iso3"
0.0262547731236571,"t.15","gbdregion"
0.131675476395299,"t.16","data"
0.0251875184651892,"t.16","iso3"
0.0175625073876816,"t.16","gbdregion"
0.132182668034359,"t.17","data"
0.0322354729883547,"t.17","iso3"
0.0225194157651825,"t.17","gbdregion"
0.133697773376086,"t.18","data"
0.0505076886345416,"t.18","iso3"
0.0322635494886797,"t.18","gbdregion"
0.138588650015716,"t.19","data"
0.0541185199265656,"t.19","iso3"
0.0392796517015179,"t.19","gbdregion"
0.129709038800421,"t.20","data"
0.0750505769998496,"t.20","iso3"
0.0613578904648283,"t.20","gbdregion"
0.135099115025752,"t.21","data"
0.0779945344114472,"t.21","iso3"
3.70597518793231e-09,"t.21","gbdregion"
0.129616457561847,"t.22","data"
0.0893207985666382,"t.22","iso3"
0.0208795209012786,"t.22","gbdregion"
0.124920336873213,"t.23","data"
0.10626676091775,"t.23","iso3"
0.0385075782168801,"t.23","gbdregion"
0.128180175000118,"t.24","data"
0.12081324471059,"t.24","iso3"
0.0602399461685916,"t.24","gbdregion"
