age_group_id,age_group_name,sex_id,pregnant,grp,hgb_lower_mild,hgb_upper_mild,hgb_lower_moderate,hgb_upper_moderate,hgb_lower_severe,hgb_upper_severe,hgb_lower_anemic,hgb_upper_anemic
2,Early Neonatal,2,0,under_5,130,150,90,130,0,90,0,150
3,Late Neonatal,2,0,under_5,130,150,90,130,0,90,0,150
4,Post Neonatal,2,0,under_5,100,110,70,100,0,70,0,110
5,1 to 4,2,0,under_5,100,110,70,100,0,70,0,110
6,5 to 9,2,0,sa_child,110,115,80,110,0,80,0,115
7,10 to 14,2,0,sa_child,110,115,80,110,0,80,0,115
8,15 to 19,2,0,adult_female_np,110,120,80,110,0,80,0,120
9,20 to 24,2,0,adult_female_np,110,120,80,110,0,80,0,120
10,25 to 29,2,0,adult_female_np,110,120,80,110,0,80,0,120
11,30 to 34,2,0,adult_female_np,110,120,80,110,0,80,0,120
12,35 to 39,2,0,adult_female_np,110,120,80,110,0,80,0,120
13,40 to 44,2,0,adult_female_np,110,120,80,110,0,80,0,120
14,45 to 49,2,0,adult_female_np,110,120,80,110,0,80,0,120
15,50 to 54,2,0,adult_female_np,110,120,80,110,0,80,0,120
16,55 to 59,2,0,adult_female_np,110,120,80,110,0,80,0,120
17,60 to 64,2,0,adult_female_np,110,120,80,110,0,80,0,120
18,65 to 69,2,0,adult_female_np,110,120,80,110,0,80,0,120
19,70 to 74,2,0,adult_female_np,110,120,80,110,0,80,0,120
20,75 to 79,2,0,adult_female_np,110,120,80,110,0,80,0,120
30,80 to 84,2,0,adult_female_np,110,120,80,110,0,80,0,120
31,85 to 89,2,0,adult_female_np,110,120,80,110,0,80,0,120
32,90 to 94,2,0,adult_female_np,110,120,80,110,0,80,0,120
235,95 plus,2,0,adult_female_np,110,120,80,110,0,80,0,120
2,Early Neonatal,1,0,under_5,130,150,90,130,0,90,0,150
3,Late Neonatal,1,0,under_5,130,150,90,130,0,90,0,150
4,Post Neonatal,1,0,under_5,100,110,70,100,0,70,0,110
5,1 to 4,1,0,under_5,100,110,70,100,0,70,0,110
6,5 to 9,1,0,sa_child,110,115,80,110,0,80,0,115
7,10 to 14,1,0,sa_child,110,115,80,110,0,80,0,115
8,15 to 19,1,0,adult_male,110,130,80,110,0,80,0,130
9,20 to 24,1,0,adult_male,110,130,80,110,0,80,0,130
10,25 to 29,1,0,adult_male,110,130,80,110,0,80,0,130
11,30 to 34,1,0,adult_male,110,130,80,110,0,80,0,130
12,35 to 39,1,0,adult_male,110,130,80,110,0,80,0,130
13,40 to 44,1,0,adult_male,110,130,80,110,0,80,0,130
14,45 to 49,1,0,adult_male,110,130,80,110,0,80,0,130
15,50 to 54,1,0,adult_male,110,130,80,110,0,80,0,130
16,55 to 59,1,0,adult_male,110,130,80,110,0,80,0,130
17,60 to 64,1,0,adult_male,110,130,80,110,0,80,0,130
18,65 to 69,1,0,adult_male,110,130,80,110,0,80,0,130
19,70 to 74,1,0,adult_male,110,130,80,110,0,80,0,130
20,75 to 79,1,0,adult_male,110,130,80,110,0,80,0,130
30,80 to 84,1,0,adult_male,110,130,80,110,0,80,0,130
31,85 to 89,1,0,adult_male,110,130,80,110,0,80,0,130
32,90 to 94,1,0,adult_male,110,130,80,110,0,80,0,130
235,95 plus,1,0,adult_male,110,130,80,110,0,80,0,130
8,15 to 19,2,1,adult_female_p,100,110,70,99,0,70,0,110
9,20 to 24,2,1,adult_female_p,100,110,70,99,0,70,0,110
10,25 to 29,2,1,adult_female_p,100,110,70,99,0,70,0,110
11,30 to 34,2,1,adult_female_p,100,110,70,99,0,70,0,110
12,35 to 39,2,1,adult_female_p,100,110,70,99,0,70,0,110
13,40 to 44,2,1,adult_female_p,100,110,70,99,0,70,0,110
14,45 to 49,2,1,adult_female_p,100,110,70,99,0,70,0,110
15,50 to 54,2,1,adult_female_p,100,110,70,99,0,70,0,110
16,55 to 59,2,1,adult_female_p,100,110,70,99,0,70,0,110
