product_type,variable,year
ensemble_spread,10m_u_component_of_wind,1980
ensemble_spread,10m_u_component_of_wind,1981
ensemble_spread,10m_u_component_of_wind,1982
ensemble_spread,10m_u_component_of_wind,1983
ensemble_spread,10m_u_component_of_wind,1984
ensemble_spread,10m_u_component_of_wind,1985
ensemble_spread,10m_u_component_of_wind,1986
ensemble_spread,10m_u_component_of_wind,1987
ensemble_spread,10m_u_component_of_wind,1988
ensemble_spread,10m_u_component_of_wind,1989
ensemble_spread,10m_u_component_of_wind,1990
ensemble_spread,10m_u_component_of_wind,1991
ensemble_spread,10m_u_component_of_wind,1992
ensemble_spread,10m_u_component_of_wind,1993
ensemble_spread,10m_u_component_of_wind,1994
ensemble_spread,10m_u_component_of_wind,1995
ensemble_spread,10m_u_component_of_wind,1996
ensemble_spread,10m_u_component_of_wind,1997
ensemble_spread,10m_u_component_of_wind,1998
ensemble_spread,10m_u_component_of_wind,1999
ensemble_spread,10m_u_component_of_wind,2000
ensemble_spread,10m_u_component_of_wind,2001
ensemble_spread,10m_u_component_of_wind,2002
ensemble_spread,10m_u_component_of_wind,2003
ensemble_spread,10m_u_component_of_wind,2004
ensemble_spread,10m_u_component_of_wind,2005
ensemble_spread,10m_u_component_of_wind,2006
ensemble_spread,10m_u_component_of_wind,2007
ensemble_spread,10m_u_component_of_wind,2008
ensemble_spread,10m_u_component_of_wind,2009
ensemble_spread,10m_u_component_of_wind,2010
ensemble_spread,10m_u_component_of_wind,2011
ensemble_spread,10m_u_component_of_wind,2012
ensemble_spread,10m_u_component_of_wind,2013
ensemble_spread,10m_u_component_of_wind,2014
ensemble_spread,10m_u_component_of_wind,2015
ensemble_spread,10m_u_component_of_wind,2016
ensemble_spread,10m_u_component_of_wind,2017
ensemble_spread,10m_u_component_of_wind,2018
ensemble_spread,10m_u_component_of_wind,2019
ensemble_spread,10m_u_component_of_wind,2020
ensemble_spread,10m_u_component_of_wind,2021
ensemble_spread,10m_v_component_of_wind,1980
ensemble_spread,10m_v_component_of_wind,1981
ensemble_spread,10m_v_component_of_wind,1982
ensemble_spread,10m_v_component_of_wind,1983
ensemble_spread,10m_v_component_of_wind,1984
ensemble_spread,10m_v_component_of_wind,1985
ensemble_spread,10m_v_component_of_wind,1986
ensemble_spread,10m_v_component_of_wind,1987
ensemble_spread,10m_v_component_of_wind,1988
ensemble_spread,10m_v_component_of_wind,1989
ensemble_spread,10m_v_component_of_wind,1990
ensemble_spread,10m_v_component_of_wind,1991
ensemble_spread,10m_v_component_of_wind,1992
ensemble_spread,10m_v_component_of_wind,1993
ensemble_spread,10m_v_component_of_wind,1994
ensemble_spread,10m_v_component_of_wind,1995
ensemble_spread,10m_v_component_of_wind,1996
ensemble_spread,10m_v_component_of_wind,1997
ensemble_spread,10m_v_component_of_wind,1998
ensemble_spread,10m_v_component_of_wind,1999
ensemble_spread,10m_v_component_of_wind,2000
ensemble_spread,10m_v_component_of_wind,2001
ensemble_spread,10m_v_component_of_wind,2002
ensemble_spread,10m_v_component_of_wind,2003
ensemble_spread,10m_v_component_of_wind,2004
ensemble_spread,10m_v_component_of_wind,2005
ensemble_spread,10m_v_component_of_wind,2006
ensemble_spread,10m_v_component_of_wind,2007
ensemble_spread,10m_v_component_of_wind,2008
ensemble_spread,10m_v_component_of_wind,2009
ensemble_spread,10m_v_component_of_wind,2010
ensemble_spread,10m_v_component_of_wind,2011
ensemble_spread,10m_v_component_of_wind,2012
ensemble_spread,10m_v_component_of_wind,2013
ensemble_spread,10m_v_component_of_wind,2014
ensemble_spread,10m_v_component_of_wind,2015
ensemble_spread,10m_v_component_of_wind,2016
ensemble_spread,10m_v_component_of_wind,2017
ensemble_spread,10m_v_component_of_wind,2018
ensemble_spread,10m_v_component_of_wind,2019
ensemble_spread,10m_v_component_of_wind,2020
ensemble_spread,10m_v_component_of_wind,2021
ensemble_spread,2m_dewpoint_temperature,1980
ensemble_spread,2m_dewpoint_temperature,1981
ensemble_spread,2m_dewpoint_temperature,1982
ensemble_spread,2m_dewpoint_temperature,1983
ensemble_spread,2m_dewpoint_temperature,1984
ensemble_spread,2m_dewpoint_temperature,1985
ensemble_spread,2m_dewpoint_temperature,1986
ensemble_spread,2m_dewpoint_temperature,1987
ensemble_spread,2m_dewpoint_temperature,1988
ensemble_spread,2m_dewpoint_temperature,1989
ensemble_spread,2m_dewpoint_temperature,1990
ensemble_spread,2m_dewpoint_temperature,1991
ensemble_spread,2m_dewpoint_temperature,1992
ensemble_spread,2m_dewpoint_temperature,1993
ensemble_spread,2m_dewpoint_temperature,1994
ensemble_spread,2m_dewpoint_temperature,1995
ensemble_spread,2m_dewpoint_temperature,1996
ensemble_spread,2m_dewpoint_temperature,1997
ensemble_spread,2m_dewpoint_temperature,1998
ensemble_spread,2m_dewpoint_temperature,1999
ensemble_spread,2m_dewpoint_temperature,2000
ensemble_spread,2m_dewpoint_temperature,2001
ensemble_spread,2m_dewpoint_temperature,2002
ensemble_spread,2m_dewpoint_temperature,2003
ensemble_spread,2m_dewpoint_temperature,2004
ensemble_spread,2m_dewpoint_temperature,2005
ensemble_spread,2m_dewpoint_temperature,2006
ensemble_spread,2m_dewpoint_temperature,2007
ensemble_spread,2m_dewpoint_temperature,2008
ensemble_spread,2m_dewpoint_temperature,2009
ensemble_spread,2m_dewpoint_temperature,2010
ensemble_spread,2m_dewpoint_temperature,2011
ensemble_spread,2m_dewpoint_temperature,2012
ensemble_spread,2m_dewpoint_temperature,2013
ensemble_spread,2m_dewpoint_temperature,2014
ensemble_spread,2m_dewpoint_temperature,2015
ensemble_spread,2m_dewpoint_temperature,2016
ensemble_spread,2m_dewpoint_temperature,2017
ensemble_spread,2m_dewpoint_temperature,2018
ensemble_spread,2m_dewpoint_temperature,2019
ensemble_spread,2m_dewpoint_temperature,2020
ensemble_spread,2m_dewpoint_temperature,2021
ensemble_spread,2m_temperature,1980
ensemble_spread,2m_temperature,1981
ensemble_spread,2m_temperature,1982
ensemble_spread,2m_temperature,1983
ensemble_spread,2m_temperature,1984
ensemble_spread,2m_temperature,1985
ensemble_spread,2m_temperature,1986
ensemble_spread,2m_temperature,1987
ensemble_spread,2m_temperature,1988
ensemble_spread,2m_temperature,1989
ensemble_spread,2m_temperature,1990
ensemble_spread,2m_temperature,1991
ensemble_spread,2m_temperature,1992
ensemble_spread,2m_temperature,1993
ensemble_spread,2m_temperature,1994
ensemble_spread,2m_temperature,1995
ensemble_spread,2m_temperature,1996
ensemble_spread,2m_temperature,1997
ensemble_spread,2m_temperature,1998
ensemble_spread,2m_temperature,1999
ensemble_spread,2m_temperature,2000
ensemble_spread,2m_temperature,2001
ensemble_spread,2m_temperature,2002
ensemble_spread,2m_temperature,2003
ensemble_spread,2m_temperature,2004
ensemble_spread,2m_temperature,2005
ensemble_spread,2m_temperature,2006
ensemble_spread,2m_temperature,2007
ensemble_spread,2m_temperature,2008
ensemble_spread,2m_temperature,2009
ensemble_spread,2m_temperature,2010
ensemble_spread,2m_temperature,2011
ensemble_spread,2m_temperature,2012
ensemble_spread,2m_temperature,2013
ensemble_spread,2m_temperature,2014
ensemble_spread,2m_temperature,2015
ensemble_spread,2m_temperature,2016
ensemble_spread,2m_temperature,2017
ensemble_spread,2m_temperature,2018
ensemble_spread,2m_temperature,2019
ensemble_spread,2m_temperature,2020
ensemble_spread,2m_temperature,2021
ensemble_spread,surface_pressure,1980
ensemble_spread,surface_pressure,1981
ensemble_spread,surface_pressure,1982
ensemble_spread,surface_pressure,1983
ensemble_spread,surface_pressure,1984
ensemble_spread,surface_pressure,1985
ensemble_spread,surface_pressure,1986
ensemble_spread,surface_pressure,1987
ensemble_spread,surface_pressure,1988
ensemble_spread,surface_pressure,1989
ensemble_spread,surface_pressure,1990
ensemble_spread,surface_pressure,1991
ensemble_spread,surface_pressure,1992
ensemble_spread,surface_pressure,1993
ensemble_spread,surface_pressure,1994
ensemble_spread,surface_pressure,1995
ensemble_spread,surface_pressure,1996
ensemble_spread,surface_pressure,1997
ensemble_spread,surface_pressure,1998
ensemble_spread,surface_pressure,1999
ensemble_spread,surface_pressure,2000
