study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,study_id2,e_mean,se,mean_logit,sd_logit,in_var
571,Ranzani O,0,92,92,Spain,Spain omicron,"",CoronaVac/SinoVac,Omicron,severe,hosp&death,,18,80,0.39,-0.249,0.72,0,0,,0,2,severe,1,1,Omicron,571&Spain omicron&Omicron&hosp&death&18&80,0.29,0.24719387755102,-0.895384047054841,1.20055307212735,0.201131987429621
571,Ranzani O,0,92,92,Spain,Spain omicron,"",CoronaVac/SinoVac,Omicron,severe,hosp&death,,18,80,0.499,0.07,0.637,0,0,,3,8,severe,5.5,5.5,Omicron,571&Spain omicron&Omicron&hosp&death&18&80,0.399,0.144642857142857,-0.409633517645344,0.603183737808986,0.262936879248872
571,Ranzani O,0,92,92,Spain,Spain omicron,"",CoronaVac/SinoVac,Omicron,severe,hosp&death,,18,80,0.626,0.585,0.663,0,0,,9,25,severe,17,17,Omicron,571&Spain omicron&Omicron&hosp&death&18&80,0.526,0.0198979591836735,0.104093891042633,0.0798076365840171,0.708917556958566
571,Ranzani O,0,92,92,Spain,Spain omicron,"",CoronaVac/SinoVac,Omicron,severe,hosp&death,,18,80,0.57,0.535,0.602,0,0,,26,40,severe,33,33,Omicron,571&Spain omicron&Omicron&hosp&death&18&80,0.47,0.0170918367346939,-0.120144311842063,0.0686143586298429,0.764901710591414
