mid_point,pred_lo,pred_hi,ve_lower,ve_upper
0,-0.0179250220267681,2.16997498813011,0.495518864477465,0.897520666054014
0.1,-0.0179250210313179,2.13727185519313,0.495518864726307,0.894473375817785
0.2,-0.0180210572036559,2.10468833417043,0.495494857622034,0.8913580256361
0.3,-0.0181683824189254,2.07609271241637,0.495458029332885,0.88855770932657
0.4,-0.0183143504472493,2.05863464080312,0.495421540361307,0.886817197835072
0.5,-0.0184589612886278,2.02333790026623,0.495385390706335,0.883225714271351
0.6,-0.0186022149430606,1.98826435371628,0.495349580366993,0.879559393514677
0.7,-0.018744111410548,1.95350703040102,0.495314109342297,0.875828544529472
0.8,-0.0188846506910898,1.91906593032044,0.495278977631257,0.872034236569977
0.9,-0.019023832784686,1.89867704017272,0.495244185232873,0.869741719414688
1,-0.0191616576913367,1.86805688287334,0.49520973214614,0.866233282485677
1.1,-0.0192981254110419,1.83487813759076,0.495175618370047,0.86234182694558
1.2,-0.0194021200996704,1.80207597579019,0.495149622131397,0.858401454421947
1.3,-0.0194025782039385,1.77478184476465,0.495149507616107,0.855051332762588
1.4,-0.0194025772049859,1.74442507014706,0.495149507865822,0.85124825981951
1.5,-0.0194025762060238,1.71398186502266,0.495149508115539,0.847352037447689
1.6,-0.0194025752070522,1.68378484448391,0.495149508365258,0.84340505670827
1.7,-0.0194025742080713,1.65386771806949,0.49514950861498,0.8394130986488
1.8,-0.0194025732090809,1.62424477126039,0.495149508864704,0.83537970400884
1.9,-0.019402572210081,1.59491627900481,0.495149509114431,0.831306665239263
2,-0.0194025712110717,1.56588873069511,0.49514950936416,0.827196724260231
2.1,-0.019402570212053,1.53716212633129,0.495149509613891,0.823051803138171
2.2,-0.0194025692130248,1.51880921303934,0.495149509863624,0.820363064226111
2.3,-0.0194025682139872,1.48908909213558,0.49514951011336,0.815941510930008
2.4,-0.0194025672149401,1.45725080768446,0.495149510363099,0.811111832819316
2.5,-0.0194025662158836,1.43008945439274,0.495149510612839,0.806915253414618
2.6,-0.0194025652168177,1.40379242302924,0.495149510862582,0.802784999219472
2.7,-0.0194025642177423,1.39387804781749,0.495149511112328,0.801210629758408
2.8,-0.0194025632186575,1.37011453010811,0.495149511362075,0.797398657000627
2.9,-0.0194025622195632,1.34086738158326,0.495149511611825,0.792632545836674
3,-0.0194025612204595,1.31851400833046,0.495149511861578,0.788934369992137
3.1,-0.0194025602213463,1.29292759966325,0.495149512111332,0.784642303569943
3.2,-0.0194544967413301,1.27948327979432,0.495136529206533,0.78236180637524
3.3,-0.0194544957419607,1.25477527099694,0.495136529456351,0.778125388726013
3.4,-0.019454494742584,1.23744132412544,0.495136529706172,0.775118325696232
3.5,-0.0194544937431998,1.23035212698328,0.495136529955994,0.773880198784803
3.6,-0.0194544927438083,1.21354746026089,0.495136530205819,0.770926029317362
3.7,-0.0194544917444094,1.1968972018165,0.495136530455645,0.767972353121974
3.8,-0.0194544907450031,1.1819326909749,0.495136530705473,0.765295128784347
3.9,-0.0194544897455894,1.17459669748157,0.495136530955302,0.7639748851347
4,-0.0194544887461683,1.16977418746225,0.495136531205134,0.763104196623825
4.1,-0.0194544877467398,1.1555293957463,0.495136531454967,0.760519433934677
4.2,-0.019454486747304,1.14910701264549,0.495136531704803,0.759347771365353
4.3,-0.0194544857478608,1.13472588611917,0.49513653195464,0.756709989810653
4.4,-0.0194544847484102,1.11906171142289,0.495136532204479,0.753814632078225
4.5,-0.0194544837489522,1.10984353434999,0.49513653245432,0.752099940255142
4.6,-0.0194544827494868,1.1023024426044,0.495136532704163,0.750691265359731
4.7,-0.0194544817500141,1.09401799292286,0.495136532954007,0.749137580512184
4.8,-0.0194544807505339,1.08987283135815,0.495136533203853,0.748357774166237
4.9,-0.0194544797510464,1.08372343273851,0.495136533453702,0.747197961488615
5,-0.0195540445944907,1.07931922233532,0.495111644609951,0.746365130867392
5.1,-0.0221355569370956,1.07480351290928,0.494466336713904,0.745509337378974
5.2,-0.0232182532575942,1.07017630446041,0.494195697435401,0.744630442614931
5.3,-0.0232202898706596,1.0654375969887,0.494195188350754,0.743728305111635
5.4,-0.0232222916840588,1.06058739049416,0.494194687964863,0.742802780386468
5.5,-0.0232242586977917,1.05562568497677,0.494194196277727,0.741853720976102
5.6,-0.0232261909118582,1.05055248043655,0.494193713289345,0.740880976476949
5.7,-0.0232280883262585,1.04536777687349,0.494193238999718,0.739884393587869
5.8,-0.0232299509409925,1.04007157428759,0.494192773408844,0.738863816155227
5.9,-0.0232317787560601,1.03466387267886,0.494192316516723,0.737819085220405
6,-0.0232335717714615,1.02914467204728,0.494191868323354,0.736750039069864
6.1,-0.0232353299871966,1.02351397239287,0.494191428828737,0.735656513287866
6.2,-0.0232370534032654,1.00927698508075,0.494190998032872,0.732878630218529
6.3,-0.0232387420196678,0.991121570739462,0.494190575935757,0.729309396642007
6.4,-0.023240395836404,0.972634238238015,0.494190162537392,0.725644245858671
6.5,-0.0232420148534739,0.95475373897852,0.494189757837777,0.72207018770049
6.6,-0.0232435990708774,0.939996846229274,0.494189361836911,0.719099020368953
6.7,-0.0232451484886147,0.934141812509069,0.494188974534794,0.717914813451087
6.8,-0.0232466631066857,0.928183149855775,0.494188595931425,0.716706540658198
6.9,-0.0232481429250904,0.922253176834268,0.494188226026804,0.715500983478397
7,-0.0232495879438287,0.91693668291099,0.494187864820931,0.714417522778664
7.1,-0.024756872778549,0.911530836131881,0.493811097901727,0.713313317003804
7.2,-0.0252166748124656,0.906035636496942,0.493696165333904,0.712188246832518
